case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,14927138,用例注释,北京市|北京市|海淀区|上地十街|10号,google  Nexus 5,Android 4.4.3,WIFI,无SIM卡,KTU84M,选择几件产品加入购物车，选择3件，但是购物车的图标却显示4件。,选择几件产品加入购物车，选择3件，但是购物车的图标却显示4件。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8104581_441d34bb-cc62-46ac-a2d3-8c8d0a855b7f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8104580_f64b2fc3-3b8c-4975-8a3a-0c0184ae7aa9.jpg""]",未知,P0,审核通过,2015-12-15 15:04:47,,31
0,14920030,用例注释,北京市|北京市|海淀区|上地十街|10号,TCL  TCL M2M,Android 4.4.4,WIFI,中国移动,TCL_M2M_V1.2,将药品加入购物车，一共3件，购物车图标显示4件，点击去以后是3件。,将药品加入购物车，一共3件，购物车图标显示4件，点击去以后是3件。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8105267_f0baaafa-2a87-4ea7-b03b-7d28e586d193.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8105264_6a248244-db38-41aa-96ae-68c0e2d03227.jpg""]",未知,P0,审核通过,2015-12-15 15:23:48,,31
0,14470444,用例注释,江苏省|镇江市|京口区|谷阳路|,OPPO  R811,Android 4.0.4,WIFI,无SIM卡,R811_12_4.11_140626,打开软件，点击登录，看到验证码登陆中的验证码的框不完全,打开软件，点击登录，看到验证码登陆中的验证码的框不完全,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8105915_77a13aa3-922e-4c16-8871-c1b1fe2c4286.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8105914_23b01554-e47c-4422-ac25-117031d341ef.jpg""]",未知,P0,审核通过,2015-12-15 15:40:19,,20
0,14470444,用例注释,江苏省|镇江市|京口区|谷阳路|,OPPO  R811,Android 4.0.4,WIFI,无SIM卡,R811_12_4.11_140626,打开软件，点击登录，点击密码登陆，无法输入密码,打开软件，点击登录，点击密码登陆，无法输入密码,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8105915_77a13aa3-922e-4c16-8871-c1b1fe2c4286.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8105914_23b01554-e47c-4422-ac25-117031d341ef.jpg""]",未知,P0,审核通过,2015-12-15 15:40:19,,13
0,851370,用例注释,四川省|南充市|南部县|S101|,Xiaomi  2013022,Android 4.2.1,WIFI,中国移动,HBJ2.0,登陆界面设计不合理美观，用户名和验证码不能显示，导致用户不知道要输入什么信息,"登陆界面设计不合理美观，用户名和验证码不能显示，导致用户不知道要输入什么信息
估计是字体设置成白颜色 和背景融为一体了",[],未知,P0,审核通过,2015-12-15 15:45:13,,25
0,851370,用例注释,四川省|南充市|南部县|S101|,Xiaomi  2013022,Android 4.2.1,WIFI,中国移动,HBJ2.0,软件主页各个分栏目，均没有配文字，而是只有小小的图标！,软件主页各个分栏目，均没有配文字，而是只有小小的图标！很影响用户的使用，不能够快速的找到自己所需要的栏目信息,[],未知,P0,审核不通过,2015-12-15 15:45:13,,9
0,851370,用例注释,四川省|南充市|南部县|S101|,Xiaomi  2013022,Android 4.2.1,WIFI,中国移动,HBJ2.0,用户注册界面设计不合理，需要什么信息来注册不能显示，导致用户不知道要输入什么信息,用户注册界面设计不合理，需要什么信息来注册不能显示，导致用户不知道要输入什么信息。估计是字体设置成白颜色 和背景融为一体了,[],未知,P0,审核不通过,2015-12-15 15:45:13,,25
0,15471034,用例注释,河南省|郑州市|金水区|北三环|,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,既然属于一个自选的药品网站就应该加上购买过本药品的客户反馈，也可以添加该药品的评价，以确认药品的真实性和可自主购买性,既然属于一个自选的药品网站就应该加上购买过本药品的客户反馈，也可以添加该药品的评价，以确认药品的真实性和可自主购买性,[],未知,P0,审核不通过,2015-12-15 15:49:45,,8
0,14249025,用例注释,江苏省|镇江市|京口区|谷阳路|,htc_europe  HTC Z560e,Android 4.1.1,WIFI,中国移动,JRO03C,软件报错提示“已停止运行”,打开软件，点击“我的”，点击当前订单，软件报错提示“已停止运行”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106369_7815ab06-9155-4731-9627-1ebbfde7d81c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106368_b506c861-6ebb-4906-aa2a-990c205dfdea.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106367_32aca110-3b68-4f13-b46e-f8620de06b0c.jpg""]",未知,P0,审核通过,2015-12-15 15:51:55,,0
0,14249025,用例注释,江苏省|镇江市|京口区|谷阳路|,htc_europe  HTC Z560e,Android 4.1.1,WIFI,中国移动,JRO03C,打开软件，点击登录，看到验证码登陆中的验证码的框不完全,打开软件，点击登录，看到验证码登陆中的验证码的框不完全,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106369_7815ab06-9155-4731-9627-1ebbfde7d81c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106368_b506c861-6ebb-4906-aa2a-990c205dfdea.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106367_32aca110-3b68-4f13-b46e-f8620de06b0c.jpg""]",未知,P0,审核通过,2015-12-15 15:51:55,,20
0,14249025,用例注释,江苏省|镇江市|京口区|谷阳路|,htc_europe  HTC Z560e,Android 4.1.1,WIFI,中国移动,JRO03C,软件报错提示“已停止运行”,打开软件，点击“我的”，点击待评价，软件报错提示“已停止运行”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106369_7815ab06-9155-4731-9627-1ebbfde7d81c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106368_b506c861-6ebb-4906-aa2a-990c205dfdea.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106367_32aca110-3b68-4f13-b46e-f8620de06b0c.jpg""]",未知,P0,审核不通过,2015-12-15 15:51:55,,0
0,14249025,用例注释,江苏省|镇江市|京口区|谷阳路|,htc_europe  HTC Z560e,Android 4.1.1,WIFI,中国移动,JRO03C,软件报错提示“已停止运行”,打开软件，点击“我的”，点击收藏，软件报错提示“已停止运行”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106369_7815ab06-9155-4731-9627-1ebbfde7d81c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106368_b506c861-6ebb-4906-aa2a-990c205dfdea.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106367_32aca110-3b68-4f13-b46e-f8620de06b0c.jpg""]",未知,P0,审核不通过,2015-12-15 15:51:55,,0
0,14249025,用例注释,江苏省|镇江市|京口区|谷阳路|,htc_europe  HTC Z560e,Android 4.1.1,WIFI,中国移动,JRO03C,软件报错提示“已停止运行”,打开软件，点击“感冒用药”，点击右下的购物车，软件报错提示“已停止运行”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106369_7815ab06-9155-4731-9627-1ebbfde7d81c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106368_b506c861-6ebb-4906-aa2a-990c205dfdea.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8106367_32aca110-3b68-4f13-b46e-f8620de06b0c.jpg""]",未知,P0,审核不通过,2015-12-15 15:51:55,,0
