case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,851370,购物狂,四川省|南充市|南部县|S101|,Xiaomi  2013022,Android 4.2.1,WIFI,中国移动,HBJ2.0,没有找到用户登录注册界面！,没有找到用户登录注册界面！不登录注册，怎么能留住客户！,[],未知,P0,审核不通过,2015-12-18 23:01:17,,10
0,15471034,购物狂,河南省|郑州市|金水区|北环路|61号,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,分类不清晰，不细致，种类不完善,分类不清晰，不细致，种类不完善，比如女装里面可以在细分为：外套，毛衣，裤子等等,[],未知,P0,审核通过,2015-12-18 23:01:32,,3
0,14379092,购物狂,广东省|佛山市|南海区|蟠溪路|,Xiaomi  HM 1S,Android 4.4.4,WIFI,中国联通,KTU84P,首页点右上角，功能图标，没有任何反应，，,"在软件里面找不到直接，登入，设置，的地方，只有进入店铺，点收藏，加购车，的时候才提示有登入的界面，，
我点软件首页，右上角的图标试了下，看是不是，登入和设置，的入口，但点击后没有任何反应，，","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8299372_a5cccfe5-08d1-48d3-adc5-b14bdaaf1bcf.jpg""]",未知,P0,审核不通过,2015-12-18 23:01:46,,12
0,1232397,购物狂,辽宁省|大连市|金州区|G202(国泰路)|,Honor  Che1-CL20,Android 4.4.4,WIFI,中国联通,Che1-CL20V100R001CHNC00B282,单调的过度，可否直接推出一个爆款之类的,单调的过度，可否直接推出一个爆款之类的 华为4x wifi,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8299869_5272acb7-8149-4572-8d30-e47d32451186.jpg""]",未知,P0,审核不通过,2015-12-18 23:02:05,,14
0,2787376,购物狂,河北省|石家庄市|栾城县|栾城大街|,Lenovo  Lenovo A750,Android 4.0.3,WIFI,无SIM卡,A750_S306_120530,首页点击刷新，会出现白屏，然后才会显示内容,首页点击刷新，会出现白屏，然后才会显示内容....,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8300051_7f666d98-8f8c-4f10-8cb3-db4d70bc72ef.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8300050_c5055050-f927-4622-991b-d3d0f8c958f3.jpg""]",未知,P0,审核不通过,2015-12-18 23:02:26,,11
0,2787376,购物狂,河北省|石家庄市|栾城县|栾城大街|,Lenovo  Lenovo A750,Android 4.0.3,WIFI,无SIM卡,A750_S306_120530,太卡，很不流畅，点击任一按钮，都会等待较长的时间才能打开相应操作,太卡，很不流畅，点击任一按钮，都会等待较长的时间才能打开相应操作,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8300051_7f666d98-8f8c-4f10-8cb3-db4d70bc72ef.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8300050_c5055050-f927-4622-991b-d3d0f8c958f3.jpg""]",未知,P0,审核不通过,2015-12-18 23:02:41,,16
0,2787376,购物狂,河北省|石家庄市|栾城县|栾城大街|,Lenovo  Lenovo A750,Android 4.0.3,WIFI,无SIM卡,A750_S306_120530,点击任一商品，进入基本信息，点击商品详情，切换应用程序，然后切换回，点击操作失效，无法进入商品详情,点击任一商品，进入基本信息，点击商品详情，切换应用程序，然后切换回，点击操作失效，无法进入商品详情,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8300051_7f666d98-8f8c-4f10-8cb3-db4d70bc72ef.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8300050_c5055050-f927-4622-991b-d3d0f8c958f3.jpg""]",未知,P0,审核通过,2015-12-18 23:02:50,,7
0,531756,购物狂,山西省|太原市|古交市|青山路|,Tencent  Tencent TOS,Android 4.4.4,WIFI,中国联通,4.4.064.P0.150715.8675-A,打开app首页，在搜索框输入“女”，搜索，点击右上角“综合”切换排序方式为“价格从高到低”，商品搜索结果页面显示最高价格的商品为“6500元”，然后点击右上角“筛选”，选择“免运费”，点击确定，商品搜索结果页面价格最高的是“59400元”。,打开app首页，在搜索框输入“女”，搜索，点击右上角“综合”切换排序方式为“价格从高到低”，商品搜索结果页面显示最高价格的商品为“6500元”，然后点击右上角“筛选”，选择“免运费”，点击确定，商品搜索结果页面价格最高的是“59400元”。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8300124_35b95142-6a8e-4649-b4de-a6d4ae2c4425.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8300123_03c58d6e-430c-4b76-ac64-404439fac523.jpg""]",未知,P0,审核通过,2015-12-18 23:02:59,,13
0,14717178,购物狂,江西省|南昌市|西湖区|丁公路|166号-2栋,Xiaomi  HM NOTE 1W,Android 4.4.2,WIFI,中国联通,JH3CN0.0-9a804de0c54b914fc25fb,app主界面4栏滚动广告栏显示问题,4栏滚动广告栏图片显示不完全，比如第一个burberry的b就被砍掉了一半，红米note，miui7，wifi,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8301046_0e9866a3-fff9-483e-86a8-00f5ee874e26.jpg""]",未知,P0,审核通过,2015-12-18 23:03:08,,14
0,14717178,购物狂,江西省|南昌市|西湖区|丁公路|166号-2栋,Xiaomi  HM NOTE 1W,Android 4.4.2,WIFI,中国联通,JH3CN0.0-9a804de0c54b914fc25fb,app主界面4栏滚动广告栏跳转问题,app主界面4栏滚动广告栏图片点击后并不跳转到应该对应的地方，比如burberry图片写着巴博丽官方旗舰店但是仅仅跳转到男装类目,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8301046_0e9866a3-fff9-483e-86a8-00f5ee874e26.jpg""]",未知,P0,审核通过,2015-12-18 23:03:15,,14
