case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,11586465,模块,四川省|南充市|西充县|G212|,Honor  CHE-TL00,Android 4.4.2,WIFI,中国移动,CHE-TL00 V100R001C01B231-1GRAM,设置--最上端的天气--看到右上方写了个81，但是这个81是pm2.5中算高还是低，没有说明,设置--最上端的天气--看到右上方写了个81，但是这个81是pm2.5中算高还是低，没有说明,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970251_7ec6f5e8-e413-4956-a667-a36dcec905a5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970250_ae83bc99-be0a-4682-8faf-a8dfe8ec667f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970249_ef1a3381-7906-4de9-b06f-2ecb8e52b315.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970248_d3c7c1e9-79bc-4793-b209-b024ce912d13.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970246_6a01f880-6992-48dd-830a-e90a8eac3e44.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970245_335c3e3b-eb1a-497a-9c8a-f0b0a4b75019.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970244_c4deab3a-7b08-46c7-a6a7-967b3e552959.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970243_867caeaa-3d5f-4993-b425-beffe1de5391.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970242_2e7b9737-fef8-4153-b959-e96d160719a2.jpg""]",未知,P0,审核不通过,2016-02-17 11:57:39,,22
0,11586465,模块,四川省|南充市|西充县|G212|,Honor  CHE-TL00,Android 4.4.2,WIFI,中国移动,CHE-TL00 V100R001C01B231-1GRAM,湿度和紫外线的右边写了一个中等，是指湿度中等还是紫外线中等，不明确,湿度和紫外线的右边写了一个中等，是指湿度中等还是紫外线中等，不明确,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970251_7ec6f5e8-e413-4956-a667-a36dcec905a5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970250_ae83bc99-be0a-4682-8faf-a8dfe8ec667f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970249_ef1a3381-7906-4de9-b06f-2ecb8e52b315.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970248_d3c7c1e9-79bc-4793-b209-b024ce912d13.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970246_6a01f880-6992-48dd-830a-e90a8eac3e44.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970245_335c3e3b-eb1a-497a-9c8a-f0b0a4b75019.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970244_c4deab3a-7b08-46c7-a6a7-967b3e552959.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970243_867caeaa-3d5f-4993-b425-beffe1de5391.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970242_2e7b9737-fef8-4153-b959-e96d160719a2.jpg""]",未知,P0,审核不通过,2016-02-17 11:57:47,,22
0,15378843,模块,贵州省|毕节市|黔西县|X720(黔金路)|,samsung  GT-I8268,Android 4.1.2,WIFI,无SIM卡,JZO54K.I8268ZMANI3,关于我们项的布局错乱。,打开软件-往左扒，点关于我们，里面文字最后2行，技术支持，支持2个字前面的空格太多，影响整个布局。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970561_bcae4c6b-5e6e-4237-ab96-454b9bf7c8e8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970560_e9dcf389-b946-480d-850d-6a2b8b38ef98.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970559_8cea0c49-685b-40c6-ba55-82d82ed3122f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11970558_1194c8d8-f4a1-451a-8e1e-a123de9e1157.jpg""]",未知,P0,审核不通过,2016-02-17 12:54:04,,31
0,14927138,模块,北京市|北京市|海淀区|软件园南街|,google  Nexus 5,Android 4.4.3,WIFI,无SIM卡,KTU84M,科技聚焦中的图片全部无法加载。,选择“科技聚焦”模块，所有的每日知识图片均无法加载。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983203_d0d038c1-e91a-44a5-91f5-89c8ee94d4f0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983202_d833dace-fe1d-4599-9545-4461b2c2f9c2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983201_4d1d83b1-9d22-482a-8403-f23e9bec02d4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983200_f584dd21-f565-41d1-b8be-7a4b583ab44f.jpg""]",未知,P0,审核通过,2016-02-17 13:11:00,,23
0,14927138,模块,北京市|北京市|海淀区|软件园南街|,google  Nexus 5,Android 4.4.3,WIFI,无SIM卡,KTU84M,点击“给我们评分”，无法评分。,主页点击头像进入个人中心，点击“给我们评分”，弹出百度手机助手和谷歌商店，点击这两个选项均无法评分。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983203_d0d038c1-e91a-44a5-91f5-89c8ee94d4f0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983202_d833dace-fe1d-4599-9545-4461b2c2f9c2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983201_4d1d83b1-9d22-482a-8403-f23e9bec02d4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983200_f584dd21-f565-41d1-b8be-7a4b583ab44f.jpg""]",未知,P0,审核通过,2016-02-17 13:11:13,,21
0,14927138,模块,北京市|北京市|海淀区|软件园南街|,google  Nexus 5,Android 4.4.3,WIFI,无SIM卡,KTU84M,pm2.5显示的数字有差异。,点击进入天气，圆圈里pm2.5显示是77，下方详细数据却显示56.,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983203_d0d038c1-e91a-44a5-91f5-89c8ee94d4f0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983202_d833dace-fe1d-4599-9545-4461b2c2f9c2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983201_4d1d83b1-9d22-482a-8403-f23e9bec02d4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11983200_f584dd21-f565-41d1-b8be-7a4b583ab44f.jpg""]",未知,P0,审核通过,2016-02-17 13:11:23,,22
0,2872823,模块,福建省|福州市|马尾区|马江路|8号,Xiaomi  HM 2A,Android 4.4.4,WIFI,中国联通,KTU84P,分享功能实在是悲剧，谁用这两个分享,分享功能实在是悲剧，谁用这两个分享。还是加qq，微博，微信分享吧。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11962637_bf741809-1f13-488e-9a6a-c2ffc681bd62.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11962636_ee182c80-28ad-4196-87db-72f997fbb233.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11962635_542fb3de-b54a-483f-aa3f-8fd3489ef636.jpg""]",未知,P0,审核不通过,2016-02-17 20:40:35,,13
0,6149761,模块,贵州省|毕节市|黔西县|公园巷|13,Honor  CHM-CL00,Android 4.4.4,WIFI,中国电信,CHM-CL00V100R001C92B162,软件邮箱有时不能注册。,打开软件，点个人图标-点登录-点立即注册-选邮箱注册。填写完邮箱和密码后点注册，显示推送号错误。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11963632_b973361c-ad9c-4ab0-b14d-ebb1d5220c67.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11963631_72206ef6-60fa-4a4b-a109-13047e9b6a9e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11963628_26f96a01-df66-4667-9041-a612035d9f2a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11963627_197ebac5-0175-41db-a649-ea37df2fcc18.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11963626_39bef153-001e-41cc-8099-60620c0e888e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11963625_7372d4a2-fb64-4764-9684-1f5107413ae7.jpg""]",未知,P0,审核通过,2016-02-17 20:41:12,,9
0,16596724,模块,广东省|东莞市|东莞市市辖区|东新西路|null,Coolpad  Coolpad 8702,Android 4.3,WIFI,中国移动,4.3.021.P0.140412.8702,进入页面首页点击重新加载时提示“签名认证错误”,进入页面首页点击重新加载时提示“签名认证错误”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987066_dc3f1681-9a63-4809-8afd-1f524b759933.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987065_d4133f11-4608-40f4-896e-aa42aa30f005.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987064_07857431-675d-4cf7-aa8e-e3e35671186d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987063_07e47ccb-1af9-4612-9238-f49f0bee19c5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987062_f81558f9-7908-40e1-9908-a61e38fa01f8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987061_76b65e19-3ad3-4722-af47-cf20c3980554.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987060_0ac850cd-568b-4cd8-b02d-689d16e94623.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987059_7b6aace2-dfc6-4df1-8762-85991c01442a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987058_d1d1b04f-8734-44fa-a25b-c90caf42c4f5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987056_5495a816-59b3-4880-a29a-8788738fc3e3.jpg""]",未知,P0,审核通过,2016-02-17 20:41:54,,3
0,16596724,模块,广东省|东莞市|东莞市市辖区|东新西路|null,Coolpad  Coolpad 8702,Android 4.3,WIFI,中国移动,4.3.021.P0.140412.8702,app首页点击手机返回键退出后提示程序停止运行；系统崩溃,app首页点击手机返回键退出后提示程序停止运行；系统崩溃,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987066_dc3f1681-9a63-4809-8afd-1f524b759933.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987065_d4133f11-4608-40f4-896e-aa42aa30f005.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987064_07857431-675d-4cf7-aa8e-e3e35671186d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987063_07e47ccb-1af9-4612-9238-f49f0bee19c5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987062_f81558f9-7908-40e1-9908-a61e38fa01f8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987061_76b65e19-3ad3-4722-af47-cf20c3980554.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987060_0ac850cd-568b-4cd8-b02d-689d16e94623.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987059_7b6aace2-dfc6-4df1-8762-85991c01442a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987058_d1d1b04f-8734-44fa-a25b-c90caf42c4f5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/11987056_5495a816-59b3-4880-a29a-8788738fc3e3.jpg""]",未知,P0,审核通过,2016-02-17 20:46:20,,29
