case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,15453297,资讯模块,山东省|烟台市|龙口市|南山路|null,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国移动,LMY47V,注册时，发送手机验证码，收到验证码时，点击手机桌面键，看短信（此时软件应该是后台运行），记好验证码后返回软件，这时软件正在重新打开，需要重新进入注册页面，（也就是刚才软件关闭了）。软件正常使用时也存在这个问题。,注册时，发送手机验证码，收到验证码时，点击手机桌面键，看短信（此时软件应该是后台运行），记好验证码后返回软件，这时软件正在重新打开，需要重新进入注册页面，（也就是刚才软件关闭了）。软件正常使用时也存在这个问题。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14896064_2d0db58b-fc47-418e-b76e-6e451d72b115.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14896063_4400d524-ddc3-4818-bd3d-0674f445c2bc.jpg""]",未知,P0,审核通过,2016-03-11 19:38:44,,24
1,768348,开户模块,江苏省|徐州市|铜山区|厚德路|,Meizu  M040,Android 5.0.1,WIFI,中国移动,Flyme OS 4.5.7.1A,填写开户信息点击qq号码和电子邮箱时键盘弹出又自动隐藏，无法输入信息,打开app，点击开户，选择第一个万致进行开户，点击立即开户，点击qq号码或者电子邮箱进行填写,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14896287_ea354b44-23a0-400c-af7c-b7fa95df8899.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14896286_38e1d367-4eae-4ba5-92db-4c339495bba5.jpg""]",未知,P0,审核通过,2016-03-11 19:39:29,,11
0,13941483,资讯模块,河南省|郑州市|金水区|北环路|61号,ZTE  ZTE U879,Android 4.2.2,WIFI,无SIM卡,U879V1.0.0B03,手机注册成功后，登录后弹出:很抱歉，程序出现异常，即将退出。,手机注册成功后，登录后弹出:很抱歉，程序出现异常，即将退出。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14896948_0b2a829a-0bef-4312-aa96-56530581aae7.jpg""]",未知,P0,审核通过,2016-03-11 19:39:35,,27
0,47148,资讯模块,上海市|上海市|普陀区|武宁路|19号906室,OnePlus  ONE A2001,Android 5.1.1,WIFI,中国联通,ONE A2001_14_160302,资讯---机构观点----svsfx汇评页面错乱,打开资讯---机构观点----svsfx汇评  页面错乱,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14897873_b34f24de-a3b2-4f61-987e-f20db5895755.jpg""]",未知,P0,审核不通过,2016-03-11 19:40:25,,33
2,47148,交易直播模块,上海市|上海市|普陀区|武宁路|19号906室,OnePlus  ONE A2001,Android 5.1.1,WIFI,中国联通,ONE A2001_14_160302,关注，取消关注，反应 太慢,点击关注，取消关注，反应 太慢，约0.5秒，明显延迟,[],未知,P0,审核不通过,2016-03-11 19:41:17,,18
0,15065700,资讯模块,湖南省|岳阳市|湘阴县|X057(滨江大道)|,HONOR  PLK-TL01H,Android 5.0.2,WIFI,中国移动,PLK-TL01HC01B188,安装运行app游客登陆选择开户，我要开户页面的黄金点差、最少头寸文字显示不完全,安装运行app游客登陆选择开户，我要开户页面的黄金点差、最少头寸文字显示不完全,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899735_b4314941-c08a-471c-b92e-99a143eceb08.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899732_8f94d8b9-ff69-4705-bbda-17bb98ed0c85.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899731_97ea4ed6-addb-431a-8291-2cd424b087ff.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899729_b180a329-8be7-4945-a6c5-bfa1f4702a3b.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899727_0595cbf1-4be5-4c1a-b58c-d18497d83a0a.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899724_2106562a-5b96-4abf-ab34-710bb78046b9.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899722_c8650b9d-a43c-488b-9a30-fff73e8660e4.jpg""]",未知,P0,审核通过,2016-03-11 19:51:41,,31
0,15065700,资讯模块,湖南省|岳阳市|湘阴县|X057(滨江大道)|,HONOR  PLK-TL01H,Android 5.0.2,WIFI,中国移动,PLK-TL01HC01B188,安装运行app游客登陆选择历史，选择牛人中的历史记录进入后。每件商品下面四个数字显示不完全,安装运行app游客登陆选择历史，选择牛人中的历史记录进入后。每件商品下面四个数字显示不完全,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899735_b4314941-c08a-471c-b92e-99a143eceb08.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899732_8f94d8b9-ff69-4705-bbda-17bb98ed0c85.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899731_97ea4ed6-addb-431a-8291-2cd424b087ff.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899729_b180a329-8be7-4945-a6c5-bfa1f4702a3b.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899727_0595cbf1-4be5-4c1a-b58c-d18497d83a0a.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899724_2106562a-5b96-4abf-ab34-710bb78046b9.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899722_c8650b9d-a43c-488b-9a30-fff73e8660e4.jpg""]",未知,P0,审核通过,2016-03-11 19:52:01,,7
0,15065700,资讯模块,湖南省|岳阳市|湘阴县|X057(滨江大道)|,HONOR  PLK-TL01H,Android 5.0.2,WIFI,中国移动,PLK-TL01HC01B188,安装运行app注册，输入相关信息第二个页面辑个人信息，帐户净值框里面的文字说明最后一个字只显示一半,安装运行app注册，输入相关信息第二个页面辑个人信息，帐户净值框里面的文字说明最后一个字只显示一半,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899735_b4314941-c08a-471c-b92e-99a143eceb08.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899732_8f94d8b9-ff69-4705-bbda-17bb98ed0c85.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899731_97ea4ed6-addb-431a-8291-2cd424b087ff.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899729_b180a329-8be7-4945-a6c5-bfa1f4702a3b.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899727_0595cbf1-4be5-4c1a-b58c-d18497d83a0a.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899724_2106562a-5b96-4abf-ab34-710bb78046b9.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899722_c8650b9d-a43c-488b-9a30-fff73e8660e4.jpg""]",未知,P0,审核不通过,2016-03-11 19:54:39,,29
0,15065700,资讯模块,湖南省|岳阳市|湘阴县|X057(滨江大道)|,HONOR  PLK-TL01H,Android 5.0.2,WIFI,中国移动,PLK-TL01HC01B188,安装运行app注册，输入相关信息第二个页面辑个人信息，帐户净值下面的提示，最后一行文字显示不完全,安装运行app注册，输入相关信息第二个页面辑个人信息，帐户净值下面的提示，最后一行文字显示不完全,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899735_b4314941-c08a-471c-b92e-99a143eceb08.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899732_8f94d8b9-ff69-4705-bbda-17bb98ed0c85.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899731_97ea4ed6-addb-431a-8291-2cd424b087ff.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899729_b180a329-8be7-4945-a6c5-bfa1f4702a3b.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899727_0595cbf1-4be5-4c1a-b58c-d18497d83a0a.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899724_2106562a-5b96-4abf-ab34-710bb78046b9.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899722_c8650b9d-a43c-488b-9a30-fff73e8660e4.jpg""]",未知,P0,审核不通过,2016-03-11 19:54:44,,29
0,15065700,资讯模块,湖南省|岳阳市|湘阴县|X057(滨江大道)|,HONOR  PLK-TL01H,Android 5.0.2,WIFI,中国移动,PLK-TL01HC01B188,安装运行app点找回密码，输入手机号点获取验证码，超过时间后，重新获取验证码，证码两个字跳行显示了,安装运行app点找回密码，输入手机号点获取验证码，超过时间后，重新获取验证码，证码两个字跳行显示了,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899735_b4314941-c08a-471c-b92e-99a143eceb08.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899732_8f94d8b9-ff69-4705-bbda-17bb98ed0c85.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899731_97ea4ed6-addb-431a-8291-2cd424b087ff.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899729_b180a329-8be7-4945-a6c5-bfa1f4702a3b.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899727_0595cbf1-4be5-4c1a-b58c-d18497d83a0a.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899724_2106562a-5b96-4abf-ab34-710bb78046b9.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/14899722_c8650b9d-a43c-488b-9a30-fff73e8660e4.jpg""]",未知,P0,审核不通过,2016-03-11 19:54:49,,9
