case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,1668003,短信发送及接收,江苏省|南京市|雨花台区|春晓路|,Meizu  M040,Android 4.4.4,WIFI,中国移动,Flyme OS 3.7.3A,打开界面后，看不到安全短信,打开主界面，点击防骚扰，再点击右上方的圈圈，没有安全短信,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2460908_77c74284-c242-4a0a-ac53-067da05e170d.jpg""]",未知,P3,审核通过,2015-01-16 10:34:51,,19
0,3841044,短信发送及接收,福建省|厦门市|思明区|望海路|43号,Xiaomi  HM NOTE 1LTEW,Android 4.4.4,WIFI,中国联通,KTU84P,打开时候出现无响应，然后选择等待，再次刷新进入,打开时候出现无响应，然后选择等待，再次刷新进入,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2460916_1930b8bf-81cc-4484-a85b-254f2b44c006.jpg""]",未知,P3,审核通过,2015-01-16 10:36:41,,11
0,2320276,短信发送及接收,广东|珠海,samsung  GT-I8268,Android 4.1.2,WIFI,中国联通,JZO54K.I8268ZMAME1,无法发送信息，出现闪退现象,当输入手机号码按发送时，出现了“工作停止”字样，然后自动退出操作的界面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2460924_4af2900f-70f5-44d2-847a-2ea925def93a.jpg""]",已知,P2,审核通过,2015-01-16 10:42:24,,10
0,1667970,短信发送及接收,江苏省|南京市|雨花台区|春晓路|,Meizu  M040,Android 4.4.4,WIFI,中国移动,Flyme OS 3.7.3A,进入放骚扰页面后，点击小圈圈，没有安全短信,打开主页，进入放骚扰页面后，点击小圈圈，没有安全短信的按钮，找不到,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2460945_76870ff2-f1ba-41e3-9493-ab4ff1ab1f9b.jpg""]",未知,P3,审核通过,2015-01-16 10:43:43,,19
0,14085349,短信发送及接收,广东省|广州市|萝岗区|九龙大道|,Huawei  H30-T10,Android 4.4.2,mobile HSDPA,中国移动,EMUI2.3_H30-T10_4.9.1,bug概述，打开百度手机卫士，手机会有短暂的卡顿，不知道怎么回事，短信功能能正常收发。,bug概述，打开百度手机卫士，手机会有短暂的卡顿，不知道怎么回事，短信功能能正常收发。希望以后会有好的改善。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2460941_00e58ef5-c179-4f15-8383-41f6412e199d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2460942_22080484-3fa6-4f19-8698-1f48f5171a07.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2460943_f69e71e4-8f32-4544-b01c-5e3fa39709e1.jpg""]",未知,P3,审核通过,2015-01-16 10:45:20,,7
0,2613987,短信发送及接收,江苏省|南京市|雨花台区|春晓路|,Meizu  M040,Android 4.4.4,WIFI,中国移动,Flyme OS 3.7.3A,没有找到安全短信的按钮啊,进入主页面，点击防骚扰，再次点击右上方按钮，进入后找不到安全短信啊,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461010_453a4334-b0b6-479b-850a-b2ecc6496336.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461011_0e54482d-ea65-4c93-a257-736c106529dd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461012_c32c61ff-14de-458b-b39c-3d00847c6ebc.jpg""]",未知,P3,审核通过,2015-01-16 10:53:22,,19
0,5898506,短信发送及接收,广东省|清远市|清城区|连江路|,Meizu  M355,Android 4.4.4,WIFI,中国移动,Flyme OS 3.7.3A,魅族mx3找不到安全短信的选项,魅族mx3找不到安全短信的选项，现在没有办法发安全短信,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461036_5c810f6e-27e8-45a8-a8c0-cd21460d0085.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461037_f5d22faa-1f06-4e5d-863c-583da2384c13.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461038_eac62451-21d6-4ba7-9900-5493390a47f0.jpg""]",未知,P3,审核通过,2015-01-16 10:58:06,,5
0,3907150,短信发送及接收,湖南省|长沙市|芙蓉区|农园路|,Xiaomi  HM 1SC,Android 4.3,WIFI,中国电信,JLS36C,红米1s发送短信没反映,防骚扰-设置-安全短信-新建短信。发送给10000无反映,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461043_f59cec2d-cd23-4efe-bc96-cb905899313e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461044_9f4bc2c5-da10-4700-abaf-bc850e59934f.jpg""]",已知,P2,审核通过,2015-01-16 10:58:42,,2
0,14313822,短信发送及接收,山东省|枣庄市|滕州市|荆河东路|,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,魅蓝note找不到安全短信那个选项,"1、进入百度手机卫士主页
2、点击“防骚扰”
3、点击右上角“设置”按钮
4、点击“安全短信”条目（找不到安全短信这一条选项）","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461135_cf9a4543-db02-454f-bc3b-43ffb74702f7.jpg""]",未知,P3,审核通过,2015-01-16 11:04:17,,2
0,1197804,短信发送及接收,河南省|濮阳市|台前县|建新街|,htc  HTC D610t,Android 4.4.2,WIFI,中国移动,KOT49H release-keys,百度手机卫士停止运行。,"按照上述步骤操作的：点击“点击开启”，开启收件箱服务
点击下方的“+”按钮新建短信
在收件人输入框中输入任意有效的手机号码或店家下方的常用联系人列表中联系人
输入短信内容，点击“发送”按钮","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2461124_d02569d7-21ff-404a-b535-941b59da4007.jpg""]",已知,P2,审核通过,2015-01-16 11:04:54,,0
