case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,11631802,FolderExplorerV1.0自由测试,广东省|中山市|中山市市辖区|隆发路|13-b,Huawei  HUAWEI G7-UL20,Android 4.4.4,mobile LTE,中国联通,G7-UL20V100R001CHNC00B266,在资源管理器中点搜索，输入已存在的文件名，如截图所示，但搜索到的文件有很多是不相关的文件，看截图所示。,在资源管理器中点搜索，输入已存在的文件名，如截图所示，但搜索到的文件有很多是不相关的文件，看截图所示。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26281028_Screenshot_2016-05-25-18-42-56.jpeg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26281035_Screenshot_2016-05-25-18-42-44.jpeg""]",未知,P0,审核通过,2016-05-25 20:27:07,,10
0,15412365,FolderExplorerV1.0自由测试,江苏省|南京市|栖霞区|鸿雁路|,HONOR  PLK-TL01H,Android 5.0.2,WIFI,中国移动,PLK-TL01HC01B190,进入软件，手指左右滑动都是同一个界面。,"1.打开软件，进入资源管理器界面；
2.手指左右滑动出现的都是同一个界面。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26280925_%E6%89%8B%E6%8C%87.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26280932_%E6%89%8B%E6%8C%871.png""]",未知,P0,审核不通过,2016-05-25 20:27:25,,7
0,15412365,FolderExplorerV1.0自由测试,江苏省|南京市|栖霞区|鸿雁路|,HONOR  PLK-TL01H,Android 5.0.2,WIFI,中国移动,PLK-TL01HC01B190,文件搜索的过程中没有终止按键，点击手机上自带的返回按键也无法终止。,"1.打开软件，进入资源管理器界面；
2.点击资源管理器界面中的文件搜索按键进入；
3.输入好搜索内容后点击搜索；
4.文件搜索的过程中没有终止按键，点击手机上自带的返回按键也无法终止。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26281848_%E6%90%9C%E7%B4%A2.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26281878_%E6%90%9C%E7%B4%A21.png""]",未知,P0,审核通过,2016-05-25 20:27:32,,15
0,14414980,FolderExplorerV1.0自由测试,河北省|衡水市|武邑县|S385(宁武路)|,HONOR  PLK-AL10,Android 5.0.2,WIFI,中国移动,PLK-AL10C00B201,点击文件搜索，输入随意字符，搜索，出现的正在搜索框不停的上下抖动，输入手机上文件多的更明显，比如11等，第二张和第三张图位置明显不一样,点击文件搜索，输入随意字符，搜索，出现的正在搜索框不停的上下抖动，输入手机上文件多的更明显，比如11等,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26283528_IMG_20160525_190609.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26283542_Screenshot_2016-05-25-19-06-27.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26283557_Screenshot_2016-05-25-19-06-32.png""]",未知,P0,审核不通过,2016-05-25 20:27:48,,15
0,16563362,FolderExplorerV1.0自由测试,安徽省|阜阳市|颍州区|双清路|,Meizu  m2,Android 5.1,WIFI,中国移动,Flyme OS 4.5.3.2M,搜索文件失败，没有搜索要想要找的文件！,搜索文件失败，没有搜索要想要找的文件，搜索后的界面还是原界面！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26285196_S60525-191447.jpg""]",未知,P0,审核不通过,2016-05-25 20:28:06,,16
0,16563362,FolderExplorerV1.0自由测试,安徽省|阜阳市|颍州区|双清路|,Meizu  m2,Android 5.1,WIFI,中国移动,Flyme OS 4.5.3.2M,新建文件夹不成功，没有出现新的文件夹！,新建一个文件夹，点击完成，没有出现新的文件夹！手机型号魅蓝2 。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26285489_S60525-191544.jpg""]",未知,P0,审核不通过,2016-05-25 20:28:29,,8
0,16563362,FolderExplorerV1.0自由测试,安徽省|阜阳市|颍州区|双清路|,Meizu  m2,Android 5.1,WIFI,中国移动,Flyme OS 4.5.3.2M,没有选择任何文件，界面的右上角显示“已选1项”！,没有选择任何文件，界面的右上角显示“已选1项”！手机型号魅蓝2 。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26285702_S60525-191738.jpg""]",未知,P0,审核通过,2016-05-25 20:28:44,,9
0,16563362,FolderExplorerV1.0自由测试,安徽省|阜阳市|颍州区|双清路|,Meizu  m2,Android 5.1,WIFI,中国移动,Flyme OS 4.5.3.2M,重命名文件失败，点击完成文件还是之前的名字！,重命名文件失败，点击完成文件还是之前的名字！手机型号魅蓝2 。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26285794_S60525-191752.jpg""]",未知,P0,审核不通过,2016-05-25 20:29:12,,6
0,16563362,FolderExplorerV1.0自由测试,安徽省|阜阳市|颍州区|双清路|,Meizu  m2,Android 5.1,WIFI,中国移动,Flyme OS 4.5.3.2M,删除文件失败，点击删除没有删除选中的文件！,删除文件失败，点击删除没有删除选中的文件！手机型号魅蓝2 。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26285888_S60525-191803.jpg""]",未知,P0,审核通过,2016-05-25 20:29:24,,6
0,16563362,FolderExplorerV1.0自由测试,安徽省|阜阳市|颍州区|双清路|,Meizu  m2,Android 5.1,WIFI,中国移动,Flyme OS 4.5.3.2M,点击复制选中文件，显示不能复制到当前目录下！,点击复制选中文件，显示不能复制到当前目录下！手机型号魅蓝2 。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26286057_S60525-191834.jpg""]",未知,P0,审核不通过,2016-05-25 20:29:47,,0
