case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,16848034,创惠易购V0.0.2自由测试,江苏省|连云港市|灌云县|燕板线|,samsung  SM-G7108V,Android 4.3,WIFI,中国移动,JLS36C.G7108VZMUANE2,图片显示明显延迟卡顿,"1.打开软件，进入主界面；
2.图片不显示，文字显示。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32075078_01.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32075082_02.png""]",未知,P0,审核不通过,2016-07-07 08:10:23,,12
0,17034869,创惠易购V0.0.2自由测试,山东省|日照市|东港区|北园四路|18号,Huawei  HUAWEI C8816,Android 4.3,WIFI,无SIM卡,C8816V100R001C92B802,首次进入软件，点击首页最下端“清单”按钮后，下端标签图片显示不完整。,打开软件点击下端“清单”按钮后，下端标签图片显示不完整。点其他按钮后，图片复原再次点击“清单”按钮后，下端标签图片显示又不完整。如果在清单添加过商品，此bug就不会出现。,[],未知,P0,审核不通过,2016-07-07 08:10:36,,12
0,15140900,创惠易购V0.0.2自由测试,四川省|南充市|西充县|G212(兰渝线)|,Xiaomi  2014813,Android 4.4.4,WIFI,中国移动,KTU84P,积分明细无法查看                            。,积分明细无法查看                            。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32076200_Screenshot_2016-07-06-17-02-46.png""]",未知,P0,审核不通过,2016-07-07 08:11:50,,6
0,11100923,创惠易购V0.0.2自由测试,四川省|广安市|广安区|S304(广前公路)|,lge  LG-E985T,Android 4.2.2,WIFI,中国移动,JDQ39B,登录软件进入个人中心设置里面更换头像后显示成功，返回个人中心上方头像未马上更新。,登录软件进入个人中心设置里面更换头像后显示成功，返回个人中心上方头像未马上更新。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32077112_Screenshot_2016-07-06-17-02-04.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32077119_Screenshot_2016-07-06-17-02-09.png""]",未知,P0,审核不通过,2016-07-07 08:13:47,,11
0,11100923,创惠易购V0.0.2自由测试,四川省|广安市|广安区|S304(广前公路)|,lge  LG-E985T,Android 4.2.2,WIFI,中国移动,JDQ39B,登录软件进入社区栏目选择选择帖子管理或者评论管理都弹出一白屏提示没有了,登录软件进入社区栏目选择选择帖子管理或者评论管理都弹出一白屏提示没有了,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32077530_Screenshot_2016-07-06-17-03-47.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32077536_Screenshot_2016-07-06-17-03-58.png""]",未知,P0,审核不通过,2016-07-07 08:15:51,,4
0,11100923,创惠易购V0.0.2自由测试,四川省|广安市|广安区|S304(广前公路)|,lge  LG-E985T,Android 4.2.2,WIFI,中国移动,JDQ39B,登录软件进入签到栏点签到后积分无变化，需要退出再进来才刷新积分数据，而不是实时更新,登录软件进入签到栏点签到后积分无变化，需要退出再进来才刷新积分数据，而不是实时更新,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32077781_Screenshot_2016-07-06-17-04-21.png""]",未知,P0,审核不通过,2016-07-07 08:16:03,,3
0,11100923,创惠易购V0.0.2自由测试,四川省|广安市|广安区|S304(广前公路)|,lge  LG-E985T,Android 4.2.2,WIFI,中国移动,JDQ39B,登录软件进入任意商品弹出英文报错框，关闭后可以继续操作。,登录软件进入任意商品弹出英文报错框，关闭后可以继续操作。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32077946_Screenshot_2016-07-06-17-04-52.png""]",未知,P0,审核不通过,2016-07-07 08:17:38,,5
0,16872961,创惠易购V0.0.2自由测试,广东省|江门市|开平市|富强路|,Hisense  Hisense M20-T,Android 4.4.4,WIFI,中国电信,L_M20-T_B1_S17,商品内容详细页面文字很小,点击：夺宝，点击：分类栏目，点击：其他商品，点击第一张图片，点击：图文详细，在商品内容详细页面文字很小。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32078603_QQ%E5%9B%BE%E7%89%8720160706173046.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32078620_QQ%E5%9B%BE%E7%89%8720160706173049.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32078725_QQ%E5%9B%BE%E7%89%8720160706173052.jpg""]",未知,P0,审核不通过,2016-07-07 08:23:06,,12
0,851370,创惠易购V0.0.2自由测试,四川省|南充市|南部县|晓霞路|33号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方的我的，然后点击分享赚钱，再点击下方的朋友圈、空间、更多，随后弹出页面内容均是一样。,打开app后点击最下方的我的，然后点击分享赚钱，再点击下方的朋友圈、空间、更多，随后弹出页面内容均是一样。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32079245_10.jpg""]",未知,P0,审核不通过,2016-07-07 08:27:12,,2
0,17303689,创惠易购V0.0.2自由测试,广西壮族自治区|桂林市|七星区|七里店路|,HONOR  KNT-UL10,Android 6.0,WIFI,中国移动,KNT-UL10C00B129,发现菜单下面有一大块空白,"测试机器：华为荣耀v8
1、打开软件
2、点击发现菜单有一大块是空白的","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32080605_Screenshot_2016-07-06-17-51-40.png""]",未知,P0,审核不通过,2016-07-07 08:33:25,,3
