case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,18755,发表小迪说说,湖北省|襄阳市|襄城区|西巷子|,Xiaomi  2014811,Android 4.4.4,WIFI,中国移动,KTU84P,软件登陆时有闪退的情况，还有一次报error。。。。没有截到屏,"1、下载并安装软件；
2、用上次测试时注册的账号登陆；
3、第一次报error。。。。后面跟了一串字符，没有看清，截屏时没有截上，很快就消失了；再次点登陆，系统提示“没有连接”，也没有截到屏；第三次点登陆，软件闪退。
4、重新在微任务里面打开，软件显示已经登陆（貌似数据库中的注册信息应该在）。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8190001_1c321e3f-0040-4178-b536-471a556454b4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8190000_ca62d592-196e-48d7-bce2-83a8f2675aae.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8189999_ac7c4b07-fca7-45dc-ac80-5b35904b0fb6.jpg""]",未知,P0,审核通过,2015-12-17 08:01:34,,2
0,211775,发表小迪说说,河北省|石家庄市|桥东区|休门街|115号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,返回到“广场说说”页面，没有提示“发表成功”,在菜单栏点击“小迪说说”--右上角“发表”--输入任意信息后，添加图片点击“发表”按钮，返回到“广场说说”页面，没有提示“发表成功”，但是发表的说说信息成功显示在“广场说说”页面。,[],未知,P0,审核通过,2015-12-16 23:20:10,,15
1,211775,门店查询功能,河北省|石家庄市|桥东区|休门街|115号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,显示的距离不准，差距太大。,显示的距离不准，差距太大。北国商城店明明离我2.3公里（百度地图测得）店面列表却显示离我只有0.57公里，这差距也太大了。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8172346_95beae35-c306-4c8e-8892-84d8f05ff193.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8172345_1bde8195-13eb-4e69-b12f-5e7ba146bc6a.jpg""]",未知,P0,审核通过,2015-12-16 23:20:10,,29
0,458244,发表小迪说说,吉林省|松原市|宁江区|和煦街|,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,中国移动,KTU84P,安装程序后无法运行安装程序后无法运行安装程序后无法运行,安装程序后无法运行安装程序后无法运行安装程序后无法运行安装程序后无法运行,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8221335_65e3a822-39ff-4dd5-9da6-ceeea54a398a.jpg""]",未知,P0,审核通过,2015-12-18 10:15:22,,6
0,481216,发表小迪说说,山东省|临沂市|苍山县|G206|,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,无SIM卡,KTU84P,忘记密码，找回密码系统繁忙。,忘记密码，找回密码系统繁忙。测试手机红米note,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8173886_3da28e11-114b-4dd6-a55c-85b7527318fe.jpg""]",未知,P0,审核通过,2015-12-16 23:55:44,,21
0,531756,发表小迪说说,山西省|太原市|小店区|王村南街|15号,Tencent  Tencent TOS,Android 4.4.4,mobile HSPA+,中国联通,4.4.064.P0.150715.8675-A,安装好app，第一次打开主页中的“其他”，在团购页面点击商家列表中的商家，会跳转页面失败，页面显示“找不到网页”，这个bug只有第一次才有哦。,安装好app，第一次打开主页中的“其他”，在团购页面点击商家列表中的商家，会跳转页面失败，页面显示“找不到网页”，这个bug只有第一次才有哦。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8158052_cae0897f-3f94-403f-8fc9-8462797df4b7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8158049_4abf3bc9-4adf-4e87-967a-52558dbb0998.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8158048_0885494a-455b-4b72-a3ca-3a56d2eddc24.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8158047_125486cb-245f-4f7d-9fde-22af8456184f.jpg""]",未知,P0,审核通过,2015-12-16 20:21:10,,24
0,531756,发表小迪说说,山西省|太原市|小店区|王村南街|15号,Tencent  Tencent TOS,Android 4.4.4,mobile HSPA+,中国联通,4.4.064.P0.150715.8675-A,安装app后，打开主页中的“其他”，在团购页面点击商家列表中的商家，在商家详情页面点击左上方红色区域的返回按钮，会出现关闭字样，点击关闭，返回到主界面，此时，点击主页左上角的菜单键（三道横线标志）没有反应。点击返回键退出app，发现还有另一个app。（这是一个多开bug）,安装app后，打开主页中的“其他”，在团购页面点击商家列表中的商家，在商家详情页面点击左上方红色区域的返回按钮，会出现关闭字样，点击关闭，返回到主界面，此时，点击主页左上角的菜单键（三道横线标志）没有反应。点击返回键退出app，发现还有另一个app。（这是一个多开bug）,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8158052_cae0897f-3f94-403f-8fc9-8462797df4b7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8158049_4abf3bc9-4adf-4e87-967a-52558dbb0998.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8158048_0885494a-455b-4b72-a3ca-3a56d2eddc24.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8158047_125486cb-245f-4f7d-9fde-22af8456184f.jpg""]",未知,P0,审核通过,2015-12-16 20:21:10,,24
2,753702,完善资料,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"信息设置页面,在修改了昵称后,如果点过""感兴趣的品牌"",无论保存或返回,昵称修改均丢失","1.打开app,登录.
2.首页左上角图标展开菜单,点""获取积分""
3.点""完善资料"",进入""信息设置""页面.
4.修改昵称,之后点击""感兴趣的品牌"",进入品牌选择页面后,点右上角""保存""按钮返回信息设置页,之前修改的昵称丢失,恢复到修改前状态.
提供信息设置页相关操作前后截图数长.重要的事情说三遍!!!!这是第三遍!!!

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162820_13b7525a-456b-4dfa-8e4e-39f81e34f0fb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162818_e888abe9-8fd9-42a0-8051-d266d866f552.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162813_c035b36c-020e-42ba-bd5a-c552444e2556.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162811_da580ebe-ea0b-4493-bbb6-f31bfa9b63d8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162810_654e07e0-73d2-4b51-947e-53ecfee086e3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162809_cddf3945-99ce-4baa-8055-3b412be940d4.jpg""]",未知,P0,审核通过,2015-12-16 21:13:04,,8
2,753702,完善资料,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,邮箱格式没有进行有效性验证,"1.打开app,登录.
2.首页左上角图标展开菜单,点""获取积分""
3.点""完善资料"",进入""信息设置""页面.
4.将邮箱设置为""www.163.com""(明显错误的邮箱地址),点保存按钮,没有得到任何提示,再次回到该设置界面,发现错误的邮箱地址已经被保存. 
提供""信息设置""页成功保存错误格式邮箱地址截图一张

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root ****鄙视以""设计如此""搪塞用户的无耻众测小编 ****","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162820_13b7525a-456b-4dfa-8e4e-39f81e34f0fb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162818_e888abe9-8fd9-42a0-8051-d266d866f552.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162813_c035b36c-020e-42ba-bd5a-c552444e2556.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162811_da580ebe-ea0b-4493-bbb6-f31bfa9b63d8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162810_654e07e0-73d2-4b51-947e-53ecfee086e3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162809_cddf3945-99ce-4baa-8055-3b412be940d4.jpg""]",未知,P0,审核通过,2015-12-16 21:13:04,,12
2,753702,完善资料,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"昵称,姓名,邮箱和qq四项信息设置删除无效","1.打开app,登录.
2.首页左上角图标展开菜单,点""获取积分""
3.点""完善资料"",进入""信息设置""页面.
4.依次点昵称,姓名,邮箱和qq四项后面的叉形图标删掉所填内容,点右上角""保存""按钮.
5.重新进入""信息设置""页面,发现以上4项全在,一个也没被删掉,确认此四项只能改不能删空.
提供""信息设置""页截图一张

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root ****鄙视以""设计如此""搪塞用户的无耻众测小编 ****","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162820_13b7525a-456b-4dfa-8e4e-39f81e34f0fb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162818_e888abe9-8fd9-42a0-8051-d266d866f552.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162813_c035b36c-020e-42ba-bd5a-c552444e2556.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162811_da580ebe-ea0b-4493-bbb6-f31bfa9b63d8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162810_654e07e0-73d2-4b51-947e-53ecfee086e3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162809_cddf3945-99ce-4baa-8055-3b412be940d4.jpg""]",未知,P0,审核不通过,2015-12-16 21:13:04,,12
2,753702,完善资料,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,每日分享附带的图片失效,"1.打开app,登录.
2.首页左上角图标展开菜单,点""获取积分""
3.点""每日分享"",进入""分享""页面.
4.点""微信""图标,并在微信界面完成分享给好友的操作,之后查看分享链接,链接中的图片已经失效,链接下方的来源app图标缺失.
5.回到""分享""页,这次点""朋友圈"",进入微信分享朋友圈界面,发现这里的图片也是失效的.
提供微信分享给好友后图片和app图标失效截图一张和分享朋友圈图片失效截图一张.

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root ****鄙视以""设计如此""搪塞用户的无耻众测小编 ****","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162820_13b7525a-456b-4dfa-8e4e-39f81e34f0fb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162818_e888abe9-8fd9-42a0-8051-d266d866f552.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162813_c035b36c-020e-42ba-bd5a-c552444e2556.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162811_da580ebe-ea0b-4493-bbb6-f31bfa9b63d8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162810_654e07e0-73d2-4b51-947e-53ecfee086e3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8162809_cddf3945-99ce-4baa-8055-3b412be940d4.jpg""]",未知,P0,审核通过,2015-12-16 21:13:04,,25
