case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,211775,次元GO,河北省|石家庄市|桥东区|休门街|115号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,使用其他方式（微信）不能登录,使用微信登录，报错，再次点击微信登陆，没有任何反应（不出错误对话框，也不能登录）。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238496_f35144a7-e3be-4348-8bb0-f6f3e0e4bf4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238495_777803c2-5424-4aad-9dc8-5b751c523a32.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238493_51210cda-89a9-4b5e-b93c-b2af05e0703a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238490_79742a2c-c54f-4906-bbdd-d706e5de4969.jpg""]",未知,P0,审核通过,2015-12-18 04:08:01,,17
0,211775,次元GO,河北省|石家庄市|桥东区|休门街|115号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,在分享时，选择微信好友，完成，就结束了。,在小说go、动漫go等分享时，选择微信好友，完成，就结束了，没有选择好友，就返回作品界面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238496_f35144a7-e3be-4348-8bb0-f6f3e0e4bf4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238495_777803c2-5424-4aad-9dc8-5b751c523a32.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238493_51210cda-89a9-4b5e-b93c-b2af05e0703a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238490_79742a2c-c54f-4906-bbdd-d706e5de4969.jpg""]",未知,P0,审核通过,2015-12-18 04:08:05,,13
0,211775,次元GO,河北省|石家庄市|桥东区|休门街|115号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,收买商品，需要进入商品详情才能购买，加入购物车工具条有时不能正常出现,收买商品，需要进入商品详情才能购买，加入购物车工具条有时不能正常出现。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238496_f35144a7-e3be-4348-8bb0-f6f3e0e4bf4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238495_777803c2-5424-4aad-9dc8-5b751c523a32.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238493_51210cda-89a9-4b5e-b93c-b2af05e0703a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8238490_79742a2c-c54f-4906-bbdd-d706e5de4969.jpg""]",未知,P0,审核通过,2015-12-18 04:08:11,,29
0,481216,次元GO,山东省|临沂市|苍山县|G206|,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,无SIM卡,KTU84P,怎么没有内容存在，是不是链接有问题,怎么没有内容存在，是不是链接有问题，测试手机，红米note,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8333030_6830ee38-d7bb-4fc0-8f2b-bf2e28b678e1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8333029_abc03d45-2c3b-4f83-b361-c687db6482e4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8333027_c1649217-0580-4842-bc05-1861eeb2d18c.jpg""]",未知,P0,审核不通过,2015-12-20 01:35:19,,27
0,531756,次元GO,山西省|太原市|古交市|青山路|18,Tencent  Tencent TOS,Android 4.4.4,mobile HSPA+,中国联通,4.4.064.P0.150715.8675-A,注册成功登陆app，点击右上角小人按钮，再点击个人页面的头像，在我的资料页面点击头像更换头像，选好图片保存后，头像依然没有更换成功。,注册成功登陆app，点击右上角小人按钮，再点击个人页面的头像，在我的资料页面点击头像更换头像，选好图片保存后，头像依然没有更换成功。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231741_8ba41cb6-5d8a-4f26-aeb8-9e7cc47aeba0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231740_a9413e9e-970d-4841-b869-5c8a3129f314.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231739_293f18ca-d224-4717-ab00-feed12894158.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231738_5db8ca89-cdc7-427b-a7ab-1aed3ac7b63a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231737_e995de78-5fbc-4c66-8748-f01c660329d1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231736_7dfd8150-61e1-4789-ba42-cca400a2d755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231735_f9ab9db7-8abb-495f-8e94-00caf1d33fcc.jpg""]",未知,P0,审核通过,2015-12-18 03:46:30,,26
0,531756,次元GO,山西省|太原市|古交市|青山路|18,Tencent  Tencent TOS,Android 4.4.4,mobile HSPA+,中国联通,4.4.064.P0.150715.8675-A,打开app，点击左上角天气，进入天气界面，点击右上角加号，添加一个其他城市例如（古尔冈），然后切换到这个新添加的城市，无法刷新出数据。,打开app，点击左上角天气，进入天气界面，点击右上角加号，添加一个其他城市例如（古尔冈），然后切换到这个新添加的城市，无法刷新出数据。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231741_8ba41cb6-5d8a-4f26-aeb8-9e7cc47aeba0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231740_a9413e9e-970d-4841-b869-5c8a3129f314.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231739_293f18ca-d224-4717-ab00-feed12894158.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231738_5db8ca89-cdc7-427b-a7ab-1aed3ac7b63a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231737_e995de78-5fbc-4c66-8748-f01c660329d1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231736_7dfd8150-61e1-4789-ba42-cca400a2d755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231735_f9ab9db7-8abb-495f-8e94-00caf1d33fcc.jpg""]",未知,P0,审核通过,2015-12-18 03:46:39,,12
0,531756,次元GO,山西省|太原市|古交市|青山路|18,Tencent  Tencent TOS,Android 4.4.4,mobile HSPA+,中国联通,4.4.064.P0.150715.8675-A,打开app，点击左上角天气，进入天气界面，点击右上角加号，添加一个其他城市例如（古尔冈），然后切换到这个新添加的城市，无法刷新出数据。在app第一个界面可以看到左上角没有天气数据，显示的是“获取天气数据”，点击这个区域，无法进入天气界面。,打开app，点击左上角天气，进入天气界面，点击右上角加号，添加一个其他城市例如（古尔冈），然后切换到这个新添加的城市，无法刷新出数据。在app第一个界面可以看到左上角没有天气数据，显示的是“获取天气数据”，点击这个区域，无法进入天气界面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231741_8ba41cb6-5d8a-4f26-aeb8-9e7cc47aeba0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231740_a9413e9e-970d-4841-b869-5c8a3129f314.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231739_293f18ca-d224-4717-ab00-feed12894158.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231738_5db8ca89-cdc7-427b-a7ab-1aed3ac7b63a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231737_e995de78-5fbc-4c66-8748-f01c660329d1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231736_7dfd8150-61e1-4789-ba42-cca400a2d755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231735_f9ab9db7-8abb-495f-8e94-00caf1d33fcc.jpg""]",未知,P0,审核通过,2015-12-18 03:47:02,,12
0,531756,次元GO,山西省|太原市|古交市|青山路|18,Tencent  Tencent TOS,Android 4.4.4,mobile HSPA+,中国联通,4.4.064.P0.150715.8675-A,打开app，点击“商品go”，点击“次元go商城（试用版）”，点击任意一件商品下方“我要抢购”的“立即购买”，输入订单地址，点击“微信支付”，页面会跳转到“找不到网页”,打开app，点击“商品go”，点击“次元go商城（试用版）”，点击任意一件商品下方“我要抢购”的“立即购买”，输入订单地址，点击“微信支付”，页面会跳转到“找不到网页”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231741_8ba41cb6-5d8a-4f26-aeb8-9e7cc47aeba0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231740_a9413e9e-970d-4841-b869-5c8a3129f314.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231739_293f18ca-d224-4717-ab00-feed12894158.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231738_5db8ca89-cdc7-427b-a7ab-1aed3ac7b63a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231737_e995de78-5fbc-4c66-8748-f01c660329d1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231736_7dfd8150-61e1-4789-ba42-cca400a2d755.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8231735_f9ab9db7-8abb-495f-8e94-00caf1d33fcc.jpg""]",未知,P0,审核通过,2015-12-18 03:47:12,,29
0,753702,次元GO,辽宁省|铁岭市|银州区|繁荣路|44号,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,手机用户注册后默认使用完整的手机号做昵称泄漏个人隐私,"前提条件:未登录
1.打开app,点""小说go""页面右上角,右数第二个人型图标,进入""登录""页面.
2.点最下边的""立即注册"",进入""注册""界面.
3.点选""手机注册""标签页,输入手机号,并在下一屏输入验证码和密码完成注册.
4.注册成功后应自动登录,返回到""小说go""页面,点右上角右数第二个人形图标,进入无标题页面.
5.点击头像,进入""我的资料""页,在此页面中,昵称默认显示的是完整的手机号.如果用户注册后未修改昵称就去评论,点赞或是发表文章等,就会将手机号泄漏出去,可能对用户造成困扰.通常的规避办法是将手机的第4到7位用*替代.
但是值得肯定的是,如果及时修改昵称,即使之前有过评论等操作,也将显示当前的昵称,可以减小影响.
这个就不截图了,截了图就泄漏我的手机号了 :d

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root ***** 可以不通过,给我个理由 *****","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233358_20cbb307-0bf5-493c-a64c-4d7a5ce8588a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233357_bd294d0b-c6dc-4315-b27b-0255459b6266.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233356_a20090c3-8b0e-4b3e-93e7-5ba78b326205.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233355_629e8a02-c808-4637-a917-a007408ddb05.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233354_3a54b04e-910f-4888-9860-fd09047123ee.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233353_a3d63e41-bd80-4624-91ef-7647e93e043a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233352_4fc1904c-5ab0-499f-83bd-fbbb4492ede2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233351_779c61fc-ca44-489d-b13a-71af7a9dcbb3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233350_c1dc5e62-90ba-41b2-a7ac-800f5d189b1f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233349_4d37f421-f9cd-4fb2-b67a-21dc0493c85f.jpg""]",未知,P0,审核通过,2015-12-18 03:55:59,,23
0,753702,次元GO,辽宁省|铁岭市|银州区|繁荣路|44号,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"小说页面的分享贴子到""微信好友""和""微信朋友圈""功能失效","1.打开app,登录.
2.在""小说go""模块内,点开一个话题,进入""小说""页面(如果上一个页面标题栏选择的是""小说""的话)
3.点右上角""三点""图标,在弹出菜单中选择""分享贴子"".
4.在弹出图标选择菜单中选择""微信好友"",会再次弹出带有文本框的对话框,点对话框右上角""√""确认待分享内容.
5.界面一闪回到当前页面,并未调用微信分享界面.
6.同样的问题也出现在选择分享到""微信朋友圈""的操作中.
提供分享操作最终步骤截图一张.

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root ***** 可以不通过,给我个理由 *****","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233358_20cbb307-0bf5-493c-a64c-4d7a5ce8588a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233357_bd294d0b-c6dc-4315-b27b-0255459b6266.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233356_a20090c3-8b0e-4b3e-93e7-5ba78b326205.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233355_629e8a02-c808-4637-a917-a007408ddb05.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233354_3a54b04e-910f-4888-9860-fd09047123ee.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233353_a3d63e41-bd80-4624-91ef-7647e93e043a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233352_4fc1904c-5ab0-499f-83bd-fbbb4492ede2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233351_779c61fc-ca44-489d-b13a-71af7a9dcbb3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233350_c1dc5e62-90ba-41b2-a7ac-800f5d189b1f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8233349_4d37f421-f9cd-4fb2-b67a-21dc0493c85f.jpg""]",未知,P0,审核通过,2015-12-18 03:56:07,,13
