case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,287289,登陆百度视频,吉林|延边,Lenovo  Lenovo A308t,Android 2.3.6,WIFI,中国联通,Lenovo A308t_S102_130708,"一 打开微任务
二 打开 移动项目
三 点击 移动项目中百度视频 点击下载
四点击百度视频 点击打开
五 出现蓝色百度视频 首页 
六 弹出 百度视频在打开中遇到问题 需强行关闭","一 打开微任务
二 打开 移动项目
三 点击 移动项目中百度视频 点击下载
四点击百度视频 点击打开
五 出现蓝色百度视频 首页 
六 弹出 百度视频在打开中遇到问题 需强行关闭","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3528072_8d86f4ad-fa11-4f99-a6ab-26af8e75d404.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3528071_eb18fdd5-ef5f-4a59-b663-72900d4edbc6.jpg""]",已知,P3,审核通过,2015-05-27 16:39:47,,9
1,287289,进入百度云频道,吉林|延边,Lenovo  Lenovo A308t,Android 2.3.6,WIFI,中国联通,Lenovo A308t_S102_130708,已经在第一页中分具体步骤详细描述 进入百度视频页面后 跳出 百度视频出现意外 需要马上关闭,已经在第一页中分具体步骤详细描述 进入百度视频页面后 跳出 百度视频出现意外 需要马上关闭,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3528076_eb3be4dd-d5c3-4468-80b4-98119c0c6a24.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3528075_90ed7a6c-34c2-4379-b126-db490eea8f00.jpg""]",已知,P3,审核通过,2015-05-27 16:39:47,,1
2,287289,百度云文件播放,吉林|延边,Lenovo  Lenovo A308t,Android 2.3.6,WIFI,中国联通,Lenovo A308t_S102_130708,已经在第一页中分具体步骤详细描述 进入百度视频页面后 跳出 百度视频出现意外 需要马上关闭,已经在第一页中分具体步骤详细描述 进入百度视频页面后 跳出 百度视频出现意外 需要马上关闭,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3528082_f1f84f01-c317-4634-b0b0-4660c535877c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3528081_8743cf79-b10b-4d23-90ad-7b521ece9927.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3528080_e7311944-1ed9-4341-a992-2805ed8d8fda.jpg""]",未知,P0,审核不通过,2015-05-27 16:39:47,,1
2,800502,百度云文件播放,浙江省|金华市|婺城区|北山路|2359,Huawei  H60-L01,Android 4.4.2,WIFI,中国移动,H60-L01V100R001CHNC00B313,avi格式视频不能播放,打开测试的avi格式视频，提示不能播放avi格式的视频。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3526555_0d1d2103-e135-44af-8045-dafda27d6705.jpg""]",已知,P2,审核通过,2015-05-27 14:25:31,,10
2,1009996,百度云文件播放,河南省|郑州市|管城回族区|经南二路|东段,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,进入百度云浏览时出现闪退现象,进入百度云浏览时出现闪退到百度视频-频道 现象  再次点击百度云还要重新键入百度云账号密码,[],已知,P2,审核通过,2015-05-27 23:58:20,,0
2,1187480,百度云文件播放,广东省|深圳市|南山区|科技中三路|,Xiaomi  2013022,Android 4.4.2,WIFI,无SIM卡,MIUI HBJ2.0,百度云视频播放严重不正常,播放的ac3目录下的mkv格式的柯南，第一次播放的时候播放器卡死无响应。第二次播放的时候，缓冲时间非常长，但是开始播放以后，拖动了几次以后出现“该视频暂时无法播放”的错误提示,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3516487_29d62212-35c6-4cfa-b9d0-0baaf452058f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3516486_9cfd7c8b-4220-4058-88a4-7e15d5af2823.jpg""]",未知,P1,审核通过,2015-05-26 21:39:41,,10
2,1582699,百度云文件播放,辽宁省|鞍山市|海城市|北顺城路|11-8,Huawei  H30-T10,Android 4.2.2,WIFI,中国移动,H30-T10 V100R001CHNC00B143,在百度云界面里，点击图片下载按钮3次，出现程序代码,在百度云界面里，点击图片下载按钮3次，出现程序代码,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3539961_4aef4ad9-c62e-4884-8af2-7b66b0d67dd6.jpg""]",未知,P2,审核通过,2015-05-28 11:40:50,,6
0,1620643,登陆百度视频,山东省|青岛市|市南区|南京路|70号,TECLAST  P10HD四核(E5NA),Android 4.4.2,WIFI,无SIM卡,fiber_q98-eng 4.4.2 KOT49H 201,点击“我的”，查看你的登陆情况，点击“登录送大奖”，无法登陆，显示如上传图片所示,点击“我的”，查看你的登陆情况，点击“登录送大奖”，无法登陆，显示如上传图片所示,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3530963_da8e903d-b910-464c-8405-2c9f6c268409.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3530962_bcea1940-5eb8-4845-917d-8122df82e0c4.jpg""]",已知,P3,审核通过,2015-05-27 19:55:56,,5
2,1623445,百度云文件播放,湖北省|武汉市|武昌区|桂园一路|,samsung  GT-I9507V,Android 4.3,WIFI,中国联通,JSS15J.I9507VZNUANC2,前面要求上传4张截图，但是微任务上一次最多上传三张,点击功能2、3中的上传截图，需要上传至少5张截图，但实际最多只能上传3张,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3557403_bd088147-a0da-47c8-8a88-33d1df7a9d36.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3557402_c3077939-20e8-4c7a-8951-105b08a23591.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3557401_82d96df2-7992-4507-b9ed-cb19317c9514.jpg""]",未知,P0,审核不通过,2015-05-29 14:09:08,,2
2,1653373,百度云文件播放,江苏省|连云港市|连云区|港前大道|,Meizu  M460,Android 4.4.4,mobile LTE,中国移动,Flyme OS 4.2.0.5A,在测试文件中 第一次打开mp4文件时无法播放，退出后重新进入后又可以播放了,在测试文件中 第一次打开mp4文件时无法播放，退出后重新进入后又可以播放了,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3538160_8e7249dc-6294-40b3-a875-51077d4c2c08.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3538159_f8de70d7-fb27-4e7d-85c9-0c979f76f7a4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/3538158_e5ae0ef5-ee5c-4471-becd-65b491611f9d.jpg""]",已知,P2,审核通过,2015-05-28 08:06:53,,10
