case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,287289,手电筒按钮能够使用,吉林省|延边朝鲜族自治州|敦化市|敖东大街|2374,Xiaomi  Redmi Note 2,Android 5.0.2,WIFI,中国移动,LRX22G,"一 点击百度微任务
二点击移动项目测试
三点击手电筒测试 下载安装
四打开手电筒 
五手电筒出现闪退","一 点击百度微任务
二点击移动项目测试
三点击手电筒测试 下载安装
四打开手电筒 
五手电筒出现闪退","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8629225_b7b9b970-96f5-4e82-af89-65592db8563f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8629224_7073bb74-7d73-408f-b8ce-ddba888b4740.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8629223_2a3169ac-8d55-405b-b865-46865362c905.jpg""]",未知,P0,审核通过,2015-12-25 23:13:10,,16
0,351303,手电筒按钮能够使用,山东省|济南市|历城区|S327|,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,下载软件打开无法兼容出现错误,下载软件-打开软件-显示错误退出，无法打开软件不兼容,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8635630_14c89f63-8c6d-49da-91de-c7e8246f0ba1.jpg""]",未知,P0,审核通过,2015-12-26 09:57:08,,14
0,443182,手电筒按钮能够使用,重庆市|重庆市|九龙坡区|火炬大道|98号-附1-5号,htccn_chs_cmcc  HTC T329t,Android 4.1.1,WIFI,无SIM卡,JRO03H,无法打开手机的闪光灯。,软件无法打开闪光灯，安卓4.1.1 htc t329t,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8639100_8089b731-8566-474d-ae42-1cc8a06f2f9c.jpg""]",未知,P0,审核通过,2015-12-27 19:28:07,,13
0,477462,手电筒按钮能够使用,浙江省|温州市|乐清市|双店线|,Xiaomi  MI 4LTE,Android 4.4.4,mobile LTE,中国移动,KTU84P,打开软件，马上闪退，看不到什么按钮，无法完成测试,打开软件，马上闪退，看不到什么按钮，无法完成测试,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8636351_265965a7-5338-432e-ab3c-994b841d30e8.jpg""]",未知,P0,审核通过,2015-12-27 19:27:32,,16
0,531756,手电筒按钮能够使用,山西省|太原市|万柏林区|窊流路|,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,先通过手机上的自带手电筒app打开手电筒的灯，再使用本次测试app点击关闭，无法关闭手电筒。必须先点击开启再点关闭才可以。,先通过手机上的自带手电筒app打开手电筒的灯，再使用本次测试app点击关闭，无法关闭手电筒。必须先点击开启再点关闭才可以。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8684127_64d4317a-0707-49c9-b4c7-a3b0dae6236d.jpg""]",未知,P0,审核不通过,2015-12-27 19:39:01,,15
0,758821,手电筒按钮能够使用,北京市|北京市|朝阳区|常营南路|,dakele  MC003,Android 4.4.4,WIFI,无SIM卡,MC003_H2_03.45_06191353,app后退出后 重新打开，停止运行,app后退出后 重新打开，停止运行，需再次打开,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8729704_f77157a7-66e1-4d4a-9795-56c2c78e77ec.jpg""]",未知,P0,审核通过,2015-12-28 13:15:54,,19
0,772212,手电筒按钮能够使用,广东省|广州市|海珠区|南约新街|南4巷-1号,Haier  HT-I860,Android 4.2.1,WIFI,无SIM卡,HT-I860-H01-S02-CMCC,启动应用，点击按钮没反应，会出现程序停止运行的提示。,启动应用，点击按钮没反应，会出现程序停止运行的提示。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8663077_4edbbb3e-521d-420e-b13a-f3b2d4b7cf80.jpg""]",未知,P0,审核通过,2015-12-27 19:33:20,,6
0,778895,手电筒按钮能够使用,辽宁省|沈阳市|沈北新区|蒲昌路|,samsung  SM-N9002,Android 4.4.2,WIFI,中国联通,KOT49H.N9002ZNUENG4,打开软件点击开启没反应，点击关闭依旧没有反应。,打开软件点击开启没反应，点击关闭依旧没有反应。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8714576_86c03a3f-9ad0-4454-86bc-d1845abed435.jpg""]",未知,P0,审核通过,2015-12-27 19:36:17,,10
0,779468,手电筒按钮能够使用,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,测试手机：华为平板荣耀。打开app之后就一个黑屏上面两个按钮，一个是开启，一个是关闭，点哪个按钮都没反应,测试手机：华为平板荣耀。打开app之后就一个黑屏上面两个按钮，一个是开启，一个是关闭，点哪个按钮都没反应,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8633349_5a21e6ac-1add-4bc5-9824-05d79edef864.jpg""]",未知,P0,审核通过,2015-12-25 23:16:14,,10
0,950762,手电筒按钮能够使用,福建省|厦门市|集美区|凤林中路|23号,Huawei  H60-L01,Android 4.4.2,WIFI,中国移动,H60-L01V100R001CHNC00B317,在华为荣耀六手机使用时，通过任务栏启动会停止运行。,在华为荣耀六手机使用时，通过任务栏启动经常会停止运行。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8687673_92019807-cc41-49d2-b41e-0b054ef6a3cc.jpg""]",未知,P0,审核通过,2015-12-27 19:37:40,,6
0,1035237,手电筒按钮能够使用,安徽|淮北,Xiaomi  HM 2A,Android 4.4.4,WIFI,无SIM卡,KTU84P,正常安装打开，直接闪退。,红米2a，miui7，多次试机，都是如此。正常安装打开，直接闪退。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8641305_5a20f211-f765-4992-998c-5bdf7ace681f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8641304_17264a04-7712-4daf-a866-f75126560928.jpg""]",未知,P0,审核通过,2015-12-27 19:29:21,,16
