case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,18755,注册登录,湖北省|襄阳市|襄城区|西巷子|,Xiaomi  2014811,Android 4.4.4,WIFI,中国移动,KTU84P,修改密码的码字被遮挡没有显示,"1、下载并安装软件；
2、打开软件，注册账号；
3、登陆，点击我的，修改密码的码字被遮挡没有显示，请参见截图，谢谢。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9172552_03b3469f-f3cb-478b-af77-7ef3009a20e9.jpg""]",未知,P0,审核通过,2016-01-06 09:58:42,,19
1,351303,适配问题,山东省|济南市|历城区|S327|,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件注册进入，切换wifi 失败,打开软件，注册，进入界面，切换wifi 失败,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916815_e2191c63-d908-4817-a18b-10d3988b9026.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916814_f53baf64-417d-4ade-8050-8922255565d4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916813_55cc808e-3476-4402-a032-ff84df66ab93.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916812_e0cefc8a-2246-4738-8df5-0b8af6d17796.jpg""]",未知,P0,审核通过,2016-01-06 09:47:08,,12
1,351303,适配问题,山东省|济南市|历城区|S327|,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,"打开软件我的，更多，关于我们，去评分,无法找到软件","打开软件我的，更多，关于我们，去评分,无法找到软件","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916815_e2191c63-d908-4817-a18b-10d3988b9026.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916814_f53baf64-417d-4ade-8050-8922255565d4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916813_55cc808e-3476-4402-a032-ff84df66ab93.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916812_e0cefc8a-2246-4738-8df5-0b8af6d17796.jpg""]",未知,P0,审核通过,2016-01-06 09:47:26,,20
1,351303,适配问题,山东省|济南市|历城区|S327|,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,因没有设备，无法测试其他功能,打开软件，点击设备，全部显示未连接下拉刷新没用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916815_e2191c63-d908-4817-a18b-10d3988b9026.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916814_f53baf64-417d-4ade-8050-8922255565d4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916813_55cc808e-3476-4402-a032-ff84df66ab93.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8916812_e0cefc8a-2246-4738-8df5-0b8af6d17796.jpg""]",未知,P0,审核不通过,2016-01-06 09:47:34,,13
0,481216,注册登录,江苏省|徐州市|贾汪区|X302(汴贾线)|,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,无SIM卡,KTU84P,登录界面左上角的后退键，怎么是退出功能，标注不明确。,登录界面左上角的后退键，怎么是退出功能，标注不明确。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9165202_c8724d78-6ad3-4922-8515-d9d6aa4ac740.jpg""]",未知,P0,审核不通过,2016-01-06 09:58:32,,7
0,779468,注册登录,北京|北京,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,点忘记密码，随便输入一个手机号，收到验证码之后输入，进入到密码重设，输入新密码，点确认，然后app就提示“此号码未注册”。走到设置新密码才告诉此号码未注册。。。。应该是发验证码时候就提示，用户操作这么多步才提示，前面步骤都全白弄了,点忘记密码，随便输入一个手机号，收到验证码之后输入，进入到密码重设，输入新密码，点确认，然后app就提示“此号码未注册”。走到设置新密码才告诉此号码未注册。。。。应该是发验证码时候就提示，用户操作这么多步才提示，前面步骤都全白弄了,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8895482_7fcd0ef7-9a72-422e-95c9-85af976e47a6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8895481_c689fd0f-f414-406b-bd37-1c4c54237c07.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8895480_9c9ea993-6110-454d-a582-6fa87abaa4a9.jpg""]",未知,P0,审核通过,2016-01-06 09:28:32,,19
1,779468,适配问题,北京|北京,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,一直就提示未连接迷鸽wifi设备，不懂什么意思，什么设备是迷鸽设备？,一直就提示未连接迷鸽wifi设备，不懂什么意思，什么设备是迷鸽设备？,[],未知,P0,审核不通过,2016-01-06 09:28:42,,22
1,950762,适配问题,福建省|厦门市|思明区|吕岭路|1819,Huawei  H60-L01,Android 4.4.2,WIFI,中国移动,H60-L01V100R001CHNC00B317,引导做的不好，用户不知道到底连接什么，全部显示未连接。,引导做的不好，用户不知道到底连接什么，全部显示未连接。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8917341_e8108b5a-00e2-48c2-9e30-945098322b0e.jpg""]",未知,P0,审核通过,2016-01-06 09:48:54,,13
1,1050472,适配问题,河北省|邢台市|桥东区|河北路|null,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,中国移动,KTU84P,获取本地的wifi设备信息，功能比较单一,途鸽wifi在我没有购买tgt设备的情况下获取不到本地的无线设备信息，数据显示空白，功能人性化上还要下功夫增加新的，比如激励机制有奖wifi 待机等吸引人的活动。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8895477_b7b17bf1-9ddf-446f-b343-84a90ca5d411.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8895476_73b828ad-f799-41ef-9bf9-1e1479f05ddd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8895475_b7582f1a-1af2-47bd-ae53-ee9b934c83bb.jpg""]",未知,P0,审核不通过,2016-01-06 09:27:56,,5
0,1684398,注册登录,重庆市|重庆市|渝北区|锦湖路|80号,Xiaomi  MI 2SC,Android 5.0.2,WIFI,中国联通,LRX22G,网络170卡无法注册新用户,机型：小米2s   办了新卡是网络卡，非三大运营商的但是显示无法注册，现在用网络卡的越来越多，这个希望可以注意下。不然就无法使用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8907204_32e7e689-28fd-416c-8cd0-2d5a2fd919ed.jpg""]",未知,P0,审核通过,2016-01-06 09:46:31,,22
