case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
1,351303,注册,山东省|济南市|历城区|S327|null,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打卡我的账户，我要推广，发送邀请码，没反应,打卡我的账户，我要推广，发送邀请码，没反应，没有响应的窗口打开,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417452_0f31a51d-1734-43b5-b5aa-197e8ea4ef45.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417450_b0298a0d-584e-44fa-b6de-1f13d9c5284f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417449_ccac7ffe-ffc5-41eb-921f-4529b6689cb8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417447_0750c571-48e6-4fd1-b04c-a879676e559f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417446_df4c2636-fa06-4d8b-b7e8-884204517fa3.jpg""]",未知,P0,审核不通过,2016-01-11 20:20:42,,9
1,351303,注册,山东省|济南市|历城区|S327|null,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开许愿墙，我要许愿，输入自己的愿望，无法在许愿墙显示,打开许愿墙，我要许愿，输入自己的愿望，无法在许愿墙显示,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417452_0f31a51d-1734-43b5-b5aa-197e8ea4ef45.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417450_b0298a0d-584e-44fa-b6de-1f13d9c5284f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417449_ccac7ffe-ffc5-41eb-921f-4529b6689cb8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417447_0750c571-48e6-4fd1-b04c-a879676e559f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417446_df4c2636-fa06-4d8b-b7e8-884204517fa3.jpg""]",未知,P0,审核通过,2016-01-11 20:20:52,,1
1,351303,注册,山东省|济南市|历城区|S327|null,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件，娱乐特权，点击任意进入，立刻参与，支付订单，余额支付默认开启，无法取消,打开软件，娱乐特权，点击任意进入，立刻参与，支付订单，余额支付默认开启，无法取消,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417452_0f31a51d-1734-43b5-b5aa-197e8ea4ef45.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417450_b0298a0d-584e-44fa-b6de-1f13d9c5284f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417449_ccac7ffe-ffc5-41eb-921f-4529b6689cb8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417447_0750c571-48e6-4fd1-b04c-a879676e559f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9417446_df4c2636-fa06-4d8b-b7e8-884204517fa3.jpg""]",未知,P0,审核不通过,2016-01-11 20:22:41,,2
0,768348,登录,江苏省|徐州市|铜山区|厚德路|,Meizu  M040,Android 5.0.1,WIFI,无SIM卡,Flyme OS 4.5.7.1A,未发现登出或者注销当前账户的功能,"打开app,输入手机号、密码，点击登录，成功进入app主界面，但未发现退出账户按钮，功能缺失","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9366187_11fb3648-bf70-48a0-96ef-117d55548dd7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9366186_acbbcb63-07e9-4615-a2ee-569bb518ada7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9366185_57916cf1-de2c-4ecf-b7b1-13d99b283e3a.jpg""]",未知,P0,审核不通过,2016-01-11 15:04:03,,18
0,768348,登录,江苏省|徐州市|铜山区|厚德路|,Meizu  M040,Android 5.0.1,WIFI,无SIM卡,Flyme OS 4.5.7.1A,我的账户背景一片空白，没有修改背景的功能,"打开app,输入登录信息，点击登录，点击我的账户","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9366187_11fb3648-bf70-48a0-96ef-117d55548dd7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9366186_acbbcb63-07e9-4615-a2ee-569bb518ada7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9366185_57916cf1-de2c-4ecf-b7b1-13d99b283e3a.jpg""]",未知,P0,审核不通过,2016-01-10 13:05:16,,18
0,950762,登录,福建省|泉州市|晋江市||,Huawei  H60-L01,Android 4.4.2,WIFI,中国移动,H60-L01V100R001CHNC00B317,界面设计太不用心太粗糙太简单,界面设计太不用心太粗糙太简单，太没美感了！,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9461986_bfa457be-eb98-4dfd-b056-dba1d4ae8777.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9461985_1bfb9071-dcff-4c17-ac6d-4e0077f16c7f.jpg""]",未知,P0,审核不通过,2016-01-11 21:26:46,,12
1,1035237,注册,安徽|淮北,Xiaomi  HM 2A,Android 4.4.4,WIFI,无SIM卡,KTU84P,许愿墙项目下没有任何内容,许愿墙项目下只有“我要许愿‘按钮。下面没有内容，完全空白。不太合理。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9360801_5710271b-9dc6-4b3e-8090-e9d83e1fe0b9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9360798_b0a1a339-618a-41f8-925f-e7b441ad346f.jpg""]",未知,P0,审核通过,2016-01-11 15:03:05,,25
1,1050472,注册,河北省|邢台市|桥东区|河北路|,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,中国移动,KTU84P,页面主色调单一交互性差,"我用的是红米手机note,测试软件，其实这个软件跟一元夺宝相似，页面缓冲时页面有短暂的白屏。页面的主色调单一，偏阴暗呈灰色，给人以压抑感。打开一件商品查看详情积分无变化。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9388392_7c6e9a9a-8f1f-4638-9aa6-ca027c36604c.jpg""]",未知,P0,审核不通过,2016-01-11 20:20:15,,17
0,1684398,登录,重庆市|重庆市|渝北区|锦湖路|68号,Xiaomi  MI 2SC,Android 5.0.2,WIFI,中国联通,LRX22G,蜗牛网络卡无法注册账号显示手机错误,机型小米2s   软件正常下载后发现软件在注册过程中一只都显示手机号错误但是手机号是正常的，所以发现网络卡是无法注册的，现在网络卡越来越多。,[],未知,P0,审核通过,2016-01-11 15:07:08,,19
0,1997078,登录,山东省|青岛市|李沧区|青山路|678-1,Xiaomi  2014813,Android 4.4.4,WIFI,中国移动,KTU84P,打开软件，在我的账户页签，点击请登录进入登录页面，点击注册按钮 进入注册页面填写相应注册信息，没有提交按钮 无法正常完成注册，如截图所示。,"打开软件，在我的账户页签，点击请登录进入登录页面，点击注册按钮 进入注册页面填写相应注册信息，没有提交按钮 无法正常完成注册，如截图所系。
手机 红米2 系统安卓4.4.4","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9379637_25840013-c664-40b6-821b-ff6068bd112a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9379635_04691d09-1a9f-4d5d-b930-6e3f30022774.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9379634_5533dfa0-1f9d-4545-b526-bf1a1f1fcf45.jpg""]",未知,P0,审核不通过,2016-01-11 20:11:32,,19
