case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,211775,测试APP,河北省|石家庄市|桥西区|友林街|2,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,在接送页面，日期的下拉菜单不能点击。,"1、在接送页面；
2、最上面日期的下拉菜按钮不能点击。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775443_6202d566-71eb-41a6-a090-087bb279037b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775442_8ea50876-a363-42e3-b330-89b9bd57c49d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775441_c84c4d33-09b1-4367-a9ea-b1dd217b3e43.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775440_014e2b2e-6c42-42c5-a97e-208c46800f39.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775439_00414bd8-1bb8-4478-a494-7737db4c42f4.jpg""]",未知,P0,审核通过,2016-01-13 17:28:10,,36
0,211775,测试APP,河北省|石家庄市|桥西区|友林街|2,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,在接送页面，不能再添加联系人。,"1、在接送页面；
2、选择添加联系人；
3、进入添加接送人页面；
4、添加后点击完成；
5、返回到接送页面没有添加进来。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775443_6202d566-71eb-41a6-a090-087bb279037b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775442_8ea50876-a363-42e3-b330-89b9bd57c49d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775441_c84c4d33-09b1-4367-a9ea-b1dd217b3e43.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775440_014e2b2e-6c42-42c5-a97e-208c46800f39.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775439_00414bd8-1bb8-4478-a494-7737db4c42f4.jpg""]",未知,P0,审核通过,2016-01-13 17:28:14,,32
0,211775,测试APP,河北省|石家庄市|桥西区|友林街|2,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,消息中通知公告、每周食谱、教师点评不能点击进入。,在消息中通知公告、每周食谱、教师点评不能点击进入。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775443_6202d566-71eb-41a6-a090-087bb279037b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775442_8ea50876-a363-42e3-b330-89b9bd57c49d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775441_c84c4d33-09b1-4367-a9ea-b1dd217b3e43.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775440_014e2b2e-6c42-42c5-a97e-208c46800f39.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775439_00414bd8-1bb8-4478-a494-7737db4c42f4.jpg""]",未知,P0,审核通过,2016-01-13 17:28:18,,20
0,211775,测试APP,河北省|石家庄市|桥西区|友林街|2,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,消息中每周食谱显示日期与实际日期不符。,在消息中每周食谱显示日期（12月10）与实际日期（12月13日）不符。而且不能查看其它天的食谱。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775443_6202d566-71eb-41a6-a090-087bb279037b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775442_8ea50876-a363-42e3-b330-89b9bd57c49d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775441_c84c4d33-09b1-4367-a9ea-b1dd217b3e43.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775440_014e2b2e-6c42-42c5-a97e-208c46800f39.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775439_00414bd8-1bb8-4478-a494-7737db4c42f4.jpg""]",未知,P0,审核通过,2016-01-13 17:28:23,,36
0,211775,测试APP,河北省|石家庄市|桥西区|友林街|2,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,发现中的各个选项不能点击进入。,在发现中的各个选项不能点击进入（例如：微幼圆、家园圈等等）。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775443_6202d566-71eb-41a6-a090-087bb279037b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775442_8ea50876-a363-42e3-b330-89b9bd57c49d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775441_c84c4d33-09b1-4367-a9ea-b1dd217b3e43.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775440_014e2b2e-6c42-42c5-a97e-208c46800f39.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775439_00414bd8-1bb8-4478-a494-7737db4c42f4.jpg""]",未知,P0,审核通过,2016-01-13 17:28:26,,30
0,211775,测试APP,河北省|石家庄市|桥西区|友林街|2,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,我的中的各个选项不能点击进入。,在我的中的各个选项不能点击进入（例如：签到、我的孩子、我的信息等等）。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775443_6202d566-71eb-41a6-a090-087bb279037b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775442_8ea50876-a363-42e3-b330-89b9bd57c49d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775441_c84c4d33-09b1-4367-a9ea-b1dd217b3e43.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775440_014e2b2e-6c42-42c5-a97e-208c46800f39.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9775439_00414bd8-1bb8-4478-a494-7737db4c42f4.jpg""]",未知,P0,审核通过,2016-01-13 17:28:30,,30
0,287289,测试APP,吉林省|延边朝鲜族自治州|敦化市|敖东大街|2374,Xiaomi  Redmi Note 2,Android 5.0.2,WIFI,中国移动,LRX22G,"一 点击百度微任务
二 点击移动项目测试
三点击下载 安装打开幼学通
四 店家账号密码 登录 
五 bug 1  账号都是半个字
           2 点击发现，里面所有项目点击均无任何反应
           3 点击我的幼学通 里面的所有项目点击均无任何反应","一 点击百度微任务
二 点击移动项目测试
三点击下载 安装打开幼学通
四 店家账号密码 登录 
五 bug 1  账号都是半个字
           2 点击发现，里面所有项目点击均无任何反应
           3 点击我的幼学通 里面的所有项目点击均无任何反应","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9727888_1c1749d8-7b1e-4399-a5cd-fb3a5845e66b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9727887_0f2dd681-2803-4538-b1a4-f23e561f3597.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9727886_09618af8-7dda-42a4-b335-0874cfb7aed7.jpg""]",未知,P0,审核通过,2016-01-13 11:54:44,,33
0,305822,测试APP,河南省|郑州市|金水区|北环路|61号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S8_R_2.3.62.62,打开消息页面，其中消息无法打开,打开消息页面，其中消息中通知公告，每周食谱和教师点评无法打开,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726350_b13441cf-cd93-4867-b06f-97de1470c030.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726349_dfadc125-31a6-4e97-aed8-7730b3a5dd1e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726348_abfc5aa2-18fa-4a22-ba29-2ce8de4d7f3c.jpg""]",未知,P0,审核通过,2016-01-13 11:52:34,,20
0,305822,测试APP,河南省|郑州市|金水区|北环路|61号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S8_R_2.3.62.62,打开发现页面，其中栏目无法打开,打开发现页面，其中微幼园、家园圈、宝宝在线、宝宝足迹、育儿经验、启蒙教育和应用推广无法打开,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726350_b13441cf-cd93-4867-b06f-97de1470c030.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726349_dfadc125-31a6-4e97-aed8-7730b3a5dd1e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726348_abfc5aa2-18fa-4a22-ba29-2ce8de4d7f3c.jpg""]",未知,P0,审核通过,2016-01-13 11:52:37,,24
0,305822,测试APP,河南省|郑州市|金水区|北环路|61号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S8_R_2.3.62.62,打开我的幼学通页面，其中消头像无法添加，下面签到、设置等各项信息都无法打开,打开我的幼学通页面，其中消头像无法添加，下面签到、设置等各项信息都无法打开,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726350_b13441cf-cd93-4867-b06f-97de1470c030.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726349_dfadc125-31a6-4e97-aed8-7730b3a5dd1e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9726348_abfc5aa2-18fa-4a22-ba29-2ce8de4d7f3c.jpg""]",未知,P0,审核通过,2016-01-13 11:52:41,,31
0,309781,测试APP,江苏省|南通市|启东市|双邻北路|,Xiaomi  MI 3,Android 4.4.4,WIFI,中国联通,KTU84P,不能增加联系人。。。。,点击接送，添加联系人，然后上传头像，输入名字。设置确认好了之后，没有任何数据,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9784585_528ed578-87ae-469a-ad2a-67289f54510f.jpg""]",未知,P0,审核通过,2016-01-21 09:18:49,,32
0,351303,测试APP,山东|济南,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件，登录测试账号，点开我的，出现界面的功能，如签到等，点击无反应，无法使用,打开软件，登录测试账号，点开我的，出现界面的功能，如签到等，点击无反应，无法使用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730353_c9fc7a90-3547-408a-89e1-78f9ddd27fd4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730352_e9d3ae1e-eac8-4358-b9f1-838cd047f38b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730351_ad3ef72f-b98c-43f7-bef9-746a98f9d488.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730350_5801d680-d7c6-42d2-938d-f18a7586450d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730349_5e4240fd-8a3a-42a0-9878-08dac3eaac59.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730348_50ce4392-3eb7-4c36-b824-048e1fb5d839.jpg""]",未知,P0,审核通过,2016-01-13 13:53:34,,13
0,351303,测试APP,山东|济南,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件，登录测试账号，点开消息，出现界面的功能，如每周食谱等，点击无反应，无法使用,打开软件，登录测试账号，点开消息，出现界面的功能，如每周食谱等，点击无反应，无法使用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730353_c9fc7a90-3547-408a-89e1-78f9ddd27fd4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730352_e9d3ae1e-eac8-4358-b9f1-838cd047f38b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730351_ad3ef72f-b98c-43f7-bef9-746a98f9d488.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730350_5801d680-d7c6-42d2-938d-f18a7586450d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730349_5e4240fd-8a3a-42a0-9878-08dac3eaac59.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730348_50ce4392-3eb7-4c36-b824-048e1fb5d839.jpg""]",未知,P0,审核不通过,2016-01-13 13:53:44,,13
0,351303,测试APP,山东|济南,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件，登录测试账号，点开发现，出现界面的功能，如育儿经验等，点击无反应，无法使用,打开软件，登录测试账号，点开发现，出现界面的功能，如育儿经验等，点击无反应，无法使用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730353_c9fc7a90-3547-408a-89e1-78f9ddd27fd4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730352_e9d3ae1e-eac8-4358-b9f1-838cd047f38b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730351_ad3ef72f-b98c-43f7-bef9-746a98f9d488.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730350_5801d680-d7c6-42d2-938d-f18a7586450d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730349_5e4240fd-8a3a-42a0-9878-08dac3eaac59.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730348_50ce4392-3eb7-4c36-b824-048e1fb5d839.jpg""]",未知,P0,审核不通过,2016-01-13 13:53:47,,13
0,351303,测试APP,山东|济南,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件，登录测试账号，点开推送，出现界面，选择日期选项，，点击无反应，无法使用,打开软件，登录测试账号，点开推送，出现界面，选择日期选项，，点击无反应，无法使用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730353_c9fc7a90-3547-408a-89e1-78f9ddd27fd4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730352_e9d3ae1e-eac8-4358-b9f1-838cd047f38b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730351_ad3ef72f-b98c-43f7-bef9-746a98f9d488.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730350_5801d680-d7c6-42d2-938d-f18a7586450d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730349_5e4240fd-8a3a-42a0-9878-08dac3eaac59.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730348_50ce4392-3eb7-4c36-b824-048e1fb5d839.jpg""]",未知,P0,审核不通过,2016-01-13 13:53:51,,13
0,351303,测试APP,山东|济南,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件，登录测试账号，点开推送，出现界面，选择添加联系人，添加成功后，在主页面没显示,打开软件，登录测试账号，点开推送，出现界面，选择添加联系人，添加成功后，在主页面没显示,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730353_c9fc7a90-3547-408a-89e1-78f9ddd27fd4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730352_e9d3ae1e-eac8-4358-b9f1-838cd047f38b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730351_ad3ef72f-b98c-43f7-bef9-746a98f9d488.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730350_5801d680-d7c6-42d2-938d-f18a7586450d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730349_5e4240fd-8a3a-42a0-9878-08dac3eaac59.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9730348_50ce4392-3eb7-4c36-b824-048e1fb5d839.jpg""]",未知,P0,审核通过,2016-01-13 13:54:04,,32
0,356346,测试APP,山东省|枣庄市|峄城区|峄山路|,Xiaomi  MI 2A,Android 4.1.1,WIFI,中国移动,JRO03L,消息选项卡页面点击无反应,"进入app,点击下方消息，此页面按钮点击均无反应","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9729863_606ee8e4-29db-487c-928d-53ab3cabbfd9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9729862_48865bde-9499-4d4c-bf2f-594aa69ef9a1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/9729861_b1845277-4b43-490e-ad11-5462fcff0f31.jpg""]",未知,P0,审核通过,2016-01-13 13:52:48,,47
