case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,211775,网乐惠测试,河北省|保定市|北市区|瑞祥大街|401号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,上网预订提示：查询座位信息失败！,"1、进入网吧营地；
2、选择星球网城；
3、上网预订；
4、提示：查询座位信息失败！","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10268826_dd3a6308-028a-4af2-88c9-ef8262bab6af.jpg""]",未知,P0,审核通过,2016-01-27 22:56:33,,32
0,305822,网乐惠测试,河南省|郑州市|金水区|东明路|2号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S8_R_2.3.62.62,定位后，网吧营地和相约竞技无任何信息，刷新一直提示刷新失败,定位后，网吧营地和相约竞技无任何信息，刷新一直提示刷新失败,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10215851_97acbbce-d267-481e-9d1f-e6e0ba1be08f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10215850_e91c0f29-d6a8-4936-a9ac-78bec6ad14ce.jpg""]",未知,P0,审核通过,2016-01-27 23:38:14,,21
0,309781,网乐惠测试,江苏省|南通市|启东市|双邻北路|,Xiaomi  MI 3,Android 4.4.4,WIFI,中国联通,KTU84P,注册帐号时，密码可以输入一个字符，并且注册成功,"点击注册，填写电话号码，在密码框里输入一个字符，可以注册成功。
手机：小米3
系统：安卓4.4.4
网络：电信wifi","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286332_7b3d3220-552f-47e9-a847-80379a5caeae.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286331_1b810433-c3bc-41c1-a481-11aac92e2e50.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286329_15cb605f-2a8a-4900-bbb5-d5e76758d241.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286328_cdc1bdc3-80f8-44f6-8375-d3dbe121da97.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286327_f3339bde-27ee-4cb7-a971-3fde8b8db271.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286326_b6006658-0a10-4d63-932a-386c42d99a14.jpg""]",未知,P0,审核通过,2016-01-27 22:49:57,,28
0,309781,网乐惠测试,江苏省|南通市|启东市|双邻北路|,Xiaomi  MI 3,Android 4.4.4,WIFI,中国联通,KTU84P,已经注册过的手机号码，可以多次获得短信验证，而不是提示此号码“已经注册过“，而且点击确认，跳出乱码,"用已经注册过的手机号码，点击注册，填写电话号码，填写密码，获取手机验证码，点击确认，跳出乱码
手机：小米3
系统：安卓4.4.4
网络：电信wifi","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286332_7b3d3220-552f-47e9-a847-80379a5caeae.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286331_1b810433-c3bc-41c1-a481-11aac92e2e50.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286329_15cb605f-2a8a-4900-bbb5-d5e76758d241.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286328_cdc1bdc3-80f8-44f6-8375-d3dbe121da97.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286327_f3339bde-27ee-4cb7-a971-3fde8b8db271.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286326_b6006658-0a10-4d63-932a-386c42d99a14.jpg""]",未知,P0,审核通过,2016-01-27 22:25:42,,28
0,309781,网乐惠测试,江苏省|南通市|启东市|双邻北路|,Xiaomi  MI 3,Android 4.4.4,WIFI,中国联通,KTU84P,修改帐号密码可以为全部为特殊字符，并且能修改成功，,"点击我，帐号管理，修改密码，密码可以为全部为特殊字符，并且能修改成功，
手机：小米3
系统：安卓4.4.4
网络：电信wifi","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286332_7b3d3220-552f-47e9-a847-80379a5caeae.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286331_1b810433-c3bc-41c1-a481-11aac92e2e50.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286329_15cb605f-2a8a-4900-bbb5-d5e76758d241.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286328_cdc1bdc3-80f8-44f6-8375-d3dbe121da97.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286327_f3339bde-27ee-4cb7-a971-3fde8b8db271.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286326_b6006658-0a10-4d63-932a-386c42d99a14.jpg""]",未知,P0,审核通过,2016-01-27 22:14:38,,16
0,309781,网乐惠测试,江苏省|南通市|启东市|双邻北路|,Xiaomi  MI 3,Android 4.4.4,WIFI,中国联通,KTU84P,打开”网吧营地“一片空白，,"登录帐号成功，可以点击网吧营地一片空白。
手机：小米3
系统：安卓4.4.4
网络：电信wifi","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286332_7b3d3220-552f-47e9-a847-80379a5caeae.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286331_1b810433-c3bc-41c1-a481-11aac92e2e50.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286329_15cb605f-2a8a-4900-bbb5-d5e76758d241.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286328_cdc1bdc3-80f8-44f6-8375-d3dbe121da97.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286327_f3339bde-27ee-4cb7-a971-3fde8b8db271.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286326_b6006658-0a10-4d63-932a-386c42d99a14.jpg""]",未知,P0,审核通过,2016-01-27 21:56:01,,16
0,309781,网乐惠测试,江苏省|南通市|启东市|双邻北路|,Xiaomi  MI 3,Android 4.4.4,WIFI,中国联通,KTU84P,登录帐号成功，点击网吧右上角搜索，没反映，,"登录帐号成功，点击网吧右上角搜索，没反映，

手机：小米3
系统：安卓4.4.4
网络：电信wifi","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286332_7b3d3220-552f-47e9-a847-80379a5caeae.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286331_1b810433-c3bc-41c1-a481-11aac92e2e50.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286329_15cb605f-2a8a-4900-bbb5-d5e76758d241.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286328_cdc1bdc3-80f8-44f6-8375-d3dbe121da97.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286327_f3339bde-27ee-4cb7-a971-3fde8b8db271.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10286326_b6006658-0a10-4d63-932a-386c42d99a14.jpg""]",未知,P0,审核通过,2016-01-27 21:55:46,,16
0,351303,网乐惠测试,山东|济南,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件，安装成功，用测试账号登陆，显示账号认证失败,打开软件，安装成功，用测试账号登陆，显示账号认证失败,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10224824_bf0081c2-b0b7-42e8-9032-dddad7936bfd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10224823_d222e922-f4b2-4b54-bf53-1cb0fd8ad42b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10224822_e11f2bf9-8ae0-42de-8cb3-0963b824e58a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10224821_fa0e7c7a-aa2b-4b3c-a302-4327738092e6.jpg""]",未知,P0,审核通过,2016-01-27 23:48:27,,14
0,351303,网乐惠测试,山东|济南,Xiaomi  HM NOTE 1TD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-9a804de0c54b914fc25fb,打开软件，安装成功，我要注册，显示成功，用注册成功账号登陆，显示账号认证失败,打开软件，安装成功，我要注册，显示成功，用注册成功账号登陆，显示账号认证失败,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10224824_bf0081c2-b0b7-42e8-9032-dddad7936bfd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10224823_d222e922-f4b2-4b54-bf53-1cb0fd8ad42b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10224822_e11f2bf9-8ae0-42de-8cb3-0963b824e58a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10224821_fa0e7c7a-aa2b-4b3c-a302-4327738092e6.jpg""]",未知,P0,审核通过,2016-01-27 23:48:42,,14
0,531756,网乐惠测试,山西省|太原市|小店区|南中环街|200号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,"安装好app后第一次打开，在登录界面中的账号框会自动读取手机号码，并在前面加“+86”,但是这样一来就无法显示完全手机号码了。需要用户手动删除重新输入。","安装好app后第一次打开，在登录界面中的账号框会自动读取手机号码，并在前面加“+86”,但是这样一来就无法显示完全手机号码了。需要用户手动删除重新输入。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10211952_835c42f8-8445-4af3-9edc-a89ba720dc31.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10211951_ce3d57f0-c957-4491-9aa1-431601a86876.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10211950_2f8b4abd-dba5-4cbd-8d0f-23eaeeedec6e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10211949_5e663766-eec3-4312-9e61-d1aceba647e6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10211948_8864f183-7dea-4660-bb60-e45ad4958ef7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10211947_a4aa036e-6709-4080-a753-a5a5ba870919.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/10211946_196fc121-8883-4276-b2a9-45c3eab84b5a.jpg""]",未知,P0,审核通过,2016-01-27 23:26:52,,22
