case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
1,351303,日程安排,山东省|济南市|历城区|S327|,ZTE  N958St,Android 4.4.4,WIFI,中国联通,N958St_CNCommon_V2.13,添加图片需要登陆账号,在首页点击左上方的十字按钮，进入日程待办界面添加图片需要登陆微信等365账号等,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4507078_2c427c49-d2de-426b-bff3-4efa4952905b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4507077_347e9cd3-48cd-4fb3-a4f5-d93882dbeb32.jpg""]",未知,P0,审核不通过,2015/8/12 16:47,,21
1,785364,日程安排,福建|泉州,Xiaomi  HM NOTE 1TD,Android 4.2.2,WIFI,中国移动,MIUI-CMCC03,时间分钟设置的小建议,设置时间 分钟只能正向调整 为什么不设置上调节  可以一下子到50分 如果要设置50分的话要向下划那么多 倒退一下子到50分多省事啊    可能表达不是很清楚 但是意思可以看懂吧,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4512299_10df9420-4f23-4ec4-9c12-08e3dad95e54.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4512298_c181698e-81d9-4d2c-b1b8-642834e7a5c7.jpg""]",未知,P0,审核不通过,2015/8/13 11:07,,15
0,840173,天气定位,广东省|深圳市|南山区|西丽文光村|,samsung  GT-I9100G,Android 4.0.4,WIFI,中国联通,IMM76D.ZCLPL,天气里面的温度显示字体超出了显示框，,打开软件，向上拉，点击天气，就可以看到问题现象,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4505042_7fa1ad93-a556-4464-bb07-7b8cc026f691.jpg""]",未知,P3,审核通过,2015/8/12 10:22,,18
0,1232397,天气定位,辽宁省|大连市|金州区|G202(国泰路)|,Honor  Che1-CL20,Android 4.4.4,WIFI,中国联通,Che1-CL20V100R001CHNC00B275,app自动重启一次 app自动重启一次 天气同步按键太小,"app自动重启一次 app自动重启一次 天气同步按键太小,不如把同步设定上下滑动","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4502293_cae76676-b99d-4572-b9f0-6435d13676df.jpg""]",未知,P0,审核不通过,2015/8/11 22:00,,4
2,1340882,我的关注,安徽省|阜阳市|临泉县|港口路|,Xiaomi  MI 4C,Android 4.4.4,mobile CDMA - EvDo rev. A,中国电信,KTU84P,在发现页面点击返回箭头仍然是发现页面。,小米4miui6，在发现页面点击返回箭头后仍然是发现页面，使用实体按键返回正常。。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4505987_ef46e3b3-103c-4fe8-b3a6-09c7b3b39c85.jpg""]",未知,P0,审核不通过,2015/8/12 12:22,,13
4,1340882,自由测试,安徽省|阜阳市|临泉县|港口路|,Xiaomi  MI 4C,Android 4.4.4,mobile CDMA - EvDo rev. A,中国电信,KTU84P,360日历首页默认出现的我的日程安排显示的19.00百度手机助手周六九点档，点击后导致365日历强制退出停止运行。,360日历首页默认出现的我的日程安排显示的19.00百度手机助手周六九点档，点击后导致365日历强制退出停止运行。手机及系统版本：小米4电信版miui5.8.6。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4505991_0ea908c8-11ce-4455-a1a4-95b35ab580c7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4505990_4aa3e0da-bf96-412a-bed6-19fc40e10c3a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4505989_e0cef866-b99b-4ea9-8379-84418375ce10.jpg""]",未知,P0,审核不通过,2015/8/12 12:22,,11
1,1447376,日程安排,广东省|潮州市|潮安县|龙湖中路|,Xiaomi  MI 2A,Android 4.1.1,WIFI,中国联通,JRO03L,点图片 无论选择还是拍照提交后闪退会初始界面,"点图片 无论选择还是拍照提交后闪退会初始界面
小米2a  安卓版本4.1.1   mimu版本 4.12.5","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4508837_fe88c74e-a886-4074-932b-338063377d7a.jpg""]",未知,P1,审核通过,2015/8/12 20:42,,21
4,1582699,自由测试,辽宁省|鞍山市|海城市|新东路|,Huawei  H30-T10,Android 4.2.2,WIFI,中国移动,H30-T10 V100R001CHNC00B148,系统设置里的“分享365日历”，在qq内有部分异常！,进入系统设置里的“分享365日历”，通过qq进行分享，这事进入qq界面，选择“我的电脑”进行分享，在手机端的聊天窗口里，打开刚才分享的内容，是“365日历的图片”，没有链接！在电脑端同样登陆qq，看手机端发来的消息也同样是“365日历的图片”，没有链接！,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4502151_f38f8c04-11c3-4971-870d-05d62f054b94.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4502150_0f619b39-dd11-4218-8153-40c500c32163.jpg""]",未知,P2,审核通过,2015/8/11 21:39,,16
3,1676843,分享,福建省|福州市|马尾区|聚星路|56,Huawei  H30-T10,Android 4.4.2,WIFI,中国移动,H30-T10 V100R001CHNC00B261,分享在微信中，微信打开界面可能不太支持，提示要在浏览器中打开，不能直接查看。,设置-分享365日历-选择微信-选择好友-分享成功-点击查看分享详情-能加载界面，当时右上角出现在浏览器打开的字眼，不能直接再微信里查看。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4504802_34ee4aeb-fa56-4d59-8a10-80cfe14500b9.jpg""]",未知,P0,审核不通过,2015/8/12 8:46,,19
3,1684398,分享,重庆市|重庆市|渝北区|张玉环线|,Xiaomi  MI 2SC,Android 5.0.2,WIFI,中国联通,LRX22G,分享后出现闪退现象。,在微信风险过程中，点击日历或者相关活动后，出现闪退,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4505238_75122932-63ec-4655-b8b3-e2e327a29f34.jpg""]",未知,P0,审核不通过,2015/8/12 10:53,,19
4,1800186,自由测试,广东省|广州市|番禺区|亚运大道|,Sony  L50t,Android 4.4.2,WIFI,中国移动,17.1.E.2.67,我的日程安排上的19：00百度手机助手周六九点档，app会出错，关闭。,主页面下方我的日程安排，大部分会有一个19;00百度手机助手周六九点档的东西，点击后，app会出错，关闭。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4502298_3d0b13f0-87bd-4ffb-8c55-084145baea0c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4502284_d7b7a934-9b78-47d1-ba01-ba44c8c3f2cf.jpg""]",未知,P1,审核通过,2015/8/11 22:01,,9
0,1820221,天气定位,江西省|上饶市|余干县|迎宾大道|142,Meizu  M460,Android 4.4.4,WIFI,中国移动,Flyme OS 4.2.1.2Y,未发现天气界面有添加按键,按照要求操作，并未发现天气界面右上角有添加按键,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4506831_6fe7fd4d-6c01-469c-8c01-febbe5127ea6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4506830_6a9870db-c2cd-40ec-9d9c-e15a0741b5e4.jpg""]",未知,P0,审核不通过,2015/8/12 15:10,,4
2,1820221,我的关注,江西省|上饶市|余干县|迎宾大道|142,Meizu  M460,Android 4.4.4,WIFI,中国移动,Flyme OS 4.2.1.2Y,有一个公众日历并没有关注，却显示在上面，并且取消不了,按照要求操作，有一个公众日历并没有关注，却显示在上面，并且取消不了，而且公众日历 里面也找不到,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4506829_664ee2f4-d1b0-4e4f-9957-1312ec4aa4ce.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4506828_11f36d0a-49a9-4b3a-bb08-a59e2eb25746.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4506827_26a566f7-484c-46ce-8aed-ec2dd3f6a57f.jpg""]",未知,P0,审核不通过,2015/8/12 15:10,,20
3,1820221,分享,江西省|上饶市|余干县|迎宾大道|142,Meizu  M460,Android 4.4.4,WIFI,中国移动,Flyme OS 4.2.1.2Y,在设置界面上出现一堆的如图所示的东西，且好多重复的,按照要求打开设置，在设置界面上出现一堆的如图所示的东西，且好多重复的,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4506836_6ba660bd-c45d-42f1-923a-dbc975a25457.jpg""]",未知,P0,审核不通过,2015/8/12 15:10,,16
0,1826141,天气定位,湖北省|武汉市|江夏区|高新四路|,Huawei  PE-UL00,Android 5.1.1,WIFI,无SIM卡,PE-UL00C00B309,天气界面ui显示重叠了,进入天气详情界面，检查该界面是否显示正常,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4516527_aac53bd3-9692-4b3f-8238-41e0743c3efe.jpg""]",已知,P3,审核通过,2015/8/13 22:50,,18
1,1826141,日程安排,湖北省|武汉市|江夏区|高新四路|,Huawei  PE-UL00,Android 5.1.1,WIFI,无SIM卡,PE-UL00C00B309,添加日程的十字按钮在首页的右上方,打开日历，检查添加日程的十字按钮位置是否显示正常,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4516529_eb4142dd-6493-4647-9f2b-7144813b3cdb.jpg""]",未知,P0,审核不通过,2015/8/13 22:50,,21
1,1857627,日程安排,湖南|长沙,Xiaomi  2014501,Android 4.4.2,WIFI,中国移动,KOT49H,日程预览页可能无法正确显示最后一个emoji表情,如日程以emoji表情结尾并且其后不添加空格的情况下，在日程预览页会被显示为问号。在日历页以及编辑页显示正常,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4509566_c97380a6-e3ad-4169-a32c-7f92eb33c8b9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4509565_521deb24-022a-4475-953f-eefd0c4d19b6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4509564_e8358652-62a2-4cec-b92a-e5f7ff43bd9e.jpg""]",未知,P0,审核不通过,2015/8/12 23:16,,10
2,1870048,我的关注,河南省|新乡市|牧野区|劳动北街|,Xiaomi  MI 4W,Android 4.4.4,WIFI,中国联通,KTU84P,取消关注后登陆微信账号没有复现已取消关注的内容,取消关注后登陆微信账号没有复现已取消关注的内容,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4502440_fa592f7d-44b3-4a4d-acf2-1949811b4506.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4502439_0b93423c-c362-4949-91d8-7682f8d6a572.jpg""]",未知,P0,审核不通过,2015/8/11 22:25,,12
0,2329141,天气定位,广东省|中山市|中山市市辖区|隆发路|13-b,Huawei  HUAWEI G7-UL20,Android 4.4.4,WIFI,中国联通,G7-UL20V100R001CHNC00B258,打开程序后，点击下方的天气一栏会出现错误提示，程序退出。,打开程序后，点击下方的天气一栏会出现错误提示，程序退出。看截图。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4501668_948d43e1-f423-4dc4-a232-174fadfc563a.jpg""]",未知,P0,审核不通过,2015/8/11 20:28,,7
3,2760016,分享,江苏省|南京市|鼓楼区|凤凰街|58号,Huawei  X1 7.0,Android 4.4.2,WIFI,无SIM卡,7D-501uV100R002C208B011,分享给微信好友，被微信提示出错，检查过微信号正常登陆中，所有功能都正常的,分享给微信好友，被微信提示出错，检查过微信号正常登陆中，所有功能都正常的，微信版本6.1，机型荣耀x1。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4509043_6efbc0a3-413f-4eca-8bb7-269c12ec80bc.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4509042_f21d9036-eeff-48f9-abbf-faaad619f6f3.jpg""]",未知,P2,审核通过,2015/8/12 21:13,,19
