case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
2,301145,App端-发布消息,江苏|宿迁,OPPO  N5117,Android 4.3,WIFI,中国移动,N5117_11_150331,app没有登录账号的入口,我web端注册了账号发布成功，但是到app上找不到登录账号的入口,[],未知,P0,审核不通过,2015-08-23 16:15:08,,8
5,301145,其他,江苏|宿迁,OPPO  N5117,Android 4.3,WIFI,中国移动,N5117_11_150331,别人发的，我点击“提供线索”，会自动退出来，回到主页,别人发的，我点击“提供线索”，会自动退出来，回到主页,[],已知,P3,审核通过,2015-08-23 16:15:08,,10
5,301145,其他,江苏|宿迁,OPPO  N5117,Android 4.3,WIFI,中国移动,N5117_11_150331,app无法登录账号，个人中心右上角的齿轮图标点不动,app无法登录账号，个人中心右上角的齿轮图标点不动,[],已知,P1,审核通过,2015-08-23 16:15:08,,3
1,501590,App端-浏览寻人信息,贵州省|贵阳市|云岩区|东二环高速公路|,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国移动,KTU84P,刷新不出刚发布的寻人启事,刷新不出刚发布的寻人启事，下啦刷新了也是一样，就只有8月19日发布的。无法更新到今天的寻人启事,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562177_7a983ac9-10a5-4d13-8c1c-4e7a4bafe2e9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562176_e3c994cc-522d-4ff8-9149-5e4b77d5969a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562175_769ef966-1115-4717-b85f-0b62088f7396.jpg""]",已知,P2,审核通过,2015-08-22 20:28:28,,0
1,501590,App端-浏览寻人信息,贵州省|贵阳市|云岩区|东二环高速公路|,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国移动,KTU84P,在个人中心里面的右上角的设置按钮，点击了没有反应，找不到登录入口。望改善。,在个人中心里面的右上角的设置按钮，点击了没有反应，找不到登录入口。望改善。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562177_7a983ac9-10a5-4d13-8c1c-4e7a4bafe2e9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562176_e3c994cc-522d-4ff8-9149-5e4b77d5969a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562175_769ef966-1115-4717-b85f-0b62088f7396.jpg""]",已知,P3,审核通过,2015-08-22 20:28:28,,3
2,501590,App端-发布消息,贵州省|贵阳市|云岩区|东二环高速公路|,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国移动,KTU84P,点击提供线索按钮后，直接弹回了寻人照片主界面，无法进入我发起的消息界面，该功能有bug，望改善。,点击提供线索按钮后，直接弹回了寻人照片主界面，无法进入我发起的消息界面，该功能有bug，望改善。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562169_03f13ff4-5f10-441b-9e33-17721bc930f8.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562168_201e5078-fed5-49ee-aecb-32c0ebe740a4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562167_36205ae0-0611-4890-b8e4-ccf6932a83f1.jpg""]",已知,P0,审核通过,2015-08-22 20:28:28,,10
3,501590,App端-上传照片,贵州省|贵阳市|云岩区|东二环高速公路|,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国移动,KTU84P,点击“本地上传”进行本地照片的上传，后点击下一步进入发布信息页，提交线索信息后发布失败。,点击“本地上传”进行本地照片的上传，后点击下一步进入发布信息页，提交线索信息后发布失败。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562181_817352f7-fe46-47a5-bc81-5a42a85cf601.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562180_475606ad-2a64-4d6f-abca-df2ad50781b1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562179_9875472b-1f51-400c-9642-95f05fb359e9.jpg""]",未知,P2,审核通过,2015-08-22 20:28:28,,7
3,501590,App端-上传照片,贵州省|贵阳市|云岩区|东二环高速公路|,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国移动,KTU84P,点击 照相机 图标进行照片拍摄和上传，后点击下一步进入发布信息页，提交线索信息后发布失败。,点击 照相机 图标进行照片拍摄和上传，后点击下一步进入发布信息页，提交线索信息后发布失败。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562181_817352f7-fe46-47a5-bc81-5a42a85cf601.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562180_475606ad-2a64-4d6f-abca-df2ad50781b1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562179_9875472b-1f51-400c-9642-95f05fb359e9.jpg""]",未知,P2,审核通过,2015-08-22 20:28:28,,7
4,501590,Web端&App端-消息聊天,贵州省|贵阳市|云岩区|东二环高速公路|,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国移动,KTU84P,前面测出的没法登陆，再加上在app端不能发布成功，那么这里就做不了的，在pc端肯定刷新不出发布的寻人启事。,前面测出的没法登陆，再加上在app端不能发布成功，那么这里就做不了的，在pc端肯定刷新不出发布的寻人启事。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562171_d4de1c01-fe1e-4587-96bf-eeb715b7b9e4.jpg""]",未知,P0,审核不通过,2015-08-22 20:28:29,,0
5,501590,其他,贵州省|贵阳市|云岩区|东二环高速公路|,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国移动,KTU84P,综合前面测试出的所有bug，那么该功能的pc端和app端都还有许多的地方需要改进，希望我测试出的bug对你们有帮助。我注册的账号 tianyibu,综合前面测试出的所有bug，那么该功能的pc端和app端都还有许多的地方需要改进，希望我测试出的bug对你们有帮助。我注册的账号 tianyibu,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562161_581884aa-d1d4-4492-b334-a470befecbe1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4562156_18b118d1-c9ed-4ef8-b848-279aad9fd227.jpg""]",未知,P0,审核不通过,2015-08-22 20:28:29,,8
