case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,财新网V5.0.1自由测试,山西省|太原市|古交市|青山路|,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.064.P0.150715.8675-A,登录app，在“要闻”栏目中点击左上角放大镜图标，在搜索框中输入一些关键词，会搜索出一些完全不相关的结果。,登录app，在“要闻”栏目中点击左上角放大镜图标，在搜索框中输入“abcdefg”，会搜索出一些完全不相关的结果。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25708276_Screenshot_2016-05-18-21-36-06.png""]",未知,P0,审核通过,2016-05-19 09:59:06,,19
0,3001819,财新网V5.0.1自由测试,广西壮族自治区|南宁市|西乡塘区|火炬路|17-40号,Lenovo  Lenovo K30-T,Android 4.4.4,WIFI,中国移动,K30-T_S048_150805,新用户注册，明显未开通的号码段也可以发送验证码,新用户注册，明显未开通的号码段也可以发送验证码,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25705026_898851018566595357.png""]",未知,P0,审核通过,2016-05-19 09:54:58,,16
0,3001819,财新网V5.0.1自由测试,广西壮族自治区|南宁市|西乡塘区|火炬路|17-40号,Lenovo  Lenovo K30-T,Android 4.4.4,WIFI,中国移动,K30-T_S048_150805,“关于财新”的文段显示异常。,登陆app后进入用户中心——其他设置——关于财新。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25705568_422770624600404360.jpg""]",未知,P0,审核通过,2016-05-19 09:55:07,,12
0,3105885,财新网V5.0.1自由测试,河北省|石家庄市|正定县|育英街|,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,app中的行情页面 超卡,1打开app  2登陆app 首页   3 在app首页下方点行情进入行情页面4 app中的行情页面超卡 点返回才会显示出里面的内容,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25724047_QQ%E5%9B%BE%E7%89%8720160518234017.jpg""]",未知,P0,审核通过,2016-05-19 10:55:14,,20
0,3105885,财新网V5.0.1自由测试,河北省|石家庄市|正定县|育英街|,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,app中的除了第一个比例图上显示行情比例其它都不显示,1打开app 2登陆app 首页 3 在app首页下方点行情进入行情页面4 在行情页面的涨幅榜中除了第一个万泽股份点进去在比例图中显示涨幅比例 其它股票在比例图上都不显示,"["""",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25724538_QQ%E5%9B%BE%E7%89%8720160518234738.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25724594_QQ%E5%9B%BE%E7%89%8720160518234052.jpg""]",未知,P0,审核通过,2016-05-19 10:55:17,,20
0,7287803,财新网V5.0.1自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,bug等级：p1。股票日k线，下方未显示年月日,"1.安装并打开app。
2.点击行情查看其中一只股票的k线。
3.k线图下方未显示年月日。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25722912_1.jpeg""]",未知,P0,审核通过,2016-05-19 10:52:45,,21
0,7287803,财新网V5.0.1自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,bug等级：p1。股票无法添加进自选，点击加号无反应。,"1.安装并打开app。
2.点击行情，对涨幅榜中的股票进行自选添加操作。
3.点击加号无任何反应。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25723308_2.jpeg""]",未知,P0,审核通过,2016-05-19 10:52:49,,21
0,7287803,财新网V5.0.1自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,bug等级：p0。点击行情中的自选跳转至沪深行情。,"1.安装并打开app。
2.点击行情-自选。
3.点击后页面仍然跳转至沪深行情，无法进入自选。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25723464_3.jpeg""]",未知,P0,审核通过,2016-05-19 10:52:54,,21
0,7287803,财新网V5.0.1自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,bug等级：p1.点击一只股票的具体行情时，会出现跳转至行情首页情况。,"骤：1.安装并打开app。
 2.点击行情，进入银行、保险等板块。（此时屏幕会闪一下再次返回至行情页面，多次尝试后可进入）
3.进入某个板块，查看一直股票具体行情，跳转至行情首页。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25723986_4.jpeg""]",未知,P0,审核通过,2016-05-19 10:55:07,,20
0,7287803,财新网V5.0.1自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,bug等级：p1。一线中的文章预览图清晰，进入后图片显示模糊。,"1.安装并打开app。 
2.点击一线，进入【苏州国土局设置低价红线】的文章。
3.文章中的图片被放大，模糊。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25724067_5.jpeg""]",未知,P0,审核通过,2016-05-19 10:55:10,,22
0,9742256,财新网V5.0.1自由测试,湖南省|长沙市|开福区|芙蓉北路|197号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,1.注册 - 完善账户资料时，输入昵称，提示信息只有“汉字和英文” 没有指明长度限制，并且控件本身也没有限制长度，如果用户输入完之后才提示超长。体验很不好,1.注册 - 完善账户资料时，输入昵称，提示信息只有“汉字和英文” 没有指明长度限制，并且控件本身也没有限制长度，如果用户输入完之后才提示超长。体验很不好,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25705291_Screenshot_2016-05-18-21-17-15_com.caing.news.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25705293_Screenshot_2016-05-18-21-16-55_com.caing.news.png""]",未知,P0,审核通过,2016-05-19 09:59:12,,15
0,9742256,财新网V5.0.1自由测试,湖南省|长沙市|开福区|芙蓉北路|197号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,2.同样的密码输入框，也只提示了输入的最小长度，没有明确最大长度，也会造成用户的体验不佳，建议将hint信息描述得更明确,2.同样的密码输入框，也只提示了输入的最小长度，没有明确最大长度，也会造成用户的体验不佳，建议将hint信息描述得更明确,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25705987_Screenshot_2016-05-18-21-25-05_com.caing.news.png""]",未知,P0,审核通过,2016-05-19 09:59:17,,15
0,9742256,财新网V5.0.1自由测试,湖南省|长沙市|开福区|芙蓉北路|197号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,3.要闻页的搜索功能，随意输入不可能存在的搜索条件，也能搜出大量信息。,3.要闻页的搜索功能，随意输入不可能存在的搜索条件，也能搜出大量信息。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25709734_Screenshot_2016-05-18-21-38-50_com.caing.news.png""]",未知,P0,审核通过,2016-05-19 09:59:22,,19
0,9742256,财新网V5.0.1自由测试,湖南省|长沙市|开福区|芙蓉北路|197号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,4.对一条新闻发表评论，并点一个“贬”，再回复这条评论，发出回复后，之前这条评论的“贬”消失了,4.对一条新闻发表评论，并点一个“贬”，再回复这条评论，发出回复后，之前这条评论的“贬”消失了,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25710224_01.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25710227_02.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25710230_03.png""]",未知,P0,审核通过,2016-05-19 09:59:26,,11
0,10108370,财新网V5.0.1自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1登陆，选择关注金融
2点击新闻“中银航空租赁ipo，筹87亿港元”
3新闻内容中“【财新网】（驻香港记者....）”的“实习记者”和“蔡杨”空格太多，格式不统一","1登陆，选择关注金融
2点击新闻“中银航空租赁ipo，筹87亿港元”
3新闻内容中“【财新网】（驻香港记者....）”的“实习记者”和“蔡杨”空格太多，格式不统一","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25724180_Screenshot_2016-05-18-23-36-52.png""]",未知,P0,审核通过,2016-05-19 10:57:01,,22
