case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,760595,安泰汇诊V1.000b9自由测试,河北|邯郸,Xiaomi  HM NOTE 1LTETD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-41952c44d36acc0d837d5,安装后显示不支持该设备,安装后，点击打开，就会出现不支持该设备，我的手机是红米note4g加强版,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25795238_20160520_110339.png""]",未知,P0,审核通过,2016-05-21 18:07:32,,13
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,点击机构好友，页面出现 刷新失败 提示,1.打开软件 2.联系人 3.点击机构好友,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25795586_BaiduHi_2016-5-20_11-16-43.png""]",未知,P0,审核通过,2016-05-21 18:21:44,,23
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,点击电子病历 ，页面出现 数据加载失败 提示,1.打开软件 2.点击电子病历                                                                                .,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25795653_BaiduHi_2016-5-20_11-17-16.png""]",未知,P0,审核通过,2016-05-21 18:21:51,,25
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,输入医院名称，页面出现英文提示,1.打开软件 2.左上角 三  3.关联医院账号管理 4.右上角图标 5.医院名称栏输入医院,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25795802_BaiduHi_2016-5-20_11-17-58.png""]",未知,P0,审核通过,2016-05-21 18:21:55,,22
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,点击关联医院账号管理，页面出现 刷新失败 提示,1.打开软件 2.左上角 三 3.关联医院账号管理                        .,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25796099_BaiduHi_2016-5-20_11-30-42.png""]",未知,P0,审核通过,2016-05-21 18:21:59,,35
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,点击 检查更新 ，无任何反应,1.打开软件 2.左上角 三  3.关于 4 .检查更新,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25796169_BaiduHi_2016-5-20_11-32-27.png""]",未知,P0,审核不通过,2016-05-21 18:22:17,,32
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,点击 服务条款 ，无任何反应,1.打开软件 2.左上角 三 3.关于 4 .服务条款,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25796323_BaiduHi_2016-5-20_11-32-41.png""]",未知,P0,审核通过,2016-05-21 18:22:25,,40
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,消息声音提示 按钮无法关闭，点击关闭后退出，重新进入仍然是打开状态,1.打开软件 2.左上角 三  3.设置 4.消息声音提示 右侧按钮5.退出重新进入,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25796711_BaiduHi_2016-5-20_11-43-23.png""]",未知,P0,审核通过,2016-05-21 18:22:28,,33
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,医学影像显示顺序 打不开，点击无反应,1.打开软件 2.左上角 三 3.设置 4.医学影像显示顺序,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25796881_BaiduHi_2016-5-20_11-45-51.png""]",未知,P0,审核通过,2016-05-21 18:22:32,,27
0,1165965,安泰汇诊V1.000b9自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,清理医学影像缓存 打不开，点击无反应,1.打开软件 2.左上角 三 3.设置 4.清理医学影像缓存                                .,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/25796958_BaiduHi_2016-5-20_11-46-9.png""]",未知,P0,审核通过,2016-05-21 18:22:36,,27
