case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,760595,戏内V0.0.0.8自由测试,河北|邯郸,Xiaomi  HM NOTE 1LTETD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-41952c44d36acc0d837d5,用微博账号登陆显示授权失败,由首页右下角我进入登陆页面，使用第三方账户登陆时，用微博账号登陆显示授权失败,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26044575_20160524_134549.png""]",未知,P0,审核通过,2016-05-24 18:42:48,,25
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开软件，点击最下面一栏“我的”，选择使用第三方账户登录，qq登录显示失败，测试环境：红米note3 wifi 安卓5.0.2,打开软件，点击最下面一栏“我的”，选择使用第三方账户登录，qq登录显示失败，测试环境：红米note3 wifi 安卓5.0.2,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26038772_1.jpg""]",未知,P0,审核通过,2016-05-24 18:32:08,,36
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,使用手机号注册成功后，虽然跳转显示成功，但是软件背景全黑，只有最下面显示登录成功四个小字，不能正常跳转。,使用手机号注册成功后，虽然跳转显示成功，但是软件背景全黑，只有最下面显示登录成功四个小字，不能正常跳转。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26039192_2.jpg""]",未知,P0,审核通过,2016-05-24 18:32:17,,40
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件，选择最下面一栏“我的”，在此页面点击右上角设置，随后出现的页面中点击“清除图片缓存”，多次点击无反应，清除不成功。,进入软件，选择最下面一栏“我的”，在此页面点击右上角设置，随后出现的页面中点击“清除图片缓存”，多次点击无反应，清除不成功。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26039494_3.jpg""]",未知,P0,审核通过,2016-05-24 18:32:29,,9
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件，选择最下面一栏“我的”，在此页面点击右上角设置，随后出现的页面中点击“关于电影学院”，多次点击无反应，不能成功跳转。,进入软件，选择最下面一栏“我的”，在此页面点击右上角设置，随后出现的页面中点击“关于电影学院”，多次点击无反应，不能成功跳转。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26039524_4.jpg""]",未知,P0,审核通过,2016-05-24 18:32:36,,10
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件，选择最下面一栏“我的”，在此页面点击右上角设置，随后出现的页面中点击“给电影学院评分”，多次点击无反应，不能正常评分。,进入软件，选择最下面一栏“我的”，在此页面点击右上角设置，随后出现的页面中点击“给电影学院评分”，多次点击无反应，不能正常评分。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26039543_5.jpg""]",未知,P0,审核通过,2016-05-24 18:32:51,,10
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件，选择最下面一栏“我的”，在此页面点击教育经历，创作经历，均点击无反应，不能跳转。,进入软件，选择最下面一栏“我的”，在此页面点击教育经历，创作经历，均点击无反应，不能跳转。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26039659_6.jpg""]",未知,P0,审核通过,2016-05-24 18:32:59,,3
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件，选择最下面一栏“我的”，在此页面点击认证信息，在认证信息中，手机号、身份证、参与作品均显示未认证，没有找到输入相关信息的地方。建议点击就能输入相关信息，这样方面快捷，使用者易于上手。,进入软件，选择最下面一栏“我的”，在此页面点击认证信息，在认证信息中，手机号、身份证、参与作品均显示未认证，没有找到输入相关信息的地方。建议点击就能输入相关信息，这样方面快捷，使用者易于上手。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26039682_7.jpg""]",未知,P0,审核不通过,2016-05-24 18:33:13,,43
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件，选择最下面一栏“活动”，在此页面左上角图片不知道什么意思，点击后才明白是筛选选项。建议该图标替换为“放大镜”这种查找搜索图标，让使用者易于上手，一目了然。,进入软件，选择最下面一栏“活动”，在此页面左上角图片不知道什么意思，点击后才明白是筛选选项。建议该图标替换为“放大镜”这种查找搜索图标，让使用者易于上手，一目了然。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26039948_8.jpg""]",未知,P0,审核不通过,2016-05-24 18:33:19,,46
0,851370,戏内V0.0.0.8自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,"进入软件，选择最下面一栏“制品厂”，在此页面点击灯光师、化妆师
设备等子栏目，均点击无内容。","进入软件，选择最下面一栏“制品厂”，在此页面点击灯光师、化妆师
设备等子栏目，均点击无内容。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26039986_9.jpg""]",未知,P0,审核不通过,2016-05-24 18:33:38,,42
