case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,851370,极盗者-全民版V1.1.2.4自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件注册成功后，显示领取每日登陆奖励，在点击领取后，没有关闭或者返回按钮，而在按下实体返回键后，提示退出软件。用户操作体验不佳。,进入软件注册成功后，显示领取每日登陆奖励，在点击领取后，没有关闭或者返回按钮，而在按下实体返回键后，提示退出软件。用户操作体验不佳。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26277297_1.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26277311_2.jpg""]",未知,P0,审核不通过,2016-05-26 15:14:53,,7
0,851370,极盗者-全民版V1.1.2.4自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击进入软件后，点击右下角的设置，在随后打开页面中调节声音大小的按钮，无论是左右滑动，声音都不会随之发生变化。音量大小调节失败。,点击进入软件后，点击右下角的设置，在随后打开页面中调节声音大小的按钮，无论是左右滑动，声音都不会随之发生变化。音量大小调节失败。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26277726_3.jpg""]",未知,P0,审核不通过,2016-05-26 15:15:06,,6
0,851370,极盗者-全民版V1.1.2.4自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击进入软件后，点击右下角的设置，在进入设置页面后，点击实体返回键，软件不能有效退回上一级页面。,点击进入软件后，点击右下角的设置，在进入设置页面后，点击实体返回键，软件不能有效退回上一级页面。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26278187_4.jpg""]",未知,P0,审核不通过,2016-05-26 15:15:22,,6
0,851370,极盗者-全民版V1.1.2.4自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击进入软件后，主页点击礼包，在其随后出现的页面，点击返回键，出现退出及广告，而不是退回主页，用户体验差。,点击进入软件后，主页点击礼包，在其随后出现的页面，点击返回键，出现退出及广告，而不是退回主页，用户体验差。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26278814_5.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26278819_6.jpg""]",未知,P0,审核不通过,2016-05-26 15:15:37,,22
0,851370,极盗者-全民版V1.1.2.4自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,游戏在试玩过程中经常出现，在玩的过程中出现游戏尝试发送短信，打乱游戏节奏。给玩家以障碍感。,游戏在试玩过程中经常出现，在玩的过程中出现游戏尝试发送短信，打乱游戏节奏。给玩家以障碍感。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26279851_7.jpg""]",未知,P0,审核通过,2016-05-26 15:15:49,,12
0,851370,极盗者-全民版V1.1.2.4自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,在游戏试玩过程中，有几率出现点击按钮无反应，显示正在处理中。,在游戏试玩过程中，有几率出现点击按钮无反应，显示正在处理中。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26280139_8.jpg""]",未知,P0,审核不通过,2016-05-26 15:16:06,,12
0,851370,极盗者-全民版V1.1.2.4自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,在游戏试玩过程中，有几率出现左右摇晃手机来控制人物，但游戏人物却不随之改变方向。,在游戏试玩过程中，有几率出现左右摇晃手机来控制人物，但游戏人物却不随之改变方向。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26280398_10.jpg""]",未知,P0,审核不通过,2016-05-26 15:16:18,,12
0,2934057,极盗者-全民版V1.1.2.4自由测试,山东省|济南市|历城区|工业南路|26号,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国移动,LMY47V,咪咕游戏服务协议上方文字被遮挡,1.打开软件，点击咪咕游戏账号登录；2.点击咪咕游戏协议，上方文字被遮挡,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26300072_1.png""]",未知,P0,审核通过,2016-05-26 15:27:56,,8
0,2934057,极盗者-全民版V1.1.2.4自由测试,山东省|济南市|历城区|工业南路|26号,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国移动,LMY47V,登录界面随意输入手机号和验证码，点击登录显示验证码错误，建议先检测手机号是否输入正确,1.打开软件，点击咪咕游戏账号登录；2.随意输入手机号和验证码，点击登录显示验证码错误,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26300078_2.png""]",未知,P0,审核不通过,2016-05-26 15:28:08,,14
0,2934057,极盗者-全民版V1.1.2.4自由测试,山东省|济南市|历城区|工业南路|26号,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国移动,LMY47V,手机号注册时获取验证码后随意输入可提交验证码,1.打开软件，点击咪咕游戏账号登录；2.点击注册，获取验证码后随意输入可提交验证码,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26300102_3.png""]",未知,P0,审核不通过,2016-05-26 15:28:22,,14
