case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,820942,看苏州V3.0.0自由测试,浙江省|杭州市|余杭区|闲水路|,Hisense  HS-E968,Android 4.1.2,WIFI,unknown,HS-E968 4.1.2 JZO54K eng.lewa.,写评论  输入空格 连续点完成 系统崩溃,"在未登录的情况 
点击资讯  写评论  输入空格 连续点完成 系统崩溃","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26533371_83338211348350700.jpg""]",未知,P0,审核通过,2016-05-28 08:43:12,,13
0,1165965,看苏州V3.0.0自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,登录页面缺少第三方登录的图标,1.打开软件2.我的3.去登陆                               .,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26533337_QQ%E6%88%AA%E5%9B%BE20160527203935.png""]",未知,P0,审核通过,2016-05-28 08:42:46,,17
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,头条界面推送广告文字被遮挡,1.打开软件，点击咨询；2.点击头条，推送广告文字被遮挡,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26514537_1.png""]",未知,P0,审核通过,2016-05-28 07:54:55,,8
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,大苏州界面文字较长的新闻标题显示不完全,1.打开软件，点击咨询；2.点击大苏州，文字较长的新闻标题显示不完全,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26514627_2.png""]",未知,P0,审核通过,2016-05-28 07:54:58,,12
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,摇摇看界面点击开始试玩系统崩溃,1.打开软件，点击咨询；2.点击摇摇看，点击开始试玩系统崩溃,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26514646_3.png""]",未知,P0,审核通过,2016-05-28 07:55:11,,3
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,联通号码无法获取验证码,1.打开软件，点击我的；2.点击去登录，点击注册，联通号码无法获取验证码,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26514810_4.png""]",未知,P0,审核通过,2016-05-28 07:55:36,,16
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,注册界面随意输入手机号和验证码，点击下一步，显示验证码输入不正确，建议先验证手机号是否输入正确,1.打开软件，点击我的；2.点击去登录，点击注册，随意输入手机号和验证码，点击下一步，显示验证码输入不正确,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26514973_5.png""]",未知,P0,审核不通过,2016-05-28 07:55:52,,16
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,未登录可以随意评论，但在我的评论中无法查看,1.打开软件，点击咨询；2.点击头条，随意点击主题可以评论，但在我的评论中无法查看,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515065_6.png""]",未知,P0,审核不通过,2016-05-28 07:56:12,,13
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,登录界面无法使用第三方登录,1.打开软件，点击我的；2.点击去登录，有第三方登录字样，但无法使用,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515121_7.png""]",未知,P0,审核通过,2016-05-28 07:56:18,,17
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,注册时设置密码后点击确认注册无反应，再点击显示已注册,1.打开软件，点击我的；2.点击去登录，点击注册，注册时设置密码后点击确认注册无反应，再点击显示已注册,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515191_8.png""]",未知,P0,审核不通过,2016-05-28 07:56:40,,16
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,登录后点击金币商城软件无响应,1.打开软件，点击我的；2.点击去登录，登录后点击金币商城软件无响应,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515229_9.png""]",未知,P0,审核通过,2016-05-28 07:56:56,,15
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,编辑围观时主题无法选择随记,1.打开软件，点击我的；2.点击去登录，登录后点击新闻地图，编辑围观时主题无法选择随记,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515303_10.png""]",未知,P0,审核不通过,2016-05-28 07:57:30,,15
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,提交围观时软件黑屏无响应,1.打开软件，点击我的；2.点击去登录，登录后点击新闻地图，提交围观时软件黑屏无响应,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515312_11.png""]",未知,P0,审核通过,2016-05-28 07:57:38,,15
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,修改资料时保存邮箱后，再进入后无显示,1.打开软件，点击我的；2.点击去登录，登录后点击修改资料，保存邮箱后，再进入后无显示,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515364_12.png""]",未知,P0,审核不通过,2016-05-28 07:58:46,,0
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,修改资料原密码、修改密码和重复密码输入相同时可修改，建议先验证原密码和修改密码是否相同,1.打开软件，点击我的；2.点击去登录，登录后点击修改资料，原密码、修改密码和重复密码输入相同时可修改,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515398_13.png""]",未知,P0,审核不通过,2016-05-28 08:01:09,,0
0,2934057,看苏州V3.0.0自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,新闻中下方分享到建议文字上方加入图片,1.打开软件，点击咨询；2.点击头条，随意点击新闻，下方分享到建议文字上方加入图片,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26515481_14.png""]",未知,P0,审核不通过,2016-05-28 07:59:29,,1
0,7358634,看苏州V3.0.0自由测试,河南省|郑州市|管城回族区|G220(商都大道)|,ACTOMA  ACTOMA ACE,Android 5.0.2,WIFI,中国移动,ACE_3.1.11.R29_20160106,注册页面无法用第三方账号登录,"1、打开软件，点击账号注册
2、在最下方点击第三方账号登录，没有任何反应","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26511663_QQ%E5%9B%BE%E7%89%8720160527160946.jpg""]",未知,P0,审核通过,2016-05-28 07:59:02,,17
