case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,851370,JiaqibaoV1.0.1自由测试,四川省|南充市|南部县|晓霞路|33号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开软件，主页显示无数据，无论怎么点击，都加载不出来。,打开软件，主页显示无数据，无论怎么点击，都加载不出来。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26531699_1.jpg""]",未知,P0,审核通过,2016-05-28 16:55:17,,18
0,851370,JiaqibaoV1.0.1自由测试,四川省|南充市|南部县|晓霞路|33号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击软件左上角菜单键，进入设置页面，注册成功后进入头像设置，头像设置点击无反应。,点击软件左上角菜单键，进入设置页面，注册成功后进入头像设置，头像设置点击无反应。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26531868_2.jpg""]",未知,P0,审核通过,2016-05-28 16:55:20,,15
0,1313097,JiaqibaoV1.0.1自由测试,江苏省|常州市|新北区|龙须路|,Huawei  H60-L03,Android 4.4.2,WIFI,无SIM卡,H60-L03V100R001C01B316,未登录账号，设置页面不应该显示退出账户按钮,"1.未登陆账号，点击左上角按钮后，选择左侧设置一栏点击
2.查看设置页面显示

预期结果：设置页面显示正确且不应该显示退出账户按钮
实际结果：设置页面显示有误，页面显示退出账户按钮","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26514864_21.JPG"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26514879_22.JPG""]",未知,P0,审核不通过,2016-05-28 14:36:28,,9
0,2934057,JiaqibaoV1.0.1自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,随意扫码显示非有效的二维码，之后屏幕无法移动,1.打开软件，点击右上角扫码；2.随意扫码显示非有效的二维码，之后屏幕无法移动,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26522528_1.png""]",未知,P0,审核通过,2016-05-28 16:54:18,,13
0,2934057,JiaqibaoV1.0.1自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,点击扫码退出后再进入显示白屏，无法扫码,1.打开软件，点击右上角扫码；2.退出后再进入显示白屏，无法扫码,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26522550_2.png""]",未知,P0,审核通过,2016-05-28 16:54:22,,13
0,2934057,JiaqibaoV1.0.1自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,未登录可查看加气记录,1.打开软件，点击左上角菜单；2.点击加气记录，蹦出登录界面后点击后退，进入加气记录界面,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26522598_3.png""]",未知,P0,审核通过,2016-05-28 16:54:26,,21
0,2934057,JiaqibaoV1.0.1自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,未登录时设置界面显示退出账户,1.打开软件，点击左上角菜单；2.点击设置，界面显示退出账户,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26522608_4.png""]",未知,P0,审核通过,2016-05-28 16:54:29,,9
0,2934057,JiaqibaoV1.0.1自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,绑定汽车界面车牌号可以输入汉字,1.打开软件，点击左上角菜单；2.点击加气记录，蹦出登录界面后点击后退，点击新增车辆，车牌号可以输入汉字,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26522643_5.png""]",未知,P0,审核通过,2016-05-28 16:54:34,,21
0,2934057,JiaqibaoV1.0.1自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,绑定汽车界面输入正确车牌号点击确认，显示用户验证错误，建议先验证电子标签,1.打开软件，点击左上角菜单；2.点击加气记录，蹦出登录界面后点击后退；3.点击新增车辆，输入正确车牌号点击确认，显示用户验证错误,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26522663_6.png""]",未知,P0,审核不通过,2016-05-28 16:54:45,,21
0,2934057,JiaqibaoV1.0.1自由测试,山东省|济南市|历城区|S102(工业北路)|,Huawei  HUAWEI T8951,Android 4.0.4,WIFI,中国联通,T8951V100R001CHNC01B207,登录界面随意输入手机号后点击登录，显示输入密码，建议先验证手机号输入正确,1.打开软件，点击左上角菜单；2.点击注册/登录，随意输入手机号后点击登录，显示输入密码,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26522692_7.png""]",未知,P0,审核通过,2016-05-28 16:54:55,,20
