case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,287289,查看通知栏中的百度股市通的推送消息,吉林省|延边朝鲜族自治州|敦化市|敖东大街|2374,Xiaomi  Redmi Note 2,Android 5.0.2,WIFI,中国移动,LRX22G,"一 打开百度股市通，滑动引导页，进入百度股市通客户端智能选股页面。
二 点击选取601998中信银行 
三监测中心银行目前走势 现行价格6.14
四 提醒设置 估计涨到6.15，股价跌到6.3 日涨幅超过百分之二 日跌幅超过百分之二 
五点击完成
六点击手机的回来按钮，退出百度股市通。等待百度股市通的推送消息。
七 截止到2015年9.17日午夜0.29. 查看手机未收到百度股市通的推送消息。","一 打开百度股市通，滑动引导页，进入百度股市通客户端智能选股页面。
二 点击选取601998中信银行 
三监测中心银行目前走势 现行价格6.14
四 提醒设置 估计涨到6.15，股价跌到6.3 日涨幅超过百分之二 日跌幅超过百分之二 
五点击完成
六点击手机的回来按钮，退出百度股市通。等待百度股市通的推送消息。
七 截止到2015年9.17日午夜0.29. 查看手机未收到百度股市通的推送消息。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914048_9dd8de0d-1e17-47b1-b9c7-8f38cfe0b659.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914047_b15274e8-6d28-4718-8652-7ddf9580e7db.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914046_d6c835c8-c55f-414b-a315-9d35358ea7eb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914045_65ffc246-c761-4ef5-9874-c24957891df8.jpg""]",未知,P3,审核通过,2015-09-17 01:19:27,,3
1,287289,股价提醒设置功能-沪深股票,吉林省|延边朝鲜族自治州|敦化市|敖东大街|2374,Xiaomi  Redmi Note 2,Android 5.0.2,WIFI,中国移动,LRX22G,"一 打开百度股市通，滑动引导页，进入百度股市通客户端智能选股页面。
二 点击选取601998中信银行 
三监测中心银行目前走势 现行价格6.14
四 提醒设置 估计涨到6.15，股价跌到6.3 日涨幅超过百分之二 日跌幅超过百分之二 
五点击完成
六点击手机的回来按钮，退出百度股市通。等待百度股市通的推送消息。
七 截止到2015年9.17日午夜0.29. 查看手机未收到百度股市通的推送消息。","一 打开百度股市通，滑动引导页，进入百度股市通客户端智能选股页面。
二 点击选取601998中信银行 
三监测中心银行目前走势 现行价格6.14
四 提醒设置 估计涨到6.15，股价跌到6.3 日涨幅超过百分之二 日跌幅超过百分之二 
五点击完成
六点击手机的回来按钮，退出百度股市通。等待百度股市通的推送消息。
七 截止到2015年9.17日午夜0.29. 查看手机未收到百度股市通的推送消息。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914057_0be5279a-834f-436a-9599-851bee1d4e16.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914056_3d0110d5-6d00-4b90-83a9-1bc63c658775.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914055_3d9a6414-5b4f-49e2-a347-225d7c5cc297.jpg""]",未知,P0,审核不通过,2015-09-17 01:19:27,,3
2,287289,股价提醒设置功能-港股,吉林省|延边朝鲜族自治州|敦化市|敖东大街|2374,Xiaomi  Redmi Note 2,Android 5.0.2,WIFI,中国移动,LRX22G,"一 打开百度股市通，滑动引导页，进入百度股市通客户端智能选股页面。
二 点击选取601998中信银行 
三监测中心银行目前走势 现行价格6.14
四 提醒设置 估计涨到6.15，股价跌到6.3 日涨幅超过百分之二 日跌幅超过百分之二 
五点击完成
六点击手机的回来按钮，退出百度股市通。等待百度股市通的推送消息。
七 截止到2015年9.17日午夜0.29. 查看手机未收到百度股市通的推送消息。","一 打开百度股市通，滑动引导页，进入百度股市通客户端智能选股页面。
二 点击选取601998中信银行 
三监测中心银行目前走势 现行价格6.14
四 提醒设置 估计涨到6.15，股价跌到6.3 日涨幅超过百分之二 日跌幅超过百分之二 
五点击完成
六点击手机的回来按钮，退出百度股市通。等待百度股市通的推送消息。
七 截止到2015年9.17日午夜0.29. 查看手机未收到百度股市通的推送消息。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914060_ad5982d5-f0da-4627-9196-fc7e188c7877.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914059_8c54b239-b4a8-4a9c-bd31-13bbed34598b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4914058_9d909e56-27ff-44b2-a186-1943925a14b6.jpg""]",未知,P0,审核不通过,2015-09-17 01:19:27,,3
1,443182,股价提醒设置功能-沪深股票,重庆市|重庆市|九龙坡区|火炬大道|98号-附1-5号,htccn_chs_cmcc  HTC T329t,Android 4.1.1,WIFI,无SIM卡,JRO03H,htc手机没有消息推送,htc t329t 安卓4.1.1 测试半小时已经到达提醒数字没有推送,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4894899_712d4c9c-9d73-48dc-88fe-000ebf29e21c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4894898_7df1834e-b4be-42ab-9c6f-f2428705f20f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4894897_f077f989-549f-44ac-8786-6e90c54743c0.jpg""]",未知,P3,审核通过,2015-09-16 11:18:57,,12
2,443182,股价提醒设置功能-港股,重庆市|重庆市|九龙坡区|火炬大道|98号-附1-5号,htccn_chs_cmcc  HTC T329t,Android 4.1.1,WIFI,无SIM卡,JRO03H,打开app后卡死，无法响应,测试完沪股后准备测试港股，但打开app后卡死。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4894891_6eae8dbb-1edc-4f4e-9747-454e58afce38.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4894890_92fc1a16-f557-46bb-930a-8399239048bd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4894889_d711561e-29a7-415f-9988-d1948dfacb3c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4894887_16485992-376a-4397-9071-ef4bfec4c649.jpg""]",未知,P2,审核通过,2015-09-16 11:18:57,,10
0,602923,查看通知栏中的百度股市通的推送消息,内蒙古自治区|兴安盟|乌兰浩特市||,htc  HTC D816w,Android 4.4.2,WIFI,无SIM卡,KOT49H release-keys,无法收到后台状态栏推送消息,"1.手机型号：htc 816 联通版
2.安卓系统：4.4.2
3.测试时间20150915至20150917没有收到一条推送消息
4.测试环境，网络100m光纤专线宽带，网络正常",[],已知,P3,审核通过,2015-09-17 00:14:34,,0
1,602923,股价提醒设置功能-沪深股票,内蒙古自治区|兴安盟|乌兰浩特市||,htc  HTC D816w,Android 4.4.2,WIFI,无SIM卡,KOT49H release-keys,没有弹出新建分组功能的引导页面,点击自选股tab页面的搜索框，输入：601998，点击搜索结果中的“中信银行“，进入中信银行的详情页面；点击页面右下角的“加自选”，没有弹出新建分组功能的引导页面，没有点击“我知道了”选项,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4913606_269edc39-7902-439a-bf45-0fd98550933a.jpg""]",未知,P0,审核不通过,2015-09-17 00:14:34,,7
0,602923,查看通知栏中的百度股市通的推送消息,内蒙古自治区|兴安盟|乌兰浩特市||,htc  HTC D816w,Android 4.4.2,WIFI,无SIM卡,KOT49H release-keys,无法收到后台状态栏推送消息,"1.手机型号：htc 816 联通版
2.安卓系统：4.4.2
3.测试时间20150915至20150917没有收到一条推送消息
4.测试环境，网络100m光纤专线宽带，网络正常",[],未知,P0,审核不通过,2015-09-17 00:14:38,,0
1,602923,股价提醒设置功能-沪深股票,内蒙古自治区|兴安盟|乌兰浩特市||,htc  HTC D816w,Android 4.4.2,WIFI,无SIM卡,KOT49H release-keys,没有弹出新建分组功能的引导页面,点击自选股tab页面的搜索框，输入：601998，点击搜索结果中的“中信银行“，进入中信银行的详情页面；点击页面右下角的“加自选”，没有弹出新建分组功能的引导页面，没有点击“我知道了”选项,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4913606_269edc39-7902-439a-bf45-0fd98550933a.jpg""]",未知,P0,审核不通过,2015-09-17 00:14:38,,7
0,602923,查看通知栏中的百度股市通的推送消息,内蒙古自治区|兴安盟|乌兰浩特市||,htc  HTC D816w,Android 4.4.2,WIFI,无SIM卡,KOT49H release-keys,无法收到后台状态栏推送消息,"1.手机型号：htc 816 联通版
2.安卓系统：4.4.2
3.测试时间20150915至20150917没有收到一条推送消息
4.测试环境，网络100m光纤专线宽带，网络正常",[],未知,P0,审核不通过,2015-09-17 00:14:38,,0
