case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件点击主页的足球比分，在“及时”这一页面下的三场比赛，点击跳转，结果点击刷新不出来！三场比赛均如此，wifi绝无问题。,进入软件点击主页的足球比分，在“及时”这一页面下的三场比赛，点击跳转，结果点击刷新不出来！三场比赛均如此，wifi绝无问题。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26758682_2.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26758725_123.jpg""]",未知,P0,审核通过,2016-05-30 09:54:35,,21
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件点击主页的足资讯，任意点击一篇文章，然后点击右下角的评论，在跳转页面无法对别人所发表的评论进行回复点评，大大降低了app的互动性和趣味性，感觉在玩单机版。,进入软件点击主页的足资讯，任意点击一篇文章，然后点击右下角的评论，在跳转页面无法对别人所发表的评论进行回复点评，大大降低了app的互动性和趣味性，感觉在玩单机版。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26758804_2.jpg""]",未知,P0,审核不通过,2016-05-30 09:54:42,,5
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件点击左上角的设置，点击关于我们，在随后页面点击版本更新，有很大几率会出现网络连接失败。,进入软件点击左上角的设置，点击关于我们，在随后页面点击版本更新，有很大几率会出现网络连接失败。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26758933_1.jpg""]",未知,P0,审核通过,2016-05-30 09:54:48,,4
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件后，点击左上角的头像，进入个人中心，进去只有一个退出登录可以点击，就连用户名都不能更改！,进入软件后，点击左上角的头像，进入个人中心，进去只有一个退出登录可以点击，就连用户名都不能更改！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759009_3.jpg""]",未知,P0,审核不通过,2016-05-30 09:54:55,,14
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击进入软件后，其主页上方三个滑动广告图片，均不能成功点击跳转。,点击进入软件后，其主页上方三个滑动广告图片，均不能成功点击跳转。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759103_4.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759106_5.jpg""]",未知,P0,审核不通过,2016-05-30 09:55:13,,7
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件任意点击一场比赛，点击页面上方的分享，然后选择分享到微博，再到微博点击刚刚分享文章中的短连接，跳转到的是一比分的主页，而不是分享的那场比赛！,进入软件任意点击一场比赛，点击页面上方的分享，然后选择分享到微博，再到微博点击刚刚分享文章中的短连接，跳转到的是一比分的主页，而不是分享的那场比赛！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759212_7.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759224_8.jpg""]",未知,P0,审核不通过,2016-05-30 09:56:31,,10
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件任意点击一场比赛，点击页面上方的分享，然后选择复制链接，再到浏览器使用所复制的链接，跳转到的是一比分的主页，而不是分享的那场比赛！,进入软件任意点击一场比赛，点击页面上方的分享，然后选择复制链接，再到浏览器使用所复制的链接，跳转到的是一比分的主页，而不是分享的那场比赛！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759718_7.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759744_10.jpg""]",未知,P0,审核不通过,2016-05-30 09:57:01,,10
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入软件点击主页所推荐的西班牙对波黑的比赛，进去后点击右上方的五角星收藏关注，但是返回后，整个软件找不到所关注的这场比赛！,进入软件点击主页所推荐的西班牙对波黑的比赛，进去后点击右上方的五角星收藏关注，但是返回后，整个软件找不到所关注的这场比赛！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759750_9.jpg""]",未知,P0,审核不通过,2016-05-30 09:57:11,,16
0,851370,一比分V1.1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,软件注册界面，只有注册，而没有忘记密码，找回密码的选项！,软件注册界面，只有注册，而没有忘记密码，找回密码的选项！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26759862_11.jpg""]",未知,P0,审核通过,2016-05-30 09:57:16,,8
0,2590458,一比分V1.1.0自由测试,广东省|广州市|越秀区|大新路|71号,Honor  Che2-UL00,Android 4.4.2,mobile LTE,中国联通,Che2-UL00 V100R001CHNC00B390,点击版本更新，有50%的概率出现网络连接失败。,首页－右上角设置－关于我们－版本更新－有50%的概率出现网络连接失败。安卓4.4，华为4x，联通4g,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/26761050_1.jpg""]",未知,P0,审核通过,2016-05-30 14:05:50,,4
