case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,820942,鸿运智软V1.006自由测试,浙江省|杭州市|余杭区|闲水路|,Hisense  HS-E968,Android 4.1.2,WIFI,unknown,HS-E968 4.1.2 JZO54K eng.lewa.,登录界面显示文字有问题,打开软件 我的 帐号 跳出用户登陆界面 用户和密码修改密码 界面显示有问题,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27510136_4.jpg""]",已知,P1,审核通过,2016-06-07 17:30:13,,14
0,851370,鸿运智软V1.006自由测试,四川省|南充市|南部县|晓霞路|68号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后，其主页面显示不完整！上半部分空白，无内容！,打开app后，其主页面显示不完整！上半部分空白，无内容！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27508302_1.jpg""]",未知,P0,审核通过,2016-06-07 17:30:13,,23
0,851370,鸿运智软V1.006自由测试,四川省|南充市|南部县|晓霞路|68号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击该app最下面一栏“我的”，再点击账号设置，在随后弹出页面点击修改密码，再修改密码界面可以不用输入旧密码就能够凭借手机或邮箱进行修改密码！安全的双重严重，变成单一项验证就可以了！,点击该app最下面一栏“我的”，再点击账号设置，在随后弹出页面点击修改密码，再修改密码界面可以不用输入旧密码就能够凭借手机或邮箱进行修改密码！安全的双重严重，变成单一项验证就可以了！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27508720_2.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27508723_3.jpg""]",未知,P0,审核通过,2016-06-07 17:30:13,,15
0,1031599,鸿运智软V1.006自由测试,山西省|长治市|郊区|兵工街|,Meizu  m3 note,Android 5.1,WIFI,中国电信,Flyme 5.1.3.2A,今日推荐没有显示，而且容易出现服务器连接失败,打开主页显示没有今日推荐，今日推荐一片空白,[],未知,P0,审核通过,2016-06-07 17:30:13,,21
0,2787376,鸿运智软V1.006自由测试,河北|石家庄,Lenovo  Lenovo A750,Android 4.0.3,WIFI,无SIM卡,A750_S306_120530,用户登录界面，修改密码按钮内容显示不全，输入框内容显示不全,"1点击我的
2点击账号设置
3用户登录界面，修改密码按钮内容显示不全，输入框内容显示不全","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27508719_Screenshot_2016-06-03-22-25-09.png""]",未知,P0,审核通过,2016-06-07 17:30:13,,15
0,2787376,鸿运智软V1.006自由测试,河北|石家庄,Lenovo  Lenovo A750,Android 4.0.3,WIFI,无SIM卡,A750_S306_120530,手机打开usb连接存储，点击我的会出现程序停止运行,"1、手机连接电脑
2、打开usb连接存储、
3、点击程序中的我的
4、程序停止运行","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27508988_Screenshot_2016-06-03-22-37-33.png""]",未知,P0,审核不通过,2016-06-06 14:01:53,,1
0,2787376,鸿运智软V1.006自由测试,河北|石家庄,Lenovo  Lenovo A750,Android 4.0.3,WIFI,无SIM卡,A750_S306_120530,修改密码界面，界面选项内容显示错乱不全,"1点击我的
 2点击账号设置
 3用户登录界面，点击修改密码
4修改密码界面，界面选项内容显示错乱不全","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27509006_Screenshot_2016-06-03-22-36-55.png""]",未知,P0,审核通过,2016-06-07 17:30:13,,15
0,3463911,鸿运智软V1.006自由测试,四川省|成都市|大邑县|邑邛故道|,Xiaomi  HM 1S,Android 4.4.4,WIFI,中国电信,KTU84P,打开app，首页顶部广告位置空白，下面部分显示正常，重复操作依然如此，可判断不是网络原因,我使用的是红米1s电信版，打开app，首页顶部广告位置空白，下面部分显示正常，重复操作依然如此，可判断不是网络原因,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27504461_Screenshot_2016-06-03-20-53-42_com.hyzr.png""]",未知,P0,审核通过,2016-06-07 17:30:13,,8
0,3463911,鸿运智软V1.006自由测试,四川省|成都市|大邑县|邑邛故道|,Xiaomi  HM 1S,Android 4.4.4,WIFI,中国电信,KTU84P,点击及时比分，选择哥甲附，点击选择确认键后出现比赛详情，当重复点击选择确认键后也会重复出现相同的比赛详情,我使用的是红米1s电信版，点击及时比分，选择哥甲附，点击选择确认键后出现比赛详情，当重复点击选择确认键后也会重复出现相同的比赛详情,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27504807_Screenshot_2016-06-03-20-51-01_com.hyzr.png""]",已知,P2,审核通过,2016-06-06 18:53:22,,19
0,4648739,鸿运智软V1.006自由测试,河南省|郑州市|荥阳市|广武路|,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国联通,LMY47V,登陆软件后，进入主页，主页上方图片加载不出，空白一片。,登陆软件后，进入主页，主页上方图片加载不出，空白一片。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27505771_%E4%B8%BB%E9%A1%B5.png""]",未知,P0,审核通过,2016-06-07 17:30:13,,5
0,4648739,鸿运智软V1.006自由测试,河南省|郑州市|荥阳市|广武路|,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国联通,LMY47V,进入软件主页比赛信息，下拉至最底部，点击南美预选赛事信息界面，核心理由下方信息为无。,进入软件主页比赛信息，下拉至最底部，点击南美预选赛事信息界面，核心理由下方信息为无。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27505783_%E5%8D%97%E7%BE%8E%E9%A2%84%E9%80%89.png""]",未知,P0,审核不通过,2016-06-06 11:00:54,,3
0,7287803,鸿运智软V1.006自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,首页界面今日推荐栏目为空白,"1.安装并打开app
2.在app首页，今日推荐栏目为空白","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27508825_Screenshot_2016-06-03-22-23-14.jpeg""]",未知,P0,审核通过,2016-06-07 17:30:13,,13
0,7287803,鸿运智软V1.006自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,在赛事选择中，选择联赛后，点击确认选择，点击一次，下方赛事遍重复出现一次。,"1.安装并打开app 
2.选择及时比分，选择联赛，点击确认选择。
3.在确认选择界面，再次点击确认选择，下方赛事遍便重复出现一次。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27508843_Screenshot_2016-06-03-22-18-37.jpeg""]",未知,P0,审核通过,2016-06-07 17:30:13,,19
0,7287803,鸿运智软V1.006自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,用户注册未对邮箱进行验证,1.安装并打开app 2.选择我的，点击账号设置。3.点击用户注册，在用户注册界面，未对邮箱的有效性进行验证。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27508878_Screenshot_2016-06-03-22-24-27.jpeg""]",未知,P0,审核通过,2016-06-07 17:30:13,,11
0,7287803,鸿运智软V1.006自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,用户注册界面的修改密码按钮显示不完整。,1.安装并打开app 2.选择我的，点击账号设置。3.在用户注册界面的修改密码按钮显示不完整。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/27509008_Screenshot_2016-06-03-22-27-08.jpeg""]",未知,P0,审核通过,2016-06-07 17:30:13,,15
