case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,851370,众医帮会员版V2.0.2自由测试,四川省|南充市|南部县|城北街|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入该软件登陆注册界面，使用微信登陆后提示发生错误了，微信登陆不成功。,进入该软件登陆注册界面，使用微信登陆后提示发生错误了，微信登陆不成功。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29114841_Screenshot_2016-06-14-17-28-04_com.furuihui.app.png""]",未知,P0,审核不通过,2016-06-15 16:14:25,,13
0,851370,众医帮会员版V2.0.2自由测试,四川省|南充市|南部县|城北街|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入该软件主页面点击左上方头像，在随后页面点击基础信息，在跳转页面点击会员帐号，弹出错误页面。,进入该软件主页面点击左上方头像，在随后页面点击基础信息，在跳转页面点击会员帐号，弹出错误页面。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29114951_Screenshot_2016-06-14-17-39-46_com.furuihui.app.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29114963_Screenshot_2016-06-14-17-39-50_com.furuihui.app.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29114973_Screenshot_2016-06-14-17-39-59_com.furuihui.app.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29114984_Screenshot_2016-06-14-17-40-04_com.furuihui.app.png""]",未知,P0,审核通过,2016-06-18 10:00:03,,9
0,851370,众医帮会员版V2.0.2自由测试,四川省|南充市|南部县|城北街|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,主页面点击中间众医讲座旁精选讲座，跳转页面无内容，只显示网址。,主页面点击中间众医讲座旁精选讲座，跳转页面无内容，只显示网址。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29115148_Screenshot_2016-06-14-17-42-32_com.furuihui.app.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29115167_Screenshot_2016-06-14-17-42-36_com.furuihui.app.png""]",未知,P0,审核不通过,2016-06-15 16:50:19,,4
0,851370,众医帮会员版V2.0.2自由测试,四川省|南充市|南部县|城北街|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,主页面下方的众医动态，一个也不能点击打开，点击无反应。,主页面下方的众医动态，一个也不能点击打开，点击无反应。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29115476_Screenshot_2016-06-14-17-45-51_com.furuihui.app.png""]",未知,P0,审核不通过,2016-06-15 16:15:47,,4
0,851370,众医帮会员版V2.0.2自由测试,四川省|南充市|南部县|城北街|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击软件下方我的，在随后页面点击右上方充值，此时若使用微信支付，提示发起支付失败，不能使用微信支付。,点击软件下方我的，在随后页面点击右上方充值，此时若使用微信支付，提示发起支付失败，不能使用微信支付。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29115681_Screenshot_2016-06-14-17-51-59_com.furuihui.app.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29115698_Screenshot_2016-06-14-17-56-25_com.furuihui.app.png""]",未知,P0,审核通过,2016-06-18 10:00:03,,3
0,1165965,众医帮会员版V2.0.2自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,点击添加的信息右侧的x无反应，添加的孩子的发育指标无法删除,1.打开软件并登录2.首页-家庭档案3.添加加人4.添加儿童5.填写信息并点击添加6.点击添加的儿童图标7.生长发育8.右上角.添加指标9.填写信息并点击确定10.点击添加的信息右侧的x,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29004125_BaiduHi_2016-6-14_14-21-7.png""]",未知,P0,审核通过,2016-06-18 10:00:03,,0
0,1165965,众医帮会员版V2.0.2自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,页面排版有问题，超过了手机显示页面范围,1.打开软件并登录2.我的3.我的问诊4.右上角 基础信息,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29004781_BaiduHi_2016-6-14_14-22-45.png""]",未知,P0,审核不通过,2016-06-15 15:10:26,,17
0,1165965,众医帮会员版V2.0.2自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,点击页面上部图片，跳转页面提示错误,1.打开软件并登录2.点击主页页面上部图片,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29007861_BaiduHi_2016-6-14_14-31-16.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29007887_BaiduHi_2016-6-14_14-31-33.png""]",未知,P0,审核通过,2016-06-18 10:00:03,,5
0,1165965,众医帮会员版V2.0.2自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,药品查询，所有类目下页面都是空白，无任何药品，但搜索或药品扫描正常,1.打开软件并登录2.发现3.药品查询4.性病用药5.艾滋病,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29011179_BaiduHi_2016-6-14_14-41-9.png""]",未知,P0,审核不通过,2016-06-15 15:12:23,,7
0,1165965,众医帮会员版V2.0.2自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,主页 社区医院页面空白，无任何医院，但发现类目下的周边医院页面显示医院,"1.打开软件并登录2.主页 社区医院；.....
发现--周边医院 页面正常","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29013953_BaiduHi_2016-6-14_14-47-45.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/29013975_BaiduHi_2016-6-14_14-48-3.png""]",未知,P0,审核不通过,2016-06-15 15:14:02,,2
