case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,1576509,自由测试,上海|上海,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国电信,KTU84P,新闻发布的时间在内外显示不正确。,很多新闻的左下角都是显示 刚刚 发布 但是一点进去就变成了 几小时前发布 并且我刷新后还是有这种错误。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294688_4c37d714-f296-407a-9e09-2400d212060a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294684_9c496240-f8e1-4a2e-aa89-4dbcffddfe06.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294683_98246433-34bd-48d5-998e-20abeb4a6d75.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294682_e1b776be-6a78-44ba-ab6c-ee1c1a5ded53.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294681_0afd9036-0bb3-47af-9b2c-352851987a85.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294679_5e4edbd9-4c6a-49d2-9d71-ceffc737f3e4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294678_62e22125-ecd1-4f01-ad96-9f92e73efd79.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294676_880b7e7a-6bc0-406f-979e-3afe0bc7192d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294675_6fc18556-5b3b-4546-bc22-e776af0a051e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294674_8e56a95e-f1b9-4d68-ab87-bb5f808b274c.jpg""]",未知,P0,审核不通过,2015-10-01 20:04:14,,13
0,1576509,自由测试,上海|上海,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国电信,KTU84P,阅读成就中读过的新闻总数不正确。,我才刚下载百度新闻 最近阅读中只显示了我读了6篇新闻，但是在阅读成就中却显示我读过20篇新闻，数字不正确。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294688_4c37d714-f296-407a-9e09-2400d212060a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294684_9c496240-f8e1-4a2e-aa89-4dbcffddfe06.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294683_98246433-34bd-48d5-998e-20abeb4a6d75.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294682_e1b776be-6a78-44ba-ab6c-ee1c1a5ded53.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294681_0afd9036-0bb3-47af-9b2c-352851987a85.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294679_5e4edbd9-4c6a-49d2-9d71-ceffc737f3e4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294678_62e22125-ecd1-4f01-ad96-9f92e73efd79.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294676_880b7e7a-6bc0-406f-979e-3afe0bc7192d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294675_6fc18556-5b3b-4546-bc22-e776af0a051e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294674_8e56a95e-f1b9-4d68-ab87-bb5f808b274c.jpg""]",已知,P2,审核通过,2015-10-01 20:04:14,,3
0,1576509,自由测试,上海|上海,Xiaomi  MI 4LTE,Android 4.4.4,WIFI,中国电信,KTU84P,我点击了 无图 按钮，但是在 有图频道 仍然可以看到图片。,我点击了 无图 按钮，但是在有图频道任然可以看到图片。图片与文字都有。不是无图模式吗？,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294688_4c37d714-f296-407a-9e09-2400d212060a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294684_9c496240-f8e1-4a2e-aa89-4dbcffddfe06.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294683_98246433-34bd-48d5-998e-20abeb4a6d75.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294682_e1b776be-6a78-44ba-ab6c-ee1c1a5ded53.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294681_0afd9036-0bb3-47af-9b2c-352851987a85.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294679_5e4edbd9-4c6a-49d2-9d71-ceffc737f3e4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294678_62e22125-ecd1-4f01-ad96-9f92e73efd79.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294676_880b7e7a-6bc0-406f-979e-3afe0bc7192d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294675_6fc18556-5b3b-4546-bc22-e776af0a051e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5294674_8e56a95e-f1b9-4d68-ab87-bb5f808b274c.jpg""]",未知,P0,审核不通过,2015-10-01 20:04:14,,7
0,2843652,自由测试,安徽|合肥,htccn_chs_ct  HTC T327d,Android 4.0.3,WIFI,中国电信,IML74K,首页右上角，点击+ 会出现程序关闭。,打开app，进入首页，首页右上角，点击+ 会出现程序关闭。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5216574_210aae94-18c8-42ea-bced-4d491f6aa291.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5216573_a4e223b9-8298-4e5f-8cc5-d92f2819b130.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5216572_89abd3f0-b724-4824-8cea-0f07ed4e92e9.jpg""]",已知,P2,审核通过,2015-09-29 00:28:02,,5
0,2843652,自由测试,安徽|合肥,htccn_chs_ct  HTC T327d,Android 4.0.3,WIFI,中国电信,IML74K,个人设置中，自动切换夜间，白天模式没有反应,首页，点击右上角进入个人中心管理，本是白天模式，现在是0：25，点设置自动切换夜间\白天模式应进入夜间模式，但没有反应，,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5216574_210aae94-18c8-42ea-bced-4d491f6aa291.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5216573_a4e223b9-8298-4e5f-8cc5-d92f2819b130.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5216572_89abd3f0-b724-4824-8cea-0f07ed4e92e9.jpg""]",已知,P2,审核通过,2015-09-29 00:28:02,,10
0,3598481,自由测试,湖南|株洲,lge  LG-E975,Android 4.4.2,WIFI,中国联通,KOT49I.E97520b.Rogue,推送管理，话题推送选项缺失,在推送管理中，话题推送选项下只有一个选择项“互联网+”，而自己订阅的频道没有被列举出来！,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5314922_f84197be-357f-4c17-907d-37feda2cf3bf.jpg""]",未知,P0,审核不通过,2015-10-02 19:07:53,,6
0,4331970,自由测试,山东省|烟台市|福山区|沭河路|,Infocus  NewTab CS1,Android 4.4.2,WIFI,无SIM卡,KOT49H.20150207,本地新闻更新时间差太多,点击本地，新闻全部为三天四天前的新闻，资源的时效性对用户没有太大兴趣，新闻价值缺失,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5277528_d5702a21-af10-4ae0-84cd-19a2907dc2ca.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5277527_eb269c36-8966-40a3-b05e-d9aa13ef40a2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5277526_cc210e1d-b594-4489-ad01-761074097528.jpg""]",已知,P2,审核通过,2015-10-01 00:13:54,,11
0,11597463,自由测试,山西省|晋中市|榆次区|大学街|,Honor  HONOR H30-L01,Android 4.4.2,WIFI,中国移动,H30-L01V100R001CHNC00B271,文章和图片的加载问题,我发现在进入新闻客户端后它会加载文章的列表，这样我发现有一个很大的网速在进行，下拉亦能发现很多正在加载的缩略图，我随机打开一个图片新闻后发现，新闻里的文字加载很快，但是图片却很久没出来，我向后翻了几页发现图片也都没有，随后返回第一张图片，等待一段时间后，还没有加载出来，随后突出到列表，再次进入发现已经加载好了，此时屏幕下方出现”加载失败请重试“的字样，应该是前一次夹在实拍现实的通知，后来退出后随机打开其他的新闻，发现大多已经可以完全加载，但是在个别新闻里的个边图片还是会出现长时间只显示黑色背景无法加载的情况。我分析刚开始出现那种情况可能是在加载文章列表时占用了大量网络资源，在打开新闻是没有没有及时加载资源，可能涉及到资源加载优先级的问题，当然，以上字是我自己的猜测，具体的还是看各位工程师的。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5214329_de94b669-949f-46ab-849d-0bd5b86e311a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5214328_b6908277-ba1b-4a62-9b5e-aa8d5b1fe924.jpg""]",已知,P2,审核通过,2015-09-28 21:22:59,,10
0,13984604,自由测试,北京|北京,Xiaomi  MI 2,Android 4.1.1,WIFI,中国移动,JRO03L,点击进入个人中心管理页面，点击评论，跳转不对（跳转至动态页面）,"1、点击个人中心
2、点击评论，查看跳转的页面是否正确
【错误结果】跳转至动态页面，需要手动滑到评论","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5208097_af32e9b3-86e4-437c-9083-f12b5a3f667a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5208095_64c49aeb-54ba-41cf-a858-c31228a56f36.jpg""]",已知,P2,审核通过,2015-09-28 16:36:57,,2
0,13984604,自由测试,北京|北京,Xiaomi  MI 2,Android 4.1.1,WIFI,中国移动,JRO03L,离线下载中，推荐分类显示的条数>我设置的数目,"1、进入个人中心
2、点击离线下载
3、勾选推荐
4、选择文本40条离线
5、点击下载按钮
6、关闭wifi。点击进入查看推荐显示的条数
【错误结果】推荐显示的条数>40","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5208097_af32e9b3-86e4-437c-9083-f12b5a3f667a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/5208095_64c49aeb-54ba-41cf-a858-c31228a56f36.jpg""]",已知,P2,审核通过,2015-09-28 16:36:57,,12
