case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,70189,神讯V1.0自由测试,辽宁省|营口市|老边区|上博路|,HUAWEI  HUAWEI NXT-TL00,Android 6.0,WIFI,中国移动,NXT-TL00C01B182,在测试页面点击“打开”，及在手机桌面点击神讯app图标，均闪退，无法打开。,在测试页面点击“打开”，及在手机桌面点击神讯app图标，均闪退，无法打开。,[],未知,P0,审核不通过,2016-06-24 17:32:22,,11
0,477462,神讯V1.0自由测试,浙江省|温州市|乐清市|大太线|,GiONEE  F303,Android 5.0.2,WIFI,中国移动,amigo3.0.4,安装过程正常，但是打开后报错，闪退,"安装过程正常，但是打开后报错，闪退
安装过程正常，但是打开后报错，闪退","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30559458_Screenshot_2016-06-24-12-29-11.png""]",未知,P0,审核通过,2016-06-26 10:00:02,,6
0,531756,神讯V1.0自由测试,山西省|太原市|古交市|青山路|19,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,app无法获取到原来手机中的通讯录信息，显示通讯录中为空白，无法读取通话记录中的手机号名字，只会显示手机号，权限已经全部允许了，但还是读取不到。,app无法获取到原来手机中的通讯录信息，显示通讯录中为空白，无法读取通话记录中的手机号名字，只会显示手机号，权限已经全部允许了，但还是读取不到。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30539839_Screenshot_2016-06-24-09-45-41_com.miui.securitycenter.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30539846_Screenshot_2016-06-24-09-46-01_com.hzjiteng.call.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30539860_Screenshot_2016-06-24-09-45-18_com.hzjiteng.call.png""]",未知,P0,审核通过,2016-06-26 10:00:02,,12
0,760595,神讯V1.0自由测试,河北|邯郸,Xiaomi  HM NOTE 1LTETD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-41952c44d36acc0d837d5,打开app就会立即闪退，无法测试,点开app后，很快进入 ，但是进入后，还没有进行任何操作就会闪退，返回到桌面,[],未知,P0,审核不通过,2016-06-24 17:31:05,,11
0,851370,神讯V1.0自由测试,四川省|南充市|南部县|晓霞路|35号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击该app就闪退，不能正常打开！测试环境：红米note3  安卓5.0.2 wifi！,点击该app就闪退，不能正常打开！测试环境：红米note3  安卓5.0.2 wifi！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30569829_5.jpg""]",未知,P0,审核通过,2016-06-26 10:00:02,,11
0,1165965,神讯V1.0自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,安装后点击图标打开软件闪退，提示 已停止运行，无法进入测试,1.下载并安装2.点击图标打开软件                                  .,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30543782_QQ%E6%88%AA%E5%9B%BE20160624103252.png""]",未知,P0,审核通过,2016-06-26 10:00:02,,6
0,2548558,神讯V1.0自由测试,山东省|烟台市|莱山区|大庄西南街|,Lenovo  Lenovo K32c36,Android 5.1.1,WIFI,中国移动,K32c36_S034_160303,安装应用后，无法正常注册。,下载并安装应用程序，点击打开，输入手机号码，输入密码和收到的验证码，程序进去持续忙碌中，最终无法登陆,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30524532_Screenshot_2016-06-24-05-53-49-353.jpeg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30524541_Screenshot_2016-06-24-04-50-06-313.jpeg""]",未知,P0,审核通过,2016-06-26 10:00:02,,10
0,2590458,神讯V1.0自由测试,广东省|广州市|越秀区|解放路|27号-临,Honor  Che2-UL00,Android 4.4.2,WIFI,中国联通,Che2-UL00 V100R001CHNC00B390,打开软件，闪退。打开软件，闪退。,"打开软件，闪退。华为4x，安卓4.4.2,wifi网络","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30541636_QQ%E5%9B%BE%E7%89%8720160624100904.jpg""]",未知,P0,审核通过,2016-06-26 10:00:02,,6
0,3381715,神讯V1.0自由测试,广东|广州,Xiaomi  MI 4C,Android 6.0.1,WIFI,中国电信,MMB29M,提示app停止运行，无法测试,"小米4  电信版 wifi
1.第1次打开，进入登录页面，输入相关信息和验证码后，提示停止运行；
2.再次打开，直接就提示停止运行；
2.重启手机后，再次打开，直接就提示停止运行。
提示app停止运行，无法测试
提示app停止运行，无法测试","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30534503_Screenshot_2016-06-24-08-44-35_com.baidu.addressugc.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30534515_Screenshot_2016-06-24-08-39-43_com.baidu.addressugc.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30534525_Screenshot_2016-06-24-08-39-31_com.hzjiteng.call.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30534527_Screenshot_2016-06-24-08-38-30_com.hzjiteng.call.png""]",未知,P0,审核通过,2016-06-26 10:00:02,,7
0,3463911,神讯V1.0自由测试,四川省|成都市|大邑县|甲子东道|,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国电信,LMY47V,打开app，软件出现闪退，重复操作10次依然如此,我使用的是红米note全网通版本，打开app，软件出现闪退，重复操作10次依然如此，因闪退太快，无法切图,[],未知,P0,审核通过,2016-06-26 10:00:02,,11
