case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,509713,二酒网V1.0自由测试,广东省|中山市|中山市市辖区|科技东路|,ONEPLUS  A0001,Android 4.4.4,WIFI,无SIM卡,A0001ROM_12_150626_Beta,分享到微博功能有bug,"1.随便点进一个商品
2.点分享
3.选择微博
app直接退出","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30764528_Screenshot_2016-06-25-20-46-10-760.png""]",未知,P0,审核通过,2016-06-28 10:00:09,,7
0,531756,二酒网V1.0自由测试,山西省|太原市|小店区|体育北街|21,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册时，通过相册上传头像时，app会闪退重启。,点击“我的”，点击“注册”，输完手机号和验证码后，点击注册按钮，然后点击灰色卡通头像通过相册上传头像时，app会闪退重启。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30761515_Screenshot_2016-06-25-19-45-29_wine.midu.cc.wine.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30761528_Screenshot_2016-06-25-19-47-10_wine.midu.cc.wine.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30761545_Screenshot_2016-06-25-19-47-12_wine.midu.cc.wine.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30761555_Screenshot_2016-06-25-19-47-22_wine.midu.cc.wine.png""]",未知,P0,审核通过,2016-06-28 10:00:09,,5
0,531756,二酒网V1.0自由测试,山西省|太原市|小店区|体育北街|21,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册成功后在个人中心点击拍摄一段小视频介绍自己，拍摄视频，上传验证，后上传失败。,注册成功后在个人中心点击拍摄一段小视频介绍自己，拍摄视频，上传验证，后上传失败。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30761849_Screenshot_2016-06-25-19-52-03_wine.midu.cc.wine.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30761876_Screenshot_2016-06-25-19-54-15_wine.midu.cc.wine.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30761886_Screenshot_2016-06-25-19-51-55_wine.midu.cc.wine.png""]",未知,P0,审核通过,2016-06-28 10:00:09,,4
0,851370,二酒网V1.0自由测试,四川省|南充市|南部县|G212(迎宾大道)|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app在注册登录界面使用微博登录，跳转页面点击确定后，app崩溃！测试环境：红米note3 安卓5.0.2 wifi！,打开app在注册登录界面使用微博登录，跳转页面点击确定后，app崩溃！测试环境：红米note3 安卓5.0.2 wifi！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771688_1.jpg""]",未知,P0,审核通过,2016-06-28 10:00:09,,15
0,851370,二酒网V1.0自由测试,四川省|南充市|南部县|G212(迎宾大道)|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app在注册登录界面使用qq登录，提示登录失败的错误信息！,打开app在注册登录界面使用qq登录，提示登录失败的错误信息！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771693_2.jpg""]",未知,P0,审核通过,2016-06-28 10:00:09,,10
0,851370,二酒网V1.0自由测试,四川省|南充市|南部县|G212(迎宾大道)|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击进入app后点击下方我的，然后点击头像，选用相册照片更改头像不成功。,点击进入app后点击下方我的，然后点击头像，选用相册照片更改头像不成功。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771715_3.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771716_4.jpg""]",未知,P0,审核不通过,2016-06-27 11:30:15,,11
0,851370,二酒网V1.0自由测试,四川省|南充市|南部县|G212(迎宾大道)|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击进入app后点击下方我的，然后点击头像，跳转页面点击修改密码，修改密码页面不用输入旧密码就能设置新密码。,点击进入app后点击下方我的，然后点击头像，跳转页面点击修改密码，修改密码页面不用输入旧密码就能设置新密码。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771724_5.jpg""]",未知,P0,审核不通过,2016-06-27 10:58:09,,11
0,851370,二酒网V1.0自由测试,四川省|南充市|南部县|G212(迎宾大道)|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入app后点击右上方搜索，输入任何关键件，即便是主页面的酒的名字，都搜索不到！,进入app后点击右上方搜索，输入任何关键件，即便是主页面的酒的名字，都搜索不到！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771776_6.jpg""]",未知,P0,审核不通过,2016-06-27 10:58:47,,2
0,851370,二酒网V1.0自由测试,四川省|南充市|南部县|G212(迎宾大道)|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,进入app后点击最下方“发现”，app崩溃！测试环境：红米note3 安卓5.0.2wifi！,进入app后点击最下方“发现”，app崩溃！测试环境：红米note3 安卓5.0.2wifi！,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771796_7.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771797_8.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30771798_9.jpg""]",未知,P0,审核通过,2016-06-28 10:00:09,,16
0,1165965,二酒网V1.0自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,个人资料中 手机号识别错误，任意11位数字都能成功保存,1.打开软件并登录2.我的3.头像4.填写信息并保存             .,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30767910_QQ%E6%88%AA%E5%9B%BE20160625220600.png""]",未知,P0,审核通过,2016-06-28 10:00:09,,0
