case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,SmartBuyV1.0自由测试,山西省|太原市|古交市|青山路|19,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,购物车界面右上角的客服图标点击后没有反应。,注册并登录app，点击主页界面右上角客服图标可以正常与客服在线交流，而购物车界面右上角的客服图标点击后没有反应。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31010480_Screenshot_2016-06-27-17-49-03_io.dcloud.H506B34B4.png""]",未知,P0,审核通过,2016-06-29 10:00:03,,14
0,851370,SmartBuyV1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击app，注册成功后，在其主页面任意点击一商品，点击商品详情页面左上方客服头像，点击不能调出客服联系对话界面。,点击app，注册成功后，在其主页面任意点击一商品，点击商品详情页面左上方客服头像，点击不能调出客服联系对话界面。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30998474_4.jpg""]",未知,P0,审核通过,2016-06-29 10:00:03,,18
0,851370,SmartBuyV1.0自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,点击app，注册成功后，在其主页面任意点击一商品，选择好颜色、型号、大小后点击加入购车车，但是此时跳转到购物车，却没有。,点击app，注册成功后，在其主页面任意点击一商品，选择好颜色、型号、大小后点击加入购车车，但是此时跳转到购物车，却没有。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30998714_1.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30998716_2.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30998720_3.jpg""]",未知,P0,审核通过,2016-06-29 10:00:03,,12
0,1165965,SmartBuyV1.0自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,购物车页面 点击客服图标无反应,1.打开软件并登录2.购物车3.页面右上角客服图标,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30986179_QQ%E6%88%AA%E5%9B%BE20160627142717.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30986189_QQ%E6%88%AA%E5%9B%BE20160627142743.png""]",未知,P0,审核通过,2016-06-29 10:00:03,,14
0,2590458,SmartBuyV1.0自由测试,广东省|广州市|越秀区|大新路|93号,Honor  Che2-UL00,Android 4.4.2,WIFI,中国联通,Che2-UL00 V100R001CHNC00B390,除首页外，其它界面点右上角客服按键都无效。,除首页外，其它界面点右上角客服按键都无效。华为4x，安卓4.4 ，wifi网络,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30996616_A.jpg""]",未知,P0,审核通过,2016-06-29 10:00:03,,18
0,2590458,SmartBuyV1.0自由测试,广东省|广州市|越秀区|大新路|93号,Honor  Che2-UL00,Android 4.4.2,WIFI,中国联通,Che2-UL00 V100R001CHNC00B390,到结算界面，无法进行下一步。,打开软件并登录－选择一件商品进入购物车－在购物车中选择一个商品点击进入结算－到付款方式界面就无法进行下一步，且无法返回，必需结束程序。华为4x，安卓4.4 ，wifi网络,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30997214_B.jpg""]",未知,P0,审核不通过,2016-06-28 15:13:27,,9
0,2590458,SmartBuyV1.0自由测试,广东省|广州市|越秀区|大新路|93号,Honor  Che2-UL00,Android 4.4.2,WIFI,中国联通,Che2-UL00 V100R001CHNC00B390,在购物车内选择商品进行结算，生成订单后，购物车内相应商品仍然存在。,在购物车有商品的情况下－选择一个商品进行结算－生成订单－刚才选择的商品还在购物车内。华为4x，安卓4.4 ，wifi网络,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30997744_C-1.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30997751_C-2.jpg""]",未知,P0,审核通过,2016-06-29 10:00:03,,9
0,7358634,SmartBuyV1.0自由测试,河南省|郑州市|管城回族区|G220(郑汴路)|,ACTOMA  ACTOMA ACE,Android 5.0.2,WIFI,中国移动,ACE_3.2.16.B04_20160607,个人生日可以设置为将来的日期，如2017/10/05,"1、打开app,注册登录，进入personal center
2、点击右上角的头像，进入 personal info 设置个人信息，其中birthday 可以设置为将来的日期， 如2017/10/05","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30985690_QQ%E5%9B%BE%E7%89%8720160627142049.jpg""]",未知,P0,审核通过,2016-06-29 10:00:03,,15
0,9504441,SmartBuyV1.0自由测试,河北省|沧州市|沧县|S283|,Xiaomi  2014813,Android 4.4.4,WIFI,中国移动,KTU84P,购物车页面右上角人工客服点击无反应,1、打开smartbuy app，进入购物车页面；2、点击购物车页面右上角的人工客服图标，无反应。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31007869_Screenshot_2016-06-27-17-16-49_io.dcloud.H506B34B.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31007877_Screenshot_2016-06-27-17-22-24_io.dcloud.H506B34B.png""]",未知,P0,审核通过,2016-06-29 10:00:03,,14
0,9742256,SmartBuyV1.0自由测试,湖南省|长沙市|芙蓉区|五一大道|120号,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,界面完全没有汉化 ，用户无法正常操作,包括登录、首页、购物车、结算等页面完全无汉化，一般用户无法使用,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30983072_Screenshot_2016-06-27-13-58-31_io.dcloud.H506B34B.png""]",未知,P0,审核不通过,2016-06-28 14:02:37,,21
