case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,极智锁屏V1.0.2自由测试,山西省|太原市|古交市|青山路|19,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,打开app，使用壁纸美化功能无效。,打开app，点击“壁纸美化”，点击任意一张壁纸，点击使用，打√，壁纸并没有被更换。我的手机为酷派大神f2，系统是miui7。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30120202_Screenshot_2016-06-21-17-43-42_com.baidu.locker.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30120211_Screenshot_2016-06-21-17-43-53_com.baidu.locker.png""]",未知,P0,审核通过,2016-06-30 10:00:01,,6
0,531756,极智锁屏V1.0.2自由测试,山西省|太原市|古交市|青山路|19,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,本app的密码安全功能无效，按手机home键可以直接绕过该功能进入手机界面。,本app的密码安全功能无效，按手机home键可以直接绕过该功能进入手机界面。打击app，点击“密码安全”，设置好密码后，锁屏，再亮屏，点击home键可以绕过本app，甚至可以长按菜单键结束后台app。这个功能完全无用。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30120672_Screenshot_2016-06-21-17-43-42_com.baidu.locker.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30120680_Screenshot_2016-06-21-17-45-47_com.baidu.locker.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30120684_Screenshot_2016-06-21-17-45-50_com.baidu.locker.png""]",未知,P0,审核通过,2016-06-30 10:00:01,,5
0,531756,极智锁屏V1.0.2自由测试,山西省|太原市|古交市|青山路|19,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,app的时钟控件无法应用到手机上。,打开app，点击“时钟控件”，点击任意一个控件样式，点击使用，打√，控件并没有被更换。我的手机为酷派大神f2，系统是miui7。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30120962_Screenshot_2016-06-21-17-43-42_com.baidu.locker.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30120982_Screenshot_2016-06-21-17-58-45_com.baidu.locker.png""]",未知,P0,审核通过,2016-06-30 10:00:01,,7
0,851370,极智锁屏V1.0.2自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,在使用该锁屏app后，点击电源键出现滑动解锁界面，此时页面上滑，双击下方的微信和uc浏览器，不能解锁后打开进入。而拨号，图库，计算器均能双击解锁打开。,在使用该锁屏app后，点击电源键出现滑动解锁界面，此时页面上滑，双击下方的微信和uc浏览器，不能解锁后打开进入。而拨号，图库，计算器均能双击解锁打开。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30076809_7.jpg""]",未知,P0,审核通过,2016-06-30 10:00:01,,9
0,1165965,极智锁屏V1.0.2自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,锁屏通知开启辅助功能时 软件提示 设置已停止运行，测试了n次均无法成功开启,详情见操作视频http://pan.baidu.com/s/1qxi7yig,[],未知,P0,审核通过,2016-06-30 10:00:01,,13
0,2135150,极智锁屏V1.0.2自由测试,云南省|昆明市|呈贡区|文博路|,Xiaomi  2014501,Android 4.4.2,WIFI,无SIM卡,KOT49H,锁屏界面开启后，下拉窗口无法拉下来,锁屏开启后，锁屏界面可以正常显示，但是无法下拉菜单而其本身的上拉菜单中应该增加截屏选项,[],未知,P0,审核不通过,2016-06-29 21:26:36,,1
0,2135150,极智锁屏V1.0.2自由测试,云南省|昆明市|呈贡区|文博路|,Xiaomi  2014501,Android 4.4.2,WIFI,无SIM卡,KOT49H,锁屏设置的应用无法使用,锁屏应用-锁屏主界面应用设置。设置后应用可以正常显示为灰色，但是仅仅只是显示，无任何功能，且图标比较小，没什么用。,[],未知,P0,审核通过,2016-06-30 10:00:01,,14
0,2135150,极智锁屏V1.0.2自由测试,云南省|昆明市|呈贡区|文博路|,Xiaomi  2014501,Android 4.4.2,WIFI,无SIM卡,KOT49H,此应用应该增加一些功能,手机常自动清理把其关闭，锁屏同时也就失效。且只有锁屏界面图片还比较少，无主题设置。与系统自带的相比，并没有什么优势,[],未知,P0,审核不通过,2016-06-29 21:32:35,,14
0,2238236,极智锁屏V1.0.2自由测试,吉林省|吉林市|蛟河市|Y024(天牛线)|,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国移动,LMY47V,红米note3 全网通 高配版解锁问题,锁屏再次解锁的时候会出现手机自带的解锁界面，解锁自带锁屏界面后又出现极智锁屏，才能进入系统,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30128398_Screenshot_2016-06-21-20-17-19_com.miui.home.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/30128401_Screenshot_2016-06-21-20-17-22_com.miui.home.jpg""]",未知,P0,审核通过,2016-06-30 10:00:01,,9
0,8993718,极智锁屏V1.0.2自由测试,四川省|成都市|武侯区|拓新东街|81,nubia  NX507J,Android 5.1.1,WIFI,中国联通,NX507J_CNCommon_V3.69,使用了时钟样式后无法自动返回,"1.打开软件
2.点击时钟控件
3.选择一个非当前使用的时钟控件
4.点击使用，观察显示（使用按钮变为“钩”，但界面一直处于该状态，点击图片也无反应，建议修改为，点击使用按钮后，5秒自动返回控件选择页面。或者点击图片会退出具体的控件预览界面）","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31086882_QQ%E6%88%AA%E5%9B%BE20160628103158.png""]",未知,P0,审核通过,2016-06-30 10:00:01,,7
