case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,760595,呼哈城市Vv2.3.1自由测试,河北|邯郸,Xiaomi  HM NOTE 1LTETD,Android 4.4.2,WIFI,无SIM卡,JH3CN0.0-41952c44d36acc0d837d5,首页界面下面的连接不能正常显示,打开首页之后，首页最下面的链接的字体，只能显示半个，不能正常显示,[],未知,P0,审核不通过,2016-06-30 16:43:07,,15
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击主页面右上方定位按钮，第一次能够成功定位到当前位置，但是此时若再点击“重新定位”，跳转页面会弹出“服务器无法定位到你所在的城市，默认设置城市为厦门”的错误提示！不能进行第二次定位。,打开app后点击主页面右上方定位按钮，第一次能够成功定位到当前位置，但是此时若再点击“重新定位”，跳转页面会弹出“服务器无法定位到你所在的城市，默认设置城市为厦门”的错误提示！不能进行第二次定位。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272054_1.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272058_2.jpg""]",未知,P0,审核通过,2016-07-04 10:00:05,,10
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方“个人”，然后点击关于我们，跳转页面点击左上方分享按钮。选择分享到微信，第一次能分享成功，但若是再次点击分享到微信、朋友圈、新浪微博，此时屏幕会一闪而过，依然停留在分享界面，而不能分享成功。,打开app后点击最下方“个人”，然后点击关于我们，跳转页面点击左上方分享按钮。选择分享到微信，第一次能分享成功，但若是再次点击分享到微信、朋友圈、新浪微博，此时屏幕会一闪而过，依然停留在分享界面，而不能分享成功。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272540_3.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272544_4.jpg""]",未知,P0,审核通过,2016-07-04 10:00:05,,13
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方“个人”，然后点击意见反馈，在跳转页面的输入框能输入空格也能成功发送反馈意见。,打开app后点击最下方“个人”，然后点击意见反馈，在跳转页面的输入框能输入空格也能成功发送反馈意见。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272637_5.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272639_6.jpg""]",未知,P0,审核通过,2016-07-04 10:00:05,,2
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,在该app注册登录界面点击忘记密码，随后输入手机号点击获取验证码，此时手机无法接收到下发的验证码。经测试该模块，多次均无法收验证码。,在该app注册登录界面点击忘记密码，随后输入手机号点击获取验证码，此时手机无法接收到下发的验证码。经测试该模块，多次均无法收验证码。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272699_7.jpg""]",未知,P0,审核通过,2016-07-04 10:00:05,,14
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方个人，然后点击右上方设置，设置中修改密码环节，不需要输入旧密码就能够直接设置新密码。,打开app后点击最下方个人，然后点击右上方设置，设置中修改密码环节，不需要输入旧密码就能够直接设置新密码。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272761_8.jpg""]",未知,P0,审核不通过,2016-06-30 19:59:50,,17
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方个人，然后点击右上方设置，设置中编辑邮箱地址环节，能够输入纯汉字并保存成功。,打开app后点击最下方个人，然后点击右上方设置，设置中编辑邮箱地址环节，能够输入纯汉字并保存成功。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272809_9.jpg""]",未知,P0,审核通过,2016-07-04 10:00:05,,20
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方个人，然后点击右上方设置，设置中点击头像，选择拍照，拍完照剪切好后点击左上方“完成”，此时软件崩溃。测试环境：红米note3 安卓5.0.2 wifi。,打开app后点击最下方个人，然后点击右上方设置，设置中点击头像，选择拍照，拍完照剪切好后点击左上方“完成”，此时软件崩溃。测试环境：红米note3 安卓5.0.2 wifi。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31272948_10.jpg""]",未知,P0,审核通过,2016-07-04 10:00:05,,17
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击首页上方的搜索栏，输入搜索关键字词后点击搜索，但是搜索出来的内容跟搜索字词无关。,打开app后点击首页上方的搜索栏，输入搜索关键字词后点击搜索，但是搜索出来的内容跟搜索字词无关。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31273092_11.jpg""]",未知,P0,审核通过,2016-07-04 10:00:05,,9
0,851370,呼哈城市Vv2.3.1自由测试,四川省|南充市|南部县|S101|,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击首页的免费领券，跳转页面点击佰隆尼酒业的优惠券，点击立即领券后软件崩溃。,打开app后点击首页的免费领券，跳转页面点击佰隆尼酒业的优惠券，点击立即领券后软件崩溃。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31273226_12.jpg""]",未知,P0,审核通过,2016-07-04 10:00:05,,22
0,3463911,呼哈城市Vv2.3.1自由测试,四川省|成都市|大邑县|晋新路|,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国电信,LMY47V,打开app，进入首页，网页为空白网页，但聚团板块能正常显示，可判断不是网速问题,我使用的是红米note全网通版本，打开app，进入首页，网页为空白网页，但聚团板块能正常显示，可判断不是网速问题,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31255055_Screenshot_2016-06-29-22-16-18_com.sunfun.huhacity.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31255057_Screenshot_2016-06-29-22-16-55_com.sunfun.huhacity.png""]",未知,P0,审核不通过,2016-06-30 20:21:13,,19
0,3463911,呼哈城市Vv2.3.1自由测试,四川省|成都市|大邑县|晋新路|,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国电信,LMY47V,打开app，进入关于我们网页，点击又上角的分享键，微信、朋友圈不能正常分享，点击分享时闪退，其余能正常分享,我使用的是红米note全网通版本，打开app，进入关于我们网页，点击又上角的分享键，微信、朋友圈不能正常分享，点击分享时闪退，其余能正常分享,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31255108_Screenshot_2016-06-29-22-18-16_com.sunfun.huhacity.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31255113_Screenshot_2016-06-29-22-17-57_com.android.mms.png""]",未知,P0,审核通过,2016-07-04 10:00:05,,13
