case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,雪山贷V1.0.2自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册时，输入手机号验证码后，设置登录密码，要求是6-16位数字或密码的组合，推荐是二者组合，当设置为123456时，确认密码输入123456确定，会提示两次的密码不能完全一致，但是确认密码输入1234567时又回提示两次密码不一致。都不知道怎么办才好了。,注册时，输入手机号验证码后，设置登录密码，要求是6-16位数字或密码的组合，推荐是二者组合，当设置为123456时，确认密码输入123456确定，会提示两次的密码不能完全一致，但是确认密码输入1234567时又回提示两次密码不一致。都不知道怎么办才好了。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31972663_Screenshot_2016-07-05-20-04-28_com.xueshanjinrong.snowmountainloan.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31972666_Screenshot_2016-07-05-20-04-33_com.xueshanjinrong.snowmountainloan.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,6
0,531756,雪山贷V1.0.2自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,绑定银行卡时，设置支付密码，输入1234567，确认密码时，输入1234567，点击提交，提示两次密码不能一样，递增或递减。,绑定银行卡时，设置支付密码，输入1234567，确认密码时，输入1234567，点击提交，提示两次密码不能一样，递增或递减。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31972872_Screenshot_2016-07-05-20-12-52_com.xueshanjinrong.snowmountainloan.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31972880_Screenshot_2016-07-05-20-15-30_com.xueshanjinrong.snowmountainloan.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31972882_Screenshot_2016-07-05-20-13-44_com.xueshanjinrong.snowmountainloan.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,6
0,1165965,雪山贷V1.0.2自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,邮箱无法绑定，点击无反应,1.打开软件并登录2.账户3.页面右上角＞图标4.邮箱地址,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31953998_QQ%E6%88%AA%E5%9B%BE20160705161243.jpg""]",未知,P0,审核通过,2016-07-09 10:00:02,,10
0,1165965,雪山贷V1.0.2自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,点击 清理缓存 软件闪退 ，详情见操作视频http://pan.baidu.com/s/1nvmsqfn,详情见操作视频http://pan.baidu.com/s/1nvmsqfn,[],未知,P0,审核不通过,2016-07-06 17:42:36,,14
0,2590458,雪山贷V1.0.2自由测试,广东省|广州市|越秀区|解放南路|89号,Honor  Che2-UL00,Android 4.4.2,WIFI,中国联通,Che2-UL00 V100R001CHNC00B384,注册登录后，点邮箱地址绑定，无效果。,打开软件注册登录后-帐户－顶部进入个人中心－点邮箱地址绑定，无效果。华为4x，安卓4.4.2，wifi网络。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31946125_11.jpg""]",未知,P0,审核通过,2016-07-09 10:00:02,,15
0,2590458,雪山贷V1.0.2自由测试,广东省|广州市|越秀区|解放南路|89号,Honor  Che2-UL00,Android 4.4.2,WIFI,中国联通,Che2-UL00 V100R001CHNC00B384,意见反馈时，超过200字时提示“类容必须小于200字”，错别字“类容”应为“内容”,意见反馈时，超过200字时提示“类容必须小于200字”，错别字“类容”应为“内容”,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31946285_12.jpg""]",未知,P0,审核通过,2016-07-09 10:00:02,,1
0,4648739,雪山贷V1.0.2自由测试,河南省|郑州市|荥阳市|广武路|,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国联通,LMY47V,打开软件注册账号时，输入登录密码界面，输入完成后点击确认，提示“设置的密码不能全一样，递增或递减”，无法完成注册。,打开软件注册账号时，输入登录密码界面，输入完成后点击确认，提示“设置的密码不能全一样，递增或递减”，无法完成注册。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31947322_%E5%AF%86%E7%A0%81.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,6
0,4648739,雪山贷V1.0.2自由测试,河南省|郑州市|荥阳市|广武路|,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国联通,LMY47V,进入个人资料编辑界面，点击绑定邮箱地址，点击无响应，无法进行下一步绑定。,进入个人资料编辑界面，点击绑定邮箱地址，点击无响应，无法进行下一步绑定。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31947373_%E9%82%AE%E7%AE%B1.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,15
0,7358634,雪山贷V1.0.2自由测试,河南省|郑州市|管城回族区|G220(郑汴路)|null,ACTOMA  ACTOMA ACE,Android 5.0.2,WIFI,中国移动,ACE_3.2.16.B04_20160607,账户安全中的邮箱地址无法绑定,"1、打开app，注册登录
2、在账户界面下，点击最上方的用户名，进入账户安全，点击邮箱地址，页面没有任何反应，无法绑定邮箱","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31944046_QQ%E5%9B%BE%E7%89%8720160705144024.jpg""]",未知,P0,审核通过,2016-07-09 10:00:02,,9
0,9742256,雪山贷V1.0.2自由测试,湖南省|长沙市|芙蓉区|五一大道|128,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,设置支付密码时获取的验证码可用于更换手机号时的验证,"1、注册时选择不设置支付密码
2、登陆后进入 账户 - 账户安全 - 支付密码设置 - 获取验证码
3、返回账户安全 - 进入手机号码（更换手机号页） 输入上一步获取的验证码，点击下一步，验证通过。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31942561_QQ%E5%9B%BE%E7%89%8720160705142801.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31942565_QQ%E5%9B%BE%E7%89%8720160705142809.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,6
0,9742256,雪山贷V1.0.2自由测试,湖南省|长沙市|芙蓉区|五一大道|128,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,邮箱地址无法设置    11111,1、 账户 - 账户安全 - 邮箱地址栏点击无响应，无法设置邮箱,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31942623_QQ%E6%88%AA%E5%9B%BE20160705142836.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,9
0,9742256,雪山贷V1.0.2自由测试,湖南省|长沙市|芙蓉区|五一大道|128,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,应用内要求注册账户，无法完成注册,"1、首页 - 选择新手首投特权
2、点击免费注册 - 输入登录应用的手机号，点击下一步，提示该手机号已注册。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31943557_QQ%E6%88%AA%E5%9B%BE20160705143838.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31943561_QQ%E6%88%AA%E5%9B%BE20160705143559.png""]",未知,P0,审核不通过,2016-07-06 16:59:01,,7
0,9742256,雪山贷V1.0.2自由测试,湖南省|长沙市|芙蓉区|五一大道|128,Xiaomi  Redmi Note 3,Android 5.1.1,WIFI,中国联通,LMY47V,在应用内任意页面，按手机桌面键返回桌面后，再进入应用后，自动跳转到了账户首页,"1、首页 - 点立即投标 
2、按手机桌面键返回桌面
3、在桌面找到应用图标，点击进入应用，打开的是账户首页","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31944120_QQ%E5%9B%BE%E7%89%8720160705144505.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31944124_QQ%E5%9B%BE%E7%89%8720160705144511.png""]",未知,P0,审核不通过,2016-07-06 16:59:26,,13
0,10108370,雪山贷V1.0.2自由测试,山西|太原,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击右下角账户
2点击我的消息
3点击公告
4点击2016年6月排行榜奖励公告，表格明显靠右，而且落款也被断为两行，格式错乱","1首页点击右下角账户
2点击我的消息
3点击公告
4点击2016年6月排行榜奖励公告，表格明显靠右，而且落款也被断为两行，格式错乱","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31977492_Screenshot_2016-07-05-22-41-15.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31977493_Screenshot_2016-07-05-22-41-19.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,12
0,10108370,雪山贷V1.0.2自由测试,山西|太原,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击右下角账户
2点击积分
3点击抵现券150元
4兑换数量输入9999，所需积分变为负数","1首页点击右下角账户
2点击积分
3点击抵现券150元
4兑换数量输入9999，所需积分变为负数","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31977530_Screenshot_2016-07-05-22-38-25.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,14
0,10108370,雪山贷V1.0.2自由测试,山西|太原,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击下方发现
2点击帮助中心
3点击声明协议
4点击网站协议
5点击手机充值服务协议，可以看到第二条的标号一二三四五...有被截断的情况","1首页点击下方发现
2点击帮助中心
3点击声明协议
4点击网站协议
5点击手机充值服务协议，可以看到第二条的标号一二三四五...有被截断的情况","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31977566_Screenshot_2016-07-05-22-27-02.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31977567_Screenshot_2016-07-05-22-27-08.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,5
0,10108370,雪山贷V1.0.2自由测试,山西|太原,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击右下角账户
2点击上方用户名>
3点击更多
4点击意见反馈，输入超过200字的内容，点击提交，提示“类容必须小于200字”不知所云","1首页点击右下角账户
2点击上方用户名>
3点击更多
4点击意见反馈，输入超过200字的内容，点击提交，提示“类容必须小于200字”不知所云","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31977635_Screenshot_2016-07-05-22-18-25.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,1
0,10108370,雪山贷V1.0.2自由测试,山西|太原,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击上方滚动图片，赚钱无止境邀好友...
2点击我的邀请链接，此链接没有显示完整，将输入光标放入框内，只有输入笑脸（讯飞输入法6.3124）才能查看完整链接","1首页点击上方滚动图片，赚钱无止境邀好友...
2点击我的邀请链接，此链接没有显示完整，将输入光标放入框内，只有输入笑脸（讯飞输入法6.3124）才能查看完整链接","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31977705_Screenshot_2016-07-05-22-21-55.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/31977708_Screenshot_2016-07-05-23-00-42.png""]",未知,P0,审核通过,2016-07-09 10:00:02,,13
