case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,点击头像时，app会发生白屏闪烁的情况，页面会跳转到“我的”界面。,安装好app后，自动定位到太原市，然后注册，成功登录后，点击“我的”，点击手机号，进入账户设置界面，点击头像，app白屏闪烁，并且页面会跳转到“我的”界面。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32317038_Screenshot_2016-07-08-19-10-14_com.ygkj.chelaile.standard.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32317040_Screenshot_2016-07-08-19-03-47_com.ygkj.chelaile.standard.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,9
0,531756,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,app定时提醒功能有问题，无法添加提醒，新建提醒后点击保存，会提示“保存失败”。,注册并登录app，城市选择为太原市（其他城市没有测试过），点击“我的”，点击“定时提醒”，点击“立即添加”，输入公交线路，例如52，选择一个站点，例如“财大北校”，在“定时提醒设置”界面，不论怎么设置，点击右上角保存时都会提示“保存失败”,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32318230_Screenshot_2016-07-08-19-25-34_com.ygkj.chelaile.standard.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32318237_Screenshot_2016-07-08-19-25-39_com.ygkj.chelaile.standard.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32318244_Screenshot_2016-07-08-19-25-45_com.ygkj.chelaile.standard.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32318255_Screenshot_2016-07-08-19-25-47_com.ygkj.chelaile.standard.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32318271_Screenshot_2016-07-08-19-24-57_com.ygkj.chelaile.standard.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,1
0,737755,车来了-实时掌上公交地铁V3.17.0自由测试,新疆维吾尔自治区|阿勒泰地区|哈巴河县||,OPPO  N5207,Android 4.4.4,WIFI,中国联通,N5207_11_150411,设置转换城市时，软件停止运行,打开软件以后，选择我的，然后选择切换城市！软件会出现停止运行,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32319994_Screenshot_2016-07-08-19-25-23-709.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32320043_QQ%E6%88%AA%E5%9B%BE20160708195415.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,4
0,2182072,车来了-实时掌上公交地铁V3.17.0自由测试,辽宁省|锦州市|古塔区|北华路|null,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,点击“切换城市”，软件崩溃,"1、打开软件，点击右下角“我的”模块；
2、点击中间的“切换城市”，软件崩溃，提示：很抱歉，“车来了-实时掌上公交地铁v3.17.0”已停止运行。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32312168_Screenshot_2016-07-19-17-59-41.jpeg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32312169_Screenshot_2016-07-19-17-59-48.jpeg""]",未知,P0,审核通过,2016-07-12 10:00:07,,4
0,7287803,车来了-实时掌上公交地铁V3.17.0自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,帮助与反馈中添加图片无响应。,1.安装并打开app。2.点记我的，选择帮助与反馈。3.选择软件问题，点击添加图片，无响应。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32332870_Screenshot_2016-07-08-23-36-13.jpeg""]",未知,P0,审核通过,2016-07-12 10:00:07,,11
0,7287803,车来了-实时掌上公交地铁V3.17.0自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,在我的中，选择切换城市app崩溃。,1.打开app，注册并登陆。2.点击我的，选择切换城市，app崩溃。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32332886_Screenshot_2016-07-08-23-37-49.jpeg""]",未知,P0,审核通过,2016-07-12 10:00:07,,10
0,7287803,车来了-实时掌上公交地铁V3.17.0自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,在首页，点击定位的城市app崩溃,1.打开app，注册并登陆。2.点击首页，点击左上方已经定位的城市，app崩溃,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32332893_Screenshot_2016-07-08-23-44-31.jpeg""]",未知,P0,审核不通过,2016-07-10 12:56:46,,10
0,7287803,车来了-实时掌上公交地铁V3.17.0自由测试,云南省|昆明市|呈贡区|联运大道|,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,添加个人头像时，app崩溃,1.打开app，注册并登陆。2.点击我的，选择个人头像，进入账户设置页面。3.点击头像，app崩溃。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32332926_Screenshot_2016-07-08-23-40-57.jpeg""]",未知,P0,审核通过,2016-07-12 10:00:07,,9
0,10108370,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击我的
2点击头像
3点击头像设置，app闪退","1首页点击我的
2点击头像
3点击头像设置，app闪退","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32405606_Screenshot_2016-07-09-12-32-51.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,5
0,10108370,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击我的
2点击切换城市app闪退","1首页点击我的
2点击切换城市app闪退","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32405650_Screenshot_2016-07-09-14-59-59.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,5
0,10108370,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,1选择太原市，首页点击上方搜索框，输入f搜索，有些搜索结果与f毫无关系，比如双星名人，二楼小面,1选择太原市，首页点击上方搜索框，输入f搜索，有些搜索结果与f毫无关系，比如双星名人，二楼小面,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32406606_Screenshot_2016-07-09-15-17-34.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,2
0,10108370,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,1选择太原市，首页点击上方搜索框，输入太原市搜索，结果中出现太原市在太原市杏花岭区，明显错误,1选择太原市，首页点击上方搜索框，输入太原市搜索，结果中出现太原市在太原市杏花岭区，明显错误,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32407860_Screenshot_2016-07-09-15-24-55.png""]",未知,P0,审核不通过,2016-07-10 13:27:22,,2
0,10108370,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,1选择太原市，首页点击上方搜索框，输入太原市科技局搜索，结果中出现两个太原市科技局,1选择太原市，首页点击上方搜索框，输入太原市科技局搜索，结果中出现两个太原市科技局,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32407908_Screenshot_2016-07-09-15-24-11.png""]",未知,P0,审核不通过,2016-07-10 13:28:01,,2
0,10108370,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击我的
2点击帮助与反馈
3点击投诉吐槽，随便输入些，提交
4再次进入帮助与反馈，点击我的反馈
5点击刚才提交的反馈
6点击右下角相机，点击从手机相册选择无效","1首页点击我的
2点击帮助与反馈
3点击投诉吐槽，随便输入些，提交
4再次进入帮助与反馈，点击我的反馈
5点击刚才提交的反馈
6点击右下角相机，点击从手机相册选择无效","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32408075_Screenshot_2016-07-09-15-30-21.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,11
0,14006960,车来了-实时掌上公交地铁V3.17.0自由测试,山西省|长治市|潞城市|G207(锡海线)|,Huawei  PE-UL00,Android 4.4.2,WIFI,中国联通,PE-UL00V100R001CHNC00B200,一点选择其他城市就停止运行,一点选择其他城市就停止运行  100%出现 不能进入城市选择,[],未知,P0,审核通过,2016-07-12 10:00:07,,4
0,14109244,车来了-实时掌上公交地铁V3.17.0自由测试,湖北省|武汉市|江汉区|万松园路|95号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,unknown,4.4.077.P0.160225.8675-A,首页，点击城市，软件报错,打开登录软件，点击首页，点击左上角城市，软件报错,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32325743_Screenshot_2016-07-08-21-35-25.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32325748_Screenshot_2016-07-08-21-33-17.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32325750_Screenshot_2016-07-08-21-32-55.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,4
0,14109244,车来了-实时掌上公交地铁V3.17.0自由测试,湖北省|武汉市|江汉区|万松园路|95号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,unknown,4.4.077.P0.160225.8675-A,设置界面，字体大小，切换过程中有几率报错,qq注册登录软件，点击我的，设置，字体大小，切换过程中，软件有几率报错,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32326274_Screenshot_2016-07-08-21-45-29.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32326286_Screenshot_2016-07-08-21-45-50.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32326292_Screenshot_2016-07-08-21-45-11.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32326297_Screenshot_2016-07-08-21-46-19.png""]",未知,P0,审核通过,2016-07-12 10:00:07,,5
