case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,云南招考V1.16自由测试,山西省|太原市|古交市|青山路|19,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,打开app，点击下方“院校”，在院校列表中任选一个，例如“云南省交通技师学院”进入学校详情介绍页面，向下滑动到任意一处有电话的地方，例如最底下“0871-68672604”点击这个电话，跳转到“找不到网页”。,打开app，点击下方“院校”，在院校列表中任选一个，例如“云南省交通技师学院”进入学校详情介绍页面，向下滑动到任意一处有电话的地方，例如最底下“0871-68672604”点击这个电话，跳转到“找不到网页”。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962976_Screenshot_2016-07-15-15-08-17_cn.ynzs.ynzs.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962986_Screenshot_2016-07-15-15-09-13_cn.ynzs.ynzs.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962988_Screenshot_2016-07-15-15-08-34_cn.ynzs.ynzs.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962991_Screenshot_2016-07-15-15-09-07_cn.ynzs.ynzs.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,9
0,737755,云南招考V1.16自由测试,新疆维吾尔自治区|阿勒泰地区|哈巴河县||,OPPO  N5207,Android 4.4.4,WIFI,中国联通,N5207_11_150411,选择大学后，拉到页面底部，选择电话号码，点击电话号码，无法拨打，祥细看图,选择大学后，拉到页面底部，选择电话号码，点击电话号码，无法拨打，祥细看图,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962617_Screenshot_2016-07-15-14-59-05-02.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962631_Screenshot_2016-07-15-14-58-51-792.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962638_Screenshot_2016-07-15-14-58-46-713.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962645_Screenshot_2016-07-15-14-58-46-713.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,9
0,851370,云南招考V1.16自由测试,四川省|南充市|南部县|晓霞路|68号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方首页，上方通知内容点击后不能正常打开。,打开app后点击最下方首页，上方通知内容点击后不能正常打开。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32964274_1.jpg""]",未知,P0,审核不通过,2016-07-17 20:39:28,,8
0,851370,云南招考V1.16自由测试,四川省|南充市|南部县|晓霞路|68号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方首页，任意点击一篇文章，点击打开后页面显示不完整，但是缩小后又是能够完整显示，页面排版布局有问题。,打开app后点击最下方首页，任意点击一篇文章，点击打开后页面显示不完整，但是缩小后又是能够完整显示，页面排版布局有问题。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32964515_2.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32964518_3.jpg""]",未知,P0,审核通过,2016-07-19 10:00:13,,13
0,851370,云南招考V1.16自由测试,四川省|南充市|南部县|晓霞路|68号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方新闻，下拉点击“招考早知道”这一广告图片，跳转页面显示1015考研报考指南，标题和文章正文一样，无内容。,打开app后点击最下方新闻，下拉点击“招考早知道”这一广告图片，跳转页面显示1015考研报考指南，标题和文章正文一样，无内容。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32964860_4.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32964863_5.jpg""]",未知,P0,审核通过,2016-07-19 10:00:13,,5
0,2182072,云南招考V1.16自由测试,辽宁省|锦州市|古塔区|松坡路|,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,打开软件几分钟后软件崩溃，软件停止运行,打开软件，随意点击一些按钮浏览，几分钟后软件崩溃，软件停止运行,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965610_Screenshot_2016-07-25-16-06-57.jpeg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965611_Screenshot_2016-07-25-16-12-13.jpeg""]",未知,P0,审核通过,2016-07-19 10:00:13,,10
0,2922908,云南招考V1.16自由测试,云南省|楚雄彝族自治州|禄丰县|金山南路|83号,U51GT_C4  U51GT_C4,Android 4.2.2,WIFI,中国移动,TALK7X_R_2.3.67.13,在招考新闻中 普高录取日报的缩略图使用了原图,"1.打开软件，点击新闻 进入招考新闻。
2.向下滑动 到 2015年附近的高考普高录取日报。
3.主要问题是，其缩略图使用的原图，造成加载缓慢，浪费流量（如使用手机流量，浏览该处时最少需要20m） ，使软件的运行效率降低。应将缩略图进行压缩后再放到原位置。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965261_Screenshot_2016-07-15-16-00-36.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,12
0,7287803,云南招考V1.16自由测试,云南省|昆明市|呈贡区|双龙路|65,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,点击招考早知道，随时随地随意查，在跳转界面中无内容,1.打开app。2.点击新闻，选择“招考早知道，随时随地随意查”，在跳转的页面中无内容。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965604_1.jpeg""]",未知,P0,审核通过,2016-07-19 10:00:13,,5
0,7287803,云南招考V1.16自由测试,云南省|昆明市|呈贡区|双龙路|65,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,在考试成绩查询中，点击云南衡水实验中学，在跳转的页面中字体、界面被放大。,1.打开app。2.点击查询，选择普高成绩查询。3.选择“云南衡水实验中学附属中创学院”，在弹出的界面中，字符被放大。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965681_2.jpeg""]",未知,P0,审核通过,2016-07-19 10:00:13,,4
0,7287803,云南招考V1.16自由测试,云南省|昆明市|呈贡区|双龙路|65,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,点击电话号码不会跳转至拨号界面，提示无法显示页面,1。打开app。2.点击院校，选择“云南国防工业职业技术学院”，下拉至最下方。3.点击联系方式的电话号码，提示找不到网页。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965784_3.jpeg""]",未知,P0,审核通过,2016-07-19 10:00:13,,9
0,7287803,云南招考V1.16自由测试,云南省|昆明市|呈贡区|双龙路|65,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,中国高考信息服务网无法打开,1.打开app。2.点击首页，下拉至最下方。3.点击中国高考信息服务网，页面无法显示。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965835_4.jpeg""]",未知,P0,审核不通过,2016-07-17 21:03:14,,11
0,7287803,云南招考V1.16自由测试,云南省|昆明市|呈贡区|双龙路|65,Huawei  HUAWEI C8817E,Android 4.4.4,WIFI,中国电信,C8817EV100R001C92B241,大理学院中的学校网络地址无法打开,1.打开app。2.点击院校，选择大理学院。3.下来至最下方，点击学校网址，在弹出的网页界面中，一直显示加载中。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965905_5.jpeg""]",未知,P0,审核不通过,2016-07-17 21:03:34,,3
0,7358634,云南招考V1.16自由测试,河南省|郑州市|管城回族区|G220(郑汴路)|,ACTOMA  ACTOMA ACE,Android 5.0.2,WIFI,中国移动,ACE_3.3.17.B01_20160623,“自学考试查询”在没有任何操作的情况下，密码栏是被填写的,"1、打开软件，点击“查询”
2、在“自学考试查询”中，在没有任何操作的情况下，密码栏是被填写的","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32962770_QQ%E5%9B%BE%E7%89%8720160715150847.jpg""]",未知,P0,审核不通过,2016-07-17 20:35:55,,2
0,11100923,云南招考V1.16自由测试,四川省|广安市|广安区|S304(广前公路)|null,lge  LG-E985T,Android 4.2.2,mobile LTE,中国移动,JDQ39B,打开软件进入首页随意进入新闻、招生模块的某个新闻页，页面缩小显示后左上角背景为白色，右侧和下部却是深色背景。,打开软件进入首页随意进入新闻、招生模块的某个新闻页，页面缩小显示后左上角背景为白色，右侧和下部却是深色背景。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965212_Screenshot_2016-07-15-15-47-46.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965216_Screenshot_2016-07-15-15-48-03.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,12
0,11100923,云南招考V1.16自由测试,四川省|广安市|广安区|S304(广前公路)|null,lge  LG-E985T,Android 4.2.2,mobile LTE,中国移动,JDQ39B,登录软件进入院校模块进入云南国防工业职业技术学校详情页，文中图片与文字显示错位，屏幕右侧图片被截,登录软件进入院校模块进入云南国防工业职业技术学校详情页，文中图片与文字显示错位，屏幕右侧图片被截,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32965374_Screenshot_2016-07-15-16-08-19.png""]",未知,P0,审核不通过,2016-07-17 20:52:08,,1
0,14109244,云南招考V1.16自由测试,湖北省|武汉市|江汉区|北湖正街|2号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,unknown,4.4.077.P0.160225.8675-A,招生界面扫一扫功能键点击无效,打开软件，点击招生，招生界面扫一扫功能键点击无效,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32967950_Screenshot_2016-07-15-17-03-53.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,13
0,14109244,云南招考V1.16自由测试,湖北省|武汉市|江汉区|北湖正街|2号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,unknown,4.4.077.P0.160225.8675-A,高考成绩查询界面有默认密码,打开软件，点击查询，高考成绩查询界面有默认密码,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32968102_Screenshot_2016-07-15-17-03-30.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32968108_Screenshot_2016-07-15-17-03-38.png""]",未知,P0,审核不通过,2016-07-17 21:26:26,,11
0,14109244,云南招考V1.16自由测试,湖北省|武汉市|江汉区|北湖正街|2号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,unknown,4.4.077.P0.160225.8675-A,同一广告不同界面打开，有的页面可以匹配手机，有的不匹配,"1 打开软件，点击普高成绩查询，衡水实验中学广告，广告页面过大，不匹配手机
2 点击普高录取查询，衡水实验中学广告，广告页面能够匹配手机","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32970380_Screenshot_2016-07-15-17-34-41.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32970391_Screenshot_2016-07-15-17-34-49.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32970394_Screenshot_2016-07-15-17-42-00.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32970397_Screenshot_2016-07-15-17-42-12.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32970402_Screenshot_2016-07-15-17-42-25.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,4
0,14109244,云南招考V1.16自由测试,湖北省|武汉市|江汉区|北湖正街|2号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,unknown,4.4.077.P0.160225.8675-A,衡水实验中学广告页点击会弹出两个页面，其中一个页面空白,打开软件，点击录取，普高录取查询，衡水实验中学广告，点击广告页右下角内容，会弹出两个页面，其中一个页面空白,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32970452_Screenshot_2016-07-15-17-47-53.png"",""http:\/\/test.baidu.com\/crowdtest\/images\/bug_detail\/loading.gif"",""http:\/\/test.baidu.com\/crowdtest\/images\/bug_detail\/loading.gif""]",未知,P0,审核通过,2016-07-19 10:00:13,,4
0,14452258,云南招考V1.16自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击院校
2点击云南省交通技师学院，院校简介的校训的“：”和下方“：”没有对齐","1首页点击院校
2点击云南省交通技师学院，院校简介的校训的“：”和下方“：”没有对齐","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32978881_Screenshot_2016-07-15-19-27-39.png""]",未知,P0,审核不通过,2016-07-17 21:31:47,,9
0,14452258,云南招考V1.16自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击招生
2点击上方国际招生，可以看到信息“香港院校2016年招收内地本科生一”明显标题没有显示完整，点击查看标题为“香港院校2016年招收内地本科生一览表”应证判断，个别信息也存在此类问题","1首页点击招生
2点击上方国际招生，可以看到信息“香港院校2016年招收内地本科生一”明显标题没有显示完整，点击查看标题为“香港院校2016年招收内地本科生一览表”应证判断，个别信息也存在此类问题","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32978920_Screenshot_2016-07-15-19-28-34.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32978921_Screenshot_2016-07-15-19-28-40.png""]",未知,P0,审核不通过,2016-07-17 21:32:35,,13
0,14452258,云南招考V1.16自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击查询
2点击下方的广告图片招考早知道，打开内容为考研报考指南，但是点击无反应","1首页点击查询
2点击下方的广告图片招考早知道，打开内容为考研报考指南，但是点击无反应","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32978932_Screenshot_2016-07-15-19-30-36.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32978933_Screenshot_2016-07-15-19-30-31.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,5
0,14452258,云南招考V1.16自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,1首页点击招考新闻中的“云南省2016年10月高校教师资格”，文章的表格显示不完整，缩放后，格式混乱,1首页点击招考新闻中的“云南省2016年10月高校教师资格”，文章的表格显示不完整，缩放后，格式混乱,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32978949_Screenshot_2016-07-15-19-31-29.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,13
0,14452258,云南招考V1.16自由测试,山西省|太原市|迎泽区|新泽巷|3号,Xiaomi  HM NOTE 1W,Android 4.2.2,WIFI,中国联通,JH3CN0.0-e8c490ca606638294c0cd,"1首页点击招生
2点击上方国际招生，最下方可以看到两条信息“澳门高校招生联系与查询方式”，重复","1首页点击招生
2点击上方国际招生，最下方可以看到两条信息“澳门高校招生联系与查询方式”，重复","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32978959_Screenshot_2016-07-15-19-32-50.png""]",未知,P0,审核通过,2016-07-19 10:00:13,,13
0,14519399,云南招考V1.16自由测试,四川省|成都市|武侯区|天华路|67,Xiaomi  HM 1S,Android 4.4.4,WIFI,中国电信,KTU84P,辅助科目检查结果的详细页面中有一截颜色不同,"1.打开app，进入查询页面
2.点击‘2016年军校和国防生军检辅助科目初检结果’，进入详细页面
3.向左拖动页面，发现最右边有一截的颜色和默认显示的部分不同。请参考截图。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32964640_9CA7DC9E8006E23BAF3BA4C9BEB58880.jpg""]",未知,P0,审核通过,2016-07-19 10:00:13,,11
0,14519399,云南招考V1.16自由测试,四川省|成都市|武侯区|天华路|67,Xiaomi  HM 1S,Android 4.4.4,WIFI,中国电信,KTU84P,高考查询后若查询错误会返回到空白页面,"1.打开app，进入查询页面
2.点击‘承认高考成绩查询’，输入错误的考号和密码，点击查询
3.此时会提示不正确，点击手机返回键会返回到一个空白页面，再次点击才能回到原页面。若产生了多次错误的查询，还需要点击多次的返回键才能回到上一级页面。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32964693_EAB01979E68DC70E8D3F79DB4AD7061B.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/32964717_7274D4DA88C43600B2C131B446549961.jpg""]",未知,P0,审核通过,2016-07-19 10:00:13,,0
