case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,智慧校园V1.0自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,登录后，点击左上角人像图标进入个人中心，点击默认灰色头像，在基本信息界面上传头像，上传成功头像后，返回主界面，再次点击左上角人像图标，发现个人中心的头像又变成灰色默认头像了。,登录后，点击左上角人像图标进入个人中心，点击默认灰色头像，在基本信息界面上传头像，上传成功头像后，返回主界面，再次点击左上角人像图标，发现个人中心的头像又变成灰色默认头像了。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218454_Screenshot_2016-07-18-20-32-18_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218457_Screenshot_2016-07-18-20-35-24_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218462_Screenshot_2016-07-18-20-35-16_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218480_Screenshot_2016-07-18-20-35-24_com.whcd.smartcampus.png""]",未知,P0,审核通过,2016-07-20 10:00:03,,20
0,531756,智慧校园V1.0自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,积分商城货物的库存对于用户购买件数没有约束，比如其中一件辣条，库存47件，但是可以选择50件加入购物车，并且可以完成结算，生成订单。,注册并登录，点击主界面“积分商城”，点击“辣条”，可以看到名称为“亲嘴骚”的辣条还剩余47袋，点击辣条右侧的加号50次，右下角数量一直加到50，此时点击左下角蓝色“购物车图标”，然后全选商品，点击结算。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218626_Screenshot_2016-07-18-20-32-18_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218630_Screenshot_2016-07-18-20-41-22_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218631_Screenshot_2016-07-18-20-45-54_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218633_Screenshot_2016-07-18-20-46-56_com.whcd.smartcampus.png""]",未知,P0,审核通过,2016-07-20 10:00:03,,19
0,531756,智慧校园V1.0自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,在积分商城将商品加入购物车后，点击左下角蓝色图标进入购物车界面，全选商品，点击结算，进入确认订单界面，此时点击左上角返回按钮（这一步很重要），返回购物车界面，显示无商品，但是配送费诡异的显示为6.67元。,在积分商城将商品加入购物车后，点击左下角蓝色图标进入购物车界面，全选商品，点击结算，进入确认订单界面，此时点击左上角返回按钮（这一步很重要），返回购物车界面，显示无商品，但是配送费诡异的显示为6.67元。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218697_Screenshot_2016-07-18-20-52-38_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218698_Screenshot_2016-07-18-20-52-47_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218699_Screenshot_2016-07-18-20-52-50_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218700_Screenshot_2016-07-18-20-52-54_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218703_Screenshot_2016-07-18-20-52-58_com.whcd.smartcampus.png""]",未知,P0,审核通过,2016-07-20 10:00:03,,19
0,531756,智慧校园V1.0自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,在确认订单界面使用手机自带返回键返回后再次结算时，收货人，地址，手机号，金额全部发送诡异变化，会出现一个叫刘树宝的收货人，金额也会变成1000元，积分变为2000积分，手机号都变了。,在积分商城将商品加入购物车后，点击左下角蓝色图标进入购物车界面，全选商品，点击结算，进入确认订单界面，此时点击手机自带返回键（此步骤极其重要），返回购物车界面，全选商品再次点击结算，之前确认订单界面的收货人，手机号，宿舍号，金额，积分全部被更换。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218867_Screenshot_2016-07-18-20-55-46_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218873_Screenshot_2016-07-18-20-55-55_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218874_Screenshot_2016-07-18-20-56-10_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218876_Screenshot_2016-07-18-20-56-04_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218882_Screenshot_2016-07-18-20-56-10_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33218885_Screenshot_2016-07-18-20-56-12_com.whcd.smartcampus.png""]",未知,P0,审核通过,2016-07-20 10:00:03,,19
0,531756,智慧校园V1.0自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册并登录，点击上方中间“论坛”，在搜索框中输入任意关键字，搜索完后无法返回论坛首页。,注册并登录，点击上方中间“论坛”，在搜索框中输入任意关键字，搜索完后无法返回论坛首页。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33219102_Screenshot_2016-07-18-20-55-46_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33219109_Screenshot_2016-07-18-21-02-01_com.whcd.smartcampus.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33219114_Screenshot_2016-07-18-21-02-17_com.whcd.smartcampus.png""]",未知,P0,审核通过,2016-07-20 10:00:03,,15
0,851370,智慧校园V1.0自由测试,四川省|南充市|南部县|晓霞路|31号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击左上方头像，跳转页面点击头像，上传头像成功后返回却发现头像并没有更改,打开app后点击左上方头像，跳转页面点击头像，上传头像成功后返回却发现头像并没有更改,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33195667_1.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33195674_2.jpg""]",未知,P0,审核通过,2016-07-20 10:00:03,,20
0,851370,智慧校园V1.0自由测试,四川省|南充市|南部县|晓霞路|31号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击左上方头像，跳转页面点击头像，在基本信息界面更改昵称，输入最大字符数后点击保存，提示系统异常。,打开app后点击左上方头像，跳转页面点击头像，在基本信息界面更改昵称，输入最大字符数后点击保存，提示系统异常。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33195773_3.jpg""]",未知,P0,审核通过,2016-07-20 10:00:03,,21
0,851370,智慧校园V1.0自由测试,四川省|南充市|南部县|晓霞路|31号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击左上方头像，跳转页面点击投诉建议，在建议栏中输入汉字+emoji表情后点击提交，提示系统异常,打开app后点击左上方头像，跳转页面点击投诉建议，在建议栏中输入汉字+emoji表情后点击提交，提示系统异常,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33195972_4.jpg""]",未知,P0,审核通过,2016-07-20 10:00:03,,12
0,1165965,智慧校园V1.0自由测试,甘肃省|白银市|景泰县|昌林路|,SAGA  A906,Android 5.1,WIFI,无SIM卡,SAGA_A906_V04_20151127-173807,成功上传的头像无法保存              .,1.1.打开软件并登录2.左上角人物图标 3.头像4.点击头像5.选择图片并保存6.返回到首页7.点击左上角人物图标重新进入8.刚刚保存的头像不见了,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33198179_QQ%E6%88%AA%E5%9B%BE20160718170029.jpg""]",未知,P0,审核通过,2016-07-20 10:00:03,,20
0,2182072,智慧校园V1.0自由测试,辽宁省|锦州市|古塔区|工学里|124号,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,打开软件，点击上面第二个按钮“就业信息”，点击任意文章后，在下边发表评论栏里输入评论，点击发送没任何反应，再点击一次，软件崩溃。,打开软件，点击上面第二个按钮“就业信息”，点击任意文章后，在下边发表评论栏里输入评论，点击发送没任何反应，再点击一次，软件崩溃。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33198808_Screenshot_2016-07-18-17-03-40.jpeg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33198821_Screenshot_2016-07-18-17-02-02.jpeg""]",未知,P0,审核通过,2016-07-20 10:00:03,,17
