case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
1,187820,上传照片,北京市|北京市|房山区|凤凰亭路|,Coolpad  YL-Coolpad 9960,Android 4.1.1,WIFI,无SIM卡,4.1.097.P2.130604.9960,写日记时，选择照片提交时程序崩溃,首页点击“写点什么吧”，写文字，标注地理位置（正常），点击照片按钮，勾选照片后，点右上角对勾提交，此时程序出现错误关闭。如果这一步可以正常提交，提交照片后再次点击照片，程序则出现错误关闭。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6826678_d9f34b9a-7930-4861-bf66-b66412cb8655.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6826677_84be4a12-8a54-4040-bc25-c3b733767162.jpg""]",未知,P0,审核不通过,2015-11-11 11:50:19,,13
2,443182,回复他人帖子或点赞,重庆市|重庆市|九龙坡区|火炬大道|98号-附1-6号,htccn_chs_cmcc  HTC T329t,Android 4.1.1,WIFI,无SIM卡,JRO03H,点击别人的帖子后软件崩溃。,安卓4.1.1 wifi htc t329t 登入软件进入主页选择点击别人的帖子后软件崩溃，重启多次软件均会崩溃.,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6807703_01309169-3e95-49b1-a557-08e5f9a7016b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6807702_57346bda-e9e7-4686-8586-6854c3f33856.jpg""]",未知,P0,审核不通过,2015-11-11 06:35:19,,3
3,443182,暴力测试,重庆市|重庆市|九龙坡区|火炬大道|98号-附1-6号,htccn_chs_cmcc  HTC T329t,Android 4.1.1,WIFI,无SIM卡,JRO03H,点击反馈的话软件会崩溃。,安卓4.1.1 wifi htc t329t 进入我的宝宝 我 的界面 选择 反馈 选项软件崩溃多次尝试，均出现。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6807710_512458c1-6f19-40e5-b133-08946379b0e8.jpg""]",未知,P0,审核通过,2015-11-11 06:35:19,,3
0,556889,登陆,辽宁省|阜新市|细河区|育新路|,Coolpad  Coolpad 8702,Android 4.3,WIFI,中国移动,CP_8702_GF_V1.4,登录失败，登录失败，登录失败，登录失败，,登录失败，登录失败，登录失败，登录失败，登录失败，,[],未知,P0,审核不通过,2015-11-10 22:33:54,,10
1,556889,上传照片,辽宁省|阜新市|细河区|育新路|,Coolpad  Coolpad 8702,Android 4.3,WIFI,中国移动,CP_8702_GF_V1.4,无法设置生日和名字，无法设置生日和名字，,无法设置生日和名字，无法设置生日和名字，,[],未知,P0,审核不通过,2015-11-10 22:33:54,,4
1,779468,上传照片,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,首页点上方“80后”两个图片，竖屏突然会变横屏，返回一下，又变回竖屏了。。。,首页点上方“80后”两个图片，竖屏突然会变横屏，返回一下，又变回竖屏了。。。,[],未知,P0,审核不通过,2015-11-10 21:29:02,,13
1,779468,上传照片,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,点“社区”，再点“#月子流水账。。。”那个中的“去看看”，上方标题显示不全,点“社区”，再点“#月子流水账。。。”那个中的“去看看”，上方标题显示不全,[],未知,P0,审核不通过,2015-11-10 21:29:02,,9
3,779468,暴力测试,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,随便乱点，不知道点到哪里的时候有闪退,随便乱点，不知道点到哪里的时候有闪退，发生过一次，没找到复现方法,[],未知,P0,审核不通过,2015-11-10 21:29:02,,5
0,2295397,登陆,河南省|郑州市|金水区|水环路|,Huawei  PE-TL10,Android 4.4.2,WIFI,中国移动,PE-TL10V100R001CHNC00B260,提供的账户无法登陆，自己注册也无法注册,提供的账户无法登陆，自己注册时，总是提示系统停止运行，也无法注册,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6816263_4f66e8cb-4c74-4bd5-8785-68efff8482b4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6816262_a6e7081f-d4ef-4522-8380-f8c9d83afa37.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6816261_4824628c-7044-412b-b9f1-fa24c44a82f6.jpg""]",未知,P0,审核不通过,2015-11-11 10:13:51,,0
1,2295397,上传照片,河南省|郑州市|金水区|水环路|,Huawei  PE-TL10,Android 4.4.2,WIFI,中国移动,PE-TL10V100R001CHNC00B260,无法注册，无法注册，无法注册,无法注册，无法注册，无法注册，进入不到这个步骤,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6816271_c6bd6ce5-7af8-47a9-a1bc-4577bc3bb6ef.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/6816270_6e9971f0-817e-479c-a181-f536ad37bb3b.jpg""]",未知,P0,审核不通过,2015-11-11 10:13:51,,0
