case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,中卫莱康V2.4自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册并登录，点击首页“挂号”，选择一个医院（例如上海长海医院）的一个科室（例如眼科）的一个医生挂号，点击预约，此时会要求登录，在此界面点击注册，在注册界面点击“趣医网软件及服务许可协议”，查看后点击返回，会直接跳转到本app的首页。无法继续注册。,注册并登录，点击首页“挂号”，选择一个医院（例如上海长海医院）的一个科室（例如眼科）的一个医生挂号，点击预约，此时会要求登录，在此界面点击注册，在注册界面点击“趣医网软件及服务许可协议”，查看后点击返回，会直接跳转到本app的首页。无法继续注册。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431112_Screenshot_2016-07-21-18-58-36_com.hiwatch.healthmanagement.layout.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431119_Screenshot_2016-07-21-18-59-58_com.hiwatch.healthmanagement.layout.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431124_Screenshot_2016-07-21-19-02-41_com.hiwatch.healthmanagement.layout.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431134_Screenshot_2016-07-21-19-02-57_com.hiwatch.healthmanagement.layout.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431139_Screenshot_2016-07-21-19-03-01_com.hiwatch.healthmanagement.layout.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431152_Screenshot_2016-07-21-19-07-03_com.hiwatch.healthmanagement.layout.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431159_Screenshot_2016-07-21-19-07-08_com.hiwatch.healthmanagement.layout.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431182_Screenshot_2016-07-21-19-10-11_com.hiwatch.healthmanagement.layout.png""]",未知,P0,审核通过,2016-07-27 10:00:05,,8
0,531756,中卫莱康V2.4自由测试,山西省|太原市|古交市|青山路|18,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册并登录，点击首页“基因检测”，页面跳转到404界面。,注册并登录，点击首页“基因检测”，页面跳转到404界面。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431366_Screenshot_2016-07-21-19-12-14_com.hiwatch.healthmanagement.layout.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33431371_Screenshot_2016-07-21-19-10-44_com.hiwatch.healthmanagement.layout.png""]",未知,P0,审核通过,2016-07-27 10:00:05,,12
0,737755,中卫莱康V2.4自由测试,新疆维吾尔自治区|阿勒泰地区|哈巴河县||,OPPO  N5207,Android 4.4.4,WIFI,中国联通,N5207_11_150411,首面中的右下角，基因检测打开后，琏接错误,首面中的右下角，基因检测打开后，琏接错误,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33428520_Screenshot_2016-07-21-18-15-03-287.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33428523_Screenshot_2016-07-21-18-15-01-147.png""]",未知,P0,审核通过,2016-07-27 10:00:05,,15
0,851370,中卫莱康V2.4自由测试,四川省|南充市|南部县|晓霞路|70号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app在注册登录界面，使用“11111111111”这一明显错误的手机号注册，app不报错且提示请求成功,打开app在注册登录界面，使用“11111111111”这一明显错误的手机号注册，app不报错且提示请求成功,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33438114_1.jpg""]",未知,P0,审核通过,2016-07-27 10:00:05,,10
0,851370,中卫莱康V2.4自由测试,四川省|南充市|南部县|晓霞路|70号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app在主界面点击问诊，跳转页面点击左上方菜单按钮，点击绑定春雨，跳转页面点击手机号码，跳转页面显示错误的英文,打开app在主界面点击问诊，跳转页面点击左上方菜单按钮，点击绑定春雨，跳转页面点击手机号码，跳转页面显示错误的英文,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33438402_2.jpg""]",未知,P0,审核通过,2016-07-27 10:00:05,,6
0,1118921,中卫莱康V2.4自由测试,广东省|广州市|越秀区|永福路|29号,Xiaomi  MI 4LTE,Android 6.0.1,WIFI,中国移动,MMB29M,基因检测无法显示，总是显示网络错误的页面,基因检测无法显示，总是显示网络错误的页面,[],未知,P0,审核通过,2016-07-27 10:00:05,,12
0,2590458,中卫莱康V2.4自由测试,广东省|广州市|白云区|萧岗胜塘街|28号,Honor  Che2-UL00,Android 4.4.2,WIFI,中国联通,Che2-UL00 V100R001CHNC00B384,注册时，验证码填写错误时，提示此号码已存在，而不是提示验证码错误。,注册时，验证码填写错误时，提示此号码已存在，而不是提示验证码错误。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33433474_11.jpg""]",未知,P0,审核不通过,2016-07-26 11:45:22,,9
0,3052264,中卫莱康V2.4自由测试,安徽省|亳州市|涡阳县|X021|,nubia  NX513J,Android 5.0.2,WIFI,中国移动,NX513J_CNCommon_V4.01,“个人”界面信息自动变更,"1、登录中卫莱康软件，进入“个人”页面，观察显示的姓名、性别、年龄信息，之后点击下方“退出登录”按钮退出软件（例：显示为叶子、男、23岁）；
2、再次登录中卫莱康软件，点击下方“退出登录”按钮退出软件；
3、再次登录中卫莱康软件，观察显示的姓名、性别、年龄信息，此时信息显示有误（（例：显示为13558333621、女、18岁））","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33511095_QQ%E5%9B%BE%E7%89%8720160722145833.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33511109_QQ%E5%9B%BE%E7%89%8720160722145819.jpg""]",未知,P0,审核通过,2016-07-27 10:00:05,,3
0,3052264,中卫莱康V2.4自由测试,安徽省|亳州市|涡阳县|X021|,nubia  NX513J,Android 5.0.2,WIFI,中国移动,NX513J_CNCommon_V4.01,软件自动退出或软件不响应,反复登录、退出软件，过程中未做其他操作，有时在登录过程中出现软件自动退出，有时在登录之后，无法操作，一段时间后显示软件不响应。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33512568_Screenshot_2016-07-22-15-05-58.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33512578_Screenshot_2016-07-22-15-06-57.jpg""]",未知,P0,审核通过,2016-07-27 10:00:05,,3
0,4648739,中卫莱康V2.4自由测试,河南省|郑州市|荥阳市|广武路|,Xiaomi  Mi-4c,Android 5.1.1,WIFI,中国联通,LMY47V,点击进入基因检测界面，该界面为乱码，没有其他信息。,点击进入基因检测界面，该界面为乱码，没有其他信息。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33434196_%E7%9B%91%E6%B5%8B.png""]",未知,P0,审核通过,2016-07-27 10:00:05,,15
