case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,70189,TI棋牌V1.0自由测试,辽宁省|营口市|老边区|上博路|,HUAWEI  HUAWEI NXT-TL00,Android 6.0,WIFI,中国移动,NXT-TL00C01B356SP01,测试账号ti****无法登录，点击注册，无法注册,测试账号ti****无法登录，点击注册，无法注册,[],未知,P0,审核不通过,2016-07-27 04:32:02,,13
0,531756,TI棋牌V1.0自由测试,山西省|太原市|古交市|青山路|19,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,点击会员登录，登录测试帐号，点击“德州扑克”，点击“新手场”（其他场次也可以），买好筹码后，app直接闪退。,点击会员登录，登录测试帐号，点击“德州扑克”，点击“新手场”（其他场次也可以），买好筹码后，app直接闪退。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33737426_Screenshot_2016-07-25-17-11-59_com.at186.lebo.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33737436_Screenshot_2016-07-25-17-15-14_com.at186.lebo.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33737705_Screenshot_2016-07-25-17-18-58_com.at186.lebo.png""]",未知,P0,审核通过,2016-07-29 10:00:01,,20
0,851370,TI棋牌V1.0自由测试,四川省|南充市|南部县|晓霞路|31号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击会员登录，点击注册，结果跳转到浏览器且显示百度主页,打开app后点击会员登录，点击注册，结果跳转到浏览器且显示百度主页,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33732573_1.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33732580_2.jpg""]",未知,P0,审核不通过,2016-07-27 04:22:41,,13
0,851370,TI棋牌V1.0自由测试,四川省|南充市|南部县|晓霞路|31号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击会员登录，使用app提供的账号点击登录，提示账号不存在,打开app后点击会员登录，使用app提供的账号点击登录，提示账号不存在,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33733976_4.jpg""]",未知,P0,审核不通过,2016-07-27 04:22:57,,6
0,851370,TI棋牌V1.0自由测试,四川省|南充市|南部县|晓霞路|31号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击游客登录，跳转页面点击右上方客服，随后显示的qq和电话均为明显错误数字,打开app后点击游客登录，跳转页面点击右上方客服，随后显示的qq和电话均为明显错误数字,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33734161_5.jpg""]",未知,P0,审核不通过,2016-07-27 04:23:17,,21
0,851370,TI棋牌V1.0自由测试,四川省|南充市|南部县|晓霞路|31号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击游客登录，跳转页面没有任何返回按钮，点击实体返回键也不起作用！只能用杀进程的方式来关闭该app,打开app后点击游客登录，跳转页面没有任何返回按钮，点击实体返回键也不起作用！只能用杀进程的方式来关闭该app,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33734299_6.jpg""]",未知,P0,审核通过,2016-07-29 10:00:01,,5
0,851370,TI棋牌V1.0自由测试,四川省|南充市|南部县|晓霞路|31号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击游客登录，跳转页面点击左下方任务头像，然后点击修改昵称，修改好点击保存虽提示修改昵称失败，但是返回后发现修改成功,打开app后点击游客登录，跳转页面点击左下方任务头像，然后点击修改昵称，修改好点击保存虽提示修改昵称失败，但是返回后发现修改成功,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33734857_7.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33734875_8.jpg""]",未知,P0,审核通过,2016-07-29 10:00:01,,4
0,1133707,TI棋牌V1.0自由测试,河南省|郑州市|惠济区|大河路|,Lenovo  Lenovo K30-T,Android 4.4.4,WIFI,中国移动,VIBEUI_V2.0_1511_7.13.1_DEV_K3,德州扑克游戏进入后自动退出程序,"德州扑克-新手场-确认，进入后程序后自动停止运行，100%发生。
炸金花进入游戏后，点左上方的退出，偶尔会自动停止运行。","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33739435_1.jpeg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33739440_2.jpg"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33739518_3.jpg""]",未知,P0,审核通过,2016-07-29 10:00:01,,22
0,1133707,TI棋牌V1.0自由测试,河南省|郑州市|惠济区|大河路|,Lenovo  Lenovo K30-T,Android 4.4.4,WIFI,中国移动,VIBEUI_V2.0_1511_7.13.1_DEV_K3,捕鱼大亨进入后无法退出,"按手机返回键菜单键都没反应，游戏界面也没有退出入口。
强行关闭程序后，下次再运行程序并登录，会自动进入捕鱼大亨","[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33739846_a.jpg""]",未知,P0,审核通过,2016-07-29 10:00:01,,22
0,1133707,TI棋牌V1.0自由测试,河南省|郑州市|惠济区|大河路|,Lenovo  Lenovo K30-T,Android 4.4.4,WIFI,中国移动,VIBEUI_V2.0_1511_7.13.1_DEV_K3,游戏缺少新手引导！！,"捕鱼大亨没玩过，点了半天什么都没明白。
还有炸金花之类的棋牌游戏，全部没有新手引导，希望加上。",[],未知,P0,审核通过,2016-07-29 10:00:01,,19
0,1841342,TI棋牌V1.0自由测试,湖北省|黄冈市|武穴市|利济路|,360  1501_M02,Android 5.1,WIFI,中国移动,V044,进入游戏后发现没有退出的功能,打开游戏进入主界面，找不到退出的界面，用手机很难退出应用。用户体验差。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33736262_Screenshot_2016-07-25-16-53-45.png""]",未知,P0,审核通过,2016-07-29 10:00:01,,23
0,1841342,TI棋牌V1.0自由测试,湖北省|黄冈市|武穴市|利济路|,360  1501_M02,Android 5.1,WIFI,中国移动,V044,进入一款游戏后，手机菜单暂时退出软件再进入游戏界面有几率显示画面灰暗，看不清界面的情况。,登录游戏，进入任一款游戏后，手机菜单暂时退出软件再进入游戏界面有几率显示画面灰暗，看不清界面的情况。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33736466_Screenshot_2016-07-25-16-32-40.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33736488_Screenshot_2016-07-25-16-54-23.png""]",未知,P0,审核通过,2016-07-29 10:00:01,,23
0,1841342,TI棋牌V1.0自由测试,湖北省|黄冈市|武穴市|利济路|,360  1501_M02,Android 5.1,WIFI,中国移动,V044,活动界面什么都没有。,登录制定的帐号，进入游戏主界面，选择活动界面，里面什么都没有，建议没有活动的话活动界面里可以提示一下暂时没有活动。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33736717_Screenshot_2016-07-25-16-36-12.png""]",未知,P0,审核通过,2016-07-29 10:00:01,,11
0,1841342,TI棋牌V1.0自由测试,湖北省|黄冈市|武穴市|利济路|,360  1501_M02,Android 5.1,WIFI,中国移动,V044,系统设置界面的音乐关闭按钮，关闭以后再打开就没有声音。点击某款游戏以后声音才出现。,登录指定的帐号，进入主界面，点击设置，点击系统设置界面的音乐关闭按钮，关闭以后再打开就没有声音。点击某款游戏以后声音才出现。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33737029_Screenshot_2016-07-25-16-37-47.png""]",未知,P0,审核通过,2016-07-29 10:00:01,,0
