case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,粤通卡V3.0.3自由测试,山西省|太原市|古交市|青山路|,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,该app在登录界面使用微信授权登录时，无法登录，提示“授权操作遇到错误”。（另外qq登录也不能使用）,该app在登录界面使用微信授权登录时，无法登录，提示“授权操作遇到错误”,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33816575_Screenshot_2016-07-26-13-34-07_com.fortuneage.unitoll.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33816589_Screenshot_2016-07-26-13-34-09_com.fortuneage.unitoll.png""]",未知,P0,审核通过,2016-08-02 10:00:01,,14
0,531756,粤通卡V3.0.3自由测试,山西省|太原市|古交市|青山路|,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册并登录，点击“我的”，点击右上角齿轮，没有反应。,注册并登录，点击“我的”，点击右上角齿轮，没有反应。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817086_Screenshot_2016-07-26-13-43-54_com.fortuneage.unitoll.png""]",未知,P0,审核通过,2016-08-02 10:00:01,,15
0,531756,粤通卡V3.0.3自由测试,山西省|太原市|古交市|青山路|,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册并登录，点击“我的”，点击“我的粤通卡”可以看到我并没有绑卡，但是点击下方“首页”，点击“账单查询”，可以看到一个粤通卡号，并且可以查到余额和消费记录。,注册并登录，点击“我的”，点击“我的粤通卡”可以看到我并没有绑卡，但是点击下方“首页”，点击“账单查询”，可以看到一个粤通卡号，并且可以查到余额和消费记录。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817521_Screenshot_2016-07-26-13-47-03_com.fortuneage.unitoll.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817548_Screenshot_2016-07-26-13-49-31_com.fortuneage.unitoll.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817557_Screenshot_2016-07-26-13-45-52_com.fortuneage.unitoll.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817565_Screenshot_2016-07-26-13-45-46_com.fortuneage.unitoll.png""]",未知,P0,审核通过,2016-08-02 10:00:01,,27
0,531756,粤通卡V3.0.3自由测试,山西省|太原市|古交市|青山路|,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册并登录，点击“商城”，点击任意一件商品，自动在浏览器中打开商品详情页面，点击“立即购买”，可以看到客户资料上会有陌生人的姓名和地址。（肖榕根）,注册并登录，点击“商城”，点击任意一件商品，自动在浏览器中打开商品详情页面，点击“立即购买”，可以看到客户资料上会有陌生人的姓名和地址。（肖榕根）,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817696_Screenshot_2016-07-26-13-51-06_com.fortuneage.unitoll.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817703_Screenshot_2016-07-26-13-51-12_com.baidu.browser.apps.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817757_Screenshot_2016-07-26-13-52-32_com.baidu.browser.apps.png""]",未知,P0,审核通过,2016-08-02 10:00:01,,1
0,531756,粤通卡V3.0.3自由测试,山西省|太原市|古交市|青山路|,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,注册并登录，点击“营业厅”，此界面所有的功能都无法使用，点击后无反应。,注册并登录，点击“营业厅”，此界面所有的功能都无法使用，点击后无反应。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33817840_Screenshot_2016-07-26-13-55-16_com.fortuneage.unitoll.png""]",未知,P0,审核通过,2016-08-02 10:00:01,,18
0,531756,粤通卡V3.0.3自由测试,山西省|太原市|古交市|青山路|,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国移动,4.4.058.P0.150407.8675-A,“首页”>“通知公告”，点击任意一条通知，都无法显示文字，只是一直在加载界面，加载很久后，跳转到“找不到网页”界面。,“首页”>“通知公告”，点击任意一条通知，都无法显示文字，只是一直在加载界面，加载很久后，跳转到“找不到网页”界面。,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33818192_Screenshot_2016-07-26-13-58-42_com.fortuneage.unitoll.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33818193_Screenshot_2016-07-26-13-58-45_com.fortuneage.unitoll.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33818198_Screenshot_2016-07-26-13-58-47_com.fortuneage.unitoll.png"",""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33818242_Screenshot_2016-07-26-14-01-50_com.fortuneage.unitoll.png""]",未知,P0,审核通过,2016-08-02 10:00:01,,2
0,851370,粤通卡V3.0.3自由测试,四川省|南充市|南部县|晓霞路|27号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后在登录界面使用qq登录，提示“登录功能版本较旧”，第三方账号qq登录失败,打开app后在登录界面使用qq登录，提示“登录功能版本较旧”，第三方账号qq登录失败,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33818465_1.jpg""]",未知,P0,审核通过,2016-08-02 10:00:01,,10
0,851370,粤通卡V3.0.3自由测试,四川省|南充市|南部县|晓霞路|27号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后在登录界面使用微信登录，多次测试点击微信图标，点击均无反应,打开app后在登录界面使用微信登录，多次测试点击微信图标，点击均无反应,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33818759_2.jpg""]",未知,P0,审核通过,2016-08-02 10:00:01,,14
0,851370,粤通卡V3.0.3自由测试,四川省|南充市|南部县|晓霞路|27号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方“我的”，然后点击上方头像，跳转页面点击昵称，输入空格符后点击确定，弹出的提示为红框，但是空白无内容，让人不知道提示的是什么,打开app后点击最下方“我的”，然后点击上方头像，跳转页面点击昵称，输入空格符后点击确定，弹出的提示为红框，但是空白无内容，让人不知道提示的是什么,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33819291_3.jpg""]",未知,P0,审核通过,2016-08-02 10:00:01,,11
0,851370,粤通卡V3.0.3自由测试,四川省|南充市|南部县|晓霞路|27号,Xiaomi  Redmi Note 3,Android 5.0.2,WIFI,中国移动,LRX22G,打开app后点击最下方“我的”，然后点击上方头像，跳转页面点击邮箱，输入汉字“测试”后点击确定，弹出空白无内容的红色框，让人不明所以,打开app后点击最下方“我的”，然后点击上方头像，跳转页面点击邮箱，输入汉字“测试”后点击确定，弹出空白无内容的红色框，让人不明所以,"[""http:\/\/bj.bcebos.com\/json-api\/v1\/crowdtest-online\/upload\/33819395_4.jpg""]",未知,P0,审核不通过,2016-07-28 19:28:37,,11
