case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,779468,走通所有流程,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,下载路书后，点路书-》地图模式，地图显示不正常，见截图,下载路书后，点路书-》地图模式，地图显示不正常，见截图,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7715096_40a8beb9-4744-422b-9fee-5108fd81b471.jpg""]",未知,P0,审核通过,2015-12-02 20:43:32,,6
0,996311,走通所有流程,北京市|北京市|西城区|阜成门外大街|30号,Lenovo  Lenovo Z90-7,Android 5.0.2,WIFI,unknown,VIBEUI_V2.5_1527_5.468.1_ST_Z9,下载了软件，界面提示输入手机号获取验证码，但直接用给的测试账号、密码也能登陆，说明提示设置有问题，或者功能验证有问题,下载了软件，界面提示输入手机号获取验证码，但直接用给的测试账号、密码也能登陆，说明提示设置有问题，或者功能验证有问题,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7766687_2843a361-e3af-482f-a8de-4377846b082a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7766685_631b5523-7042-4fe4-8db8-02a6d18d5b39.jpg""]",未知,P0,审核不通过,2015-12-04 11:58:54,,11
0,996311,走通所有流程,北京市|北京市|西城区|阜成门外大街|30号,Lenovo  Lenovo Z90-7,Android 5.0.2,WIFI,unknown,VIBEUI_V2.5_1527_5.468.1_ST_Z9,使用给出的测试账号进入app后，无论点到哪里，都提示需要下载另一个app“路书”,使用给出的测试账号进入app后，无论点到哪里，都提示需要下载另一个app“路书”,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7766687_2843a361-e3af-482f-a8de-4377846b082a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7766685_631b5523-7042-4fe4-8db8-02a6d18d5b39.jpg""]",未知,P0,审核通过,2015-12-04 11:58:54,,5
0,1424756,走通所有流程,北京市|北京市|海淀区|紫竹院路|116-东门,Xiaomi  Redmi Note 2,Android 5.0.2,WIFI,无SIM卡,LRX22G,路书下载很慢，界面很无聊,要求必须下载路书才能进行下一步操作，但路书下载真的太慢，等不了。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7740117_67846d90-3b21-4ab8-ba23-5e768f63d9d5.jpg""]",未知,P0,审核不通过,2015-12-03 17:39:14,,3
0,1619566,走通所有流程,辽宁|大连,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,在图片上传剪辑后的下一步直接调用图片编辑软件,在图片上传剪辑后的下一步直接调用图片编辑软件在图片上传剪辑后的下一步直接调用图片编辑软件,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7739769_81b2d29f-2e47-42f3-b778-da07044ffb69.jpg""]",未知,P0,审核通过,2015-12-03 17:23:36,,7
0,2147581,走通所有流程,重庆市|重庆市|渝北区|翠湖路|20号,Xiaomi  MI 2SC,Android 5.0.2,WIFI,中国联通,LRX22G,登陆界面为出现登陆密码，只有接收验证码,机型小米2s。在测试过程中程序员给出的测试账号无法使用必须出示手机的验证码。导致接下来的测试无法完成,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7716928_cdc25d77-42e2-4555-ac03-f86b95560b59.jpg""]",未知,P0,审核不通过,2015-12-02 23:20:11,,12
0,2329141,走通所有流程,广东省|中山市|中山市市辖区|隆发路|13-b,Huawei  HUAWEI G7-UL20,Android 4.4.4,WIFI,中国联通,G7-UL20V100R001CHNC00B265,点旅行纪念册，点开里面的图片，在打开的页再点右上角分享图标，选择微信或朋友圈，在打开的页不分享并点左上角返回程序，会出现错误提示。,点旅行纪念册，点开里面的图片，在打开的页再点右上角分享图标，选择微信或朋友圈，在打开的页不分享并点左上角返回程序，会出现错误提示。,[],未知,P0,审核不通过,2015-12-02 23:29:11,,7
0,2921600,走通所有流程,江西省|南昌市|新建县|赣江南大道|2698号,Xiaomi  MI 3W,Android 4.4.4,WIFI,中国联通,KTU84P,登录需重新验证登录，无输密码登录框,"登录需重新验证登录，无输密码登录框。
使用自己的手机号 输入验证码后 显示无效的用户名及密码","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7728441_ef699373-59ca-48b0-8eea-e28961fc286f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7728440_b19f44b1-8076-41e4-be1b-03293ec07898.jpg""]",未知,P0,审核不通过,2015-12-03 13:10:14,,11
0,2927522,走通所有流程,四川省|成都市|金堂县|现代大道|,Honor  Che1-CL20,Android 4.4.4,WIFI,中国电信,Che1-CL20V100R001CHNC00B282,手机获得验证码后，无法登录,手机获取验证码，输入后无法登录。无法走通所有流程,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7732192_46ea7825-f34e-4535-a231-834057674126.jpg""]",未知,P0,审核通过,2015-12-03 14:34:45,,2
0,3463911,走通所有流程,四川省|成都市|大邑县|甲子东道|,Xiaomi  HM 1S,Android 4.4.4,WIFI,中国电信,KTU84P,我使用的是红米1s电信版，按照要求登陆后，出时统提示出错，app停止运行,我使用的是红米1s电信版，按照要求登陆后，出时统提示出错，app停止运行,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7734356_938e43d5-703f-4299-a4bc-7e4782285041.jpg""]",未知,P0,审核通过,2015-12-03 15:09:37,,5
0,4772249,走通所有流程,山西省|吕梁市|孝义市|新义街|226号,Meizu  MX4,Android 5.0.1,WIFI,中国移动,Flyme OS 4.5.7A,所给测试帐号无用，自己手机号无用,"下载app，进入测试，输入测试号吗，要求获取验证码。
输入本机号码同样无法登录
显示无效的用户名和密码",[],未知,P0,审核通过,2015-12-03 13:43:17,,11
0,7020321,走通所有流程,上海市|上海市|浦东新区|Y401(益华路)|,Meizu  M460,Android 4.4.2,WIFI,中国移动,Flyme OS 4.1.6A (体验版),系统无法登陆，点击登录按钮无响应,"1.输入页面中提供的用户名密码无法登陆
2.输入自己的手机号注册登陆，获取验证码，登陆无响应
手机:mx4 网络： wifi","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7715876_085684b5-5e89-4823-b6be-32a0c03e7be9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7715875_c5f4c16b-a7f7-4356-89d6-aeeed9656f5a.jpg""]",未知,P0,审核通过,2015-12-02 21:37:37,,12
0,7954262,走通所有流程,河北省|石家庄市|裕华区|文化服饰街|a区-64号,Meizu  m2 note,Android 5.1,WIFI,中国移动,Flyme OS 4.5.4A,登录不上去 不管是新注册的号还是用给的账号都是无法登录,登录不上去 不管是新注册的号还是用给的账号都是无法登录,[],未知,P0,审核通过,2015-12-04 15:12:31,,11
