case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
2,10379,手动搜索航班信息测试,山西|朔州,samsung  GT-I9228,Android 4.1.2,WIFI,中国移动,JZO54K.I9228ZMBMC2,输入“ca1”后，页面内未出现联想出的航班号列表,输入“ca1”后，页面内未出现联想出的航班号列表,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617912_9aae9453-054d-493c-b931-91fc7d474cdb.jpg""]",已知,P3,审核通过,2015-02-12 14:42:34,,2
4,12207,“摇一摇”功能测试,山西|太原,htc  HTC D816w,Android 4.4.2,WIFI,中国移动,KOT49H release-keys,全量飞机页面显示地图定位正确，摇动手机后，一直显示等待状态，最后反馈定位失败。,摇动手机后，一直显示等待状态，最后反馈定位失败。重复三次依旧。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2700477_9671c663-22ca-48f0-a9e7-76d615925e9c.jpg""]",未知,P0,审核不通过,2015-02-17 14:10:58,,8
3,18755,“嗅探”功能测试,湖北省|襄阳市|襄城区|内环路|,Coolpad  8295,Android 4.1.2,WIFI,中国移动,4.1.016.P1.8295,提示手机没有方向传感器，此功能暂不支持,点击嗅探按钮，系统弹出一个对话框，提示：由于您的手机未包含方向传感器，此应用部分功能暂不支持。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2694235_dc3bdc33-010b-4ba7-b084-991c2c6b4728.jpg""]",未知,P0,审核不通过,2015-02-17 11:17:31,,5
2,19660,手动搜索航班信息测试,安徽|芜湖,OPPO  R8107,Android 4.4.4,WIFI,中国联通,R8107_11_150129,输入ca后，无联想航班号出现,按照指导操作，输入ca后，无联想航班号出现,[],未知,P0,审核不通过,2015-02-13 22:16:47,,6
0,189951,首页滑动点击体验,河北|唐山,samsung  GT-N7108,Android 4.1.2,WIFI,中国移动,JZO54K.N7108ZCDMB3,地图刷新为地形图，下方“当前屏幕有6架飞机”很难看清,点击右下角图层按钮，地图刷新为地形图，下方“当前屏幕有6架飞机”很难看清,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2620910_ef645d10-5a04-44f3-b11b-4fcf00b3a035.jpg""]",未知,P3,审核通过,2015-02-12 22:39:27,,14
1,189951,测试飞行轨迹是否正常,河北|唐山,samsung  GT-N7108,Android 4.1.2,WIFI,中国移动,JZO54K.N7108ZCDMB3,随机点击一架国际航班飞机，如3u8904首尔-成都，会显示飞机的飞行轨迹起点却是在海上，飞机的飞行轨迹显示不全,随机点击一架国际航班飞机，如3u8904首尔-成都，会显示飞机的飞行轨迹起点却是在海上，而不是首尔,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2620911_ececba5f-bdef-43cf-9903-537343278048.jpg""]",未知,P0,审核不通过,2015-02-12 22:39:27,,15
3,212314,“嗅探”功能测试,广东省|东莞市|东莞市市辖区|上坑三路|199号,T-smart  T-smart D58X,Android 4.0.3,WIFI,无SIM卡,D58X_H_T-smart_V20.00,手功不支持传感功能！！！,并点击左上角的“嗅探”按钮，手功不支持方向传感功能，但还是可以用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617575_4d88e7f4-2d2b-4904-9c17-e5cf01c34ef9.jpg""]",未知,P0,审核不通过,2015-02-12 13:53:28,,5
1,259448,测试飞行轨迹是否正常,北京市|北京市|海淀区|西二旗大街|,samsung  SM-N9008V,Android 4.3,WIFI,中国移动,JSS15J.N9008VZMUBNA2,航班的飞行轨迹图和飞机有分离的情况,点击屏幕上的飞机，偶尔会出现飞行轨迹图和飞机图标分离的情况，好像要等会儿才能显示正确。另外有时候飞机的图标还会突然快速移动，然后又回到之前出现的点。出现的频率不高，当时忘了截图了。。。,[],已知,P3,审核通过,2015-02-12 16:02:31,,4
1,295817,测试飞行轨迹是否正常,江苏省|徐州市|云龙区|庆丰路|,UBTEL  UBTEL U9,Android 4.2.1,WIFI,中国移动,UBTEL U9 20141014-150631,软件从航班信息页返回时会自动重启,测试是用mf8168，从飞机详情页返回到首页时软件自动重启。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2632970_cf950016-91b8-42d5-9f8c-89007a33cc55.jpg""]",未知,P1,审核通过,2015-02-15 09:44:07,,10
2,295817,手动搜索航班信息测试,江苏省|徐州市|云龙区|庆丰路|,UBTEL  UBTEL U9,Android 4.2.1,WIFI,中国移动,UBTEL U9 20141014-150631,软件建议正在途中的飞机显示状态,软件建议搜索结果列表页，正在途中的飞机显示 正在途中 状态,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2632971_60bc1fa6-f9b0-4c67-9d65-1cecb82daf2e.jpg""]",已知,P3,审核通过,2015-02-15 09:44:07,,11
2,299415,手动搜索航班信息测试,黑龙江省|哈尔滨市|南岗区|七政街|51号,Xiaomi  MI 1S,Android 4.1.2,WIFI,中国移动,JZO54K,飞机飞行轨迹与实际不符,飞机飞行轨迹的蓝色线条与实际不符，线条的起点不是飞机的起点,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2619148_945be9d7-9b0f-4834-861d-8c5f17dd29ae.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2619147_bbe08cf8-75ed-494c-bbc0-dd6c5231ffea.jpg""]",已知,P3,审核通过,2015-02-12 18:02:12,,15
3,335342,“嗅探”功能测试,陕西省|西安市|雁塔区|长安南路|,Huawei  HUAWEI C8815,Android 4.1.2,WIFI,中国电信,c8815-user 4.1.2 JZO54K eng.le,手机不支持方向传感器功能，无法支持该功能,手机不支持方向传感器功能，无法支持该功能,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2830436_efcb7f53-8123-4d10-a6ea-ebd5123250b8.jpg""]",未知,P0,审核不通过,2015-02-27 11:48:28,,5
0,343554,首页滑动点击体验,北京|北京,Meizu  M460,Android 4.4.4,mobile LTE,中国移动,Flyme OS 4.2.0.2C,地图加载特别慢，没有之前的2个版本加载快,地图加载特别慢，没有之前的2个版本加载快，而且拖动时候，有些地方地图显示，有些地方不显示,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2628696_9ba3adea-f0cd-4427-8750-396e1eeddac7.jpg""]",未知,P0,审核不通过,2015-02-13 16:08:35,,21
3,361346,“嗅探”功能测试,上海市|上海市|浦东新区|张杨北路|2239号,ZTE  ZTE U956,Android 4.1.2,WIFI,中国移动,U956V1.0.0B03,飞机信息显示一直在颤动,点击进入页面后，飞机信息可以显示，但是一直会颤动，让人看着眼晕，十分不方便,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2630074_b35b0f00-a4be-483e-a40e-e0885c3eed3e.jpg""]",已知,P3,审核通过,2015-02-14 01:06:31,,16
0,648537,首页滑动点击体验,广东|佛山,Xiaomi  MI 3W,Android 4.4.4,WIFI,中国联通,KTU84P,按定位后，定位失败。,小米3w miui6 gps已开，但定位失败，百度地图能定位。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2808278_fd53727f-cc13-4b2e-b3a1-86a6bbbc0da3.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2808277_2431222b-4df4-49e7-acc7-d8b067a4a9c2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2808276_ba0929f4-01f2-4c81-8547-a647a9b0d974.jpg""]",未知,P1,审核通过,2015-02-25 21:53:06,,12
4,648537,“摇一摇”功能测试,广东|佛山,Xiaomi  MI 3W,Android 4.4.4,WIFI,中国联通,KTU84P,按提示摇一摇后，显示定位失败，无其他引导操作设置。,gps定位已打开，按提示摇一摇后，定位失败，loading图标一直在转，无其他引导能返回。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2808284_a5e361f9-51b8-442b-a939-e23a3b13758e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2808283_b666f1cf-b1f7-4189-85d2-02eab01e5df6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2808282_1c1bc2eb-adc4-46ca-812d-7708375cfb49.jpg""]",未知,P2,审核通过,2015-02-25 21:53:06,,8
0,793286,首页滑动点击体验,广西壮族自治区|钦州市|钦南区|安州大道|,Huawei  HUAWEI C8815,Android 4.1.2,WIFI,中国电信,C8815V100R001C92B130,飞机航迹有时会变成是有夹角的曲线。,在放大或缩小地图后移动地图查找当前跟踪的飞机，这时飞机的蓝色航迹就会变成曲线。,[],已知,P3,审核通过,2015-02-20 20:25:59,,11
3,793286,“嗅探”功能测试,广西壮族自治区|钦州市|钦南区|安州大道|,Huawei  HUAWEI C8815,Android 4.1.2,WIFI,中国电信,C8815V100R001C92B130,并非所有智能手机都有方向传感器。,当点击“嗅探”时，出现提示手机没有方向传感器。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2753401_48c201a6-7570-4bd4-82ce-fb88ab0589b7.jpg""]",未知,P0,审核不通过,2015-02-20 20:25:59,,5
2,795693,手动搜索航班信息测试,天津市|天津市|滨海新区|新港路|2118号,ErenEben  EBEN T7,Android 4.2.2,WIFI,无SIM卡,2.2.aeb7bc.20131226.user,输入“ca1”，页面内未出现联想出的航班号列表,输入“ca1”，页面内未出现联想出的航班号列表 我联网了,[],未知,P0,审核不通过,2015-02-12 19:19:45,,2
3,845255,“嗅探”功能测试,河北省|保定市|南市区|唐家胡同|172号,oneplus  One,Android 4.4.4,WIFI,中国移动,KTU84P,在从航班信息查看后回到嗅探的时候画面卡住不动,在从航班信息查看后回到嗅探的时候画面卡住不动，app没有崩溃，再次返回到全地图时正常,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617257_23f87773-c0ad-4439-affc-74c6f772f10f.jpg""]",未知,P0,审核不通过,2015-02-12 13:33:25,,10
1,966885,测试飞行轨迹是否正常,山东省|济南市|市中区|腊山北路|,AMOI  AMOI A928W,Android 4.2.2,WIFI,中国联通,MIUI_xshzls,在飞机上不显示航班信息！不一目了然！,点开地图自动显示航行中的航班。但是不知道是哪个航班！,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2801700_652eb8c1-0809-45d9-bbe9-1558ce64f539.jpg""]",未知,P0,审核不通过,2015-02-25 14:46:04,,10
0,1009996,首页滑动点击体验,河南省|郑州市|管城回族区|经南二路|东段,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,地图滑动效果左右滑动为什么是反转效果,地图滑动效果左右滑动为什么是反转效果  不是很适应,[],未知,P0,审核不通过,2015-02-13 08:33:59,,18
2,1009996,手动搜索航班信息测试,河南省|郑州市|管城回族区|经南二路|东段,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,为什么不能支持地址搜索,为什么不能支持地址搜索  就算是经常坐飞机的人也不一定记得住那么多的航班啊   希望后续增减地址搜索,[],未知,P3,审核通过,2015-02-13 08:33:59,,20
4,1009996,“摇一摇”功能测试,河南省|郑州市|管城回族区|经南二路|东段,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国移动,G750-T01 V100R001CHNC00B152,卡片切换问题 为什么必须切换全部后才能再看一遍呢,卡片切换问题 为什么必须切换全部后才能再看一遍呢,[],已知,P3,审核通过,2015-02-13 08:33:59,,17
0,1147303,首页滑动点击体验,黑龙江省|哈尔滨市|道里区|哈双路|,Xiaomi  MI 2SC,Android 4.1.1,WIFI,中国电信,JRO03L,地图里的飞机加载不出来,点击下方的方框，进入实时飞机页之后  一直就加载不出来,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2629613_068a3dcd-11df-4eda-ae96-2f9c7bfd1160.jpg""]",未知,P0,审核不通过,2015-02-13 20:23:31,,9
0,1147303,首页滑动点击体验,黑龙江省|哈尔滨市|道里区|哈双路|,Xiaomi  MI 2SC,Android 4.1.1,WIFI,中国电信,JRO03L,地球界面 滑动有问题,地球界面  滑动的时候上下滑动正常  向左滑动的时候地球向相反的方向旋转  向右滑动的时候地球也是向相反的方向旋转,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2629613_068a3dcd-11df-4eda-ae96-2f9c7bfd1160.jpg""]",未知,P0,审核不通过,2015-02-13 20:23:31,,18
0,1147949,首页滑动点击体验,山西|大同,ONEPLUS  A0001,Android 4.3,WIFI,中国移动,A0001_12_141213,飞机数据刷新卡顿的厉害,几次刷新有一定几率 飞机卡住不动 尝试退出后再次进入才有所改观,[],未知,P0,审核不通过,2015-02-19 14:49:56,,14
0,1208966,首页滑动点击体验,重庆市|重庆市|黔江区|g319|,Huawei  HUAWEI P7-L07,Android 4.4.2,WIFI,unknown,P7-L07V100R001C01B120,找不到嗅探，.............,进入主页面后，扎偶倒嗅探............,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2618602_32f50c45-1d4b-4c4e-bd6a-f2d7aec40fb9.jpg""]",未知,P0,审核不通过,2015-02-12 16:02:10,,3
1,1208966,测试飞行轨迹是否正常,重庆市|重庆市|黔江区|g319|,Huawei  HUAWEI P7-L07,Android 4.4.2,WIFI,unknown,P7-L07V100R001C01B120,无法定位，找不到飞机轨迹,卡顿在主页面，不显示地图，无法定位，找不到飞机轨迹,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2618603_83323ce2-b6b3-4861-a739-f12a2aaf8d01.jpg""]",未知,P0,审核不通过,2015-02-12 16:02:10,,3
3,1208966,“嗅探”功能测试,重庆市|重庆市|黔江区|g319|,Huawei  HUAWEI P7-L07,Android 4.4.2,WIFI,unknown,P7-L07V100R001C01B120,找不到嗅探，无法进行下一步操作.........,找不到嗅探，无法进行下一步操作.........,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2618605_1a7e8a5d-cc56-43e8-946e-820d28ee9f8f.jpg""]",未知,P0,审核不通过,2015-02-12 16:02:10,,3
3,1216393,“嗅探”功能测试,广东|深圳,ThL  ThL W8,Android 4.2.1,WIFI,中国移动,ThL_W8.JB2.FHD.CN.COM.8P128_MT,航班信息一直在抽搐。,一直在抖，有时候很不准确。没有陀螺仪的手机不准确。,[],未知,P0,审核不通过,2015-02-16 12:44:15,,20
0,1236481,首页滑动点击体验,河北省|唐山市|路北区|北新西道|39号,Coolpad  Coolpad 5951,Android 4.1.2,WIFI,中国电信,4.1.058.P2.141222.5951,运行一段时间后，不知道因为啥原因就程序错误了,从能看到飞机的那个页面，返回时。都已经重新打开程序了。怎么截图啊,[],已知,P1,审核通过,2015-02-19 15:30:09,,7
3,1313097,“嗅探”功能测试,江苏省|南京市|雨花台区|宁丹路|5-10,vivo  vivo X1St,Android 4.2.1,WIFI,中国移动,ALPS.JB2.TDD.MP.V1,在嗅探界面锁定屏幕后，将航班信息卡片拖至最低端后，无法将其再其再拖出来,进入嗅探界面后，发现航班信息后，点击右下角的按钮将其变为锁，锁定屏幕后，将其航班卡片拖到最下端后，无法将其拖出来,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2621009_a01cd227-c2e1-4d21-98bd-5f839fe62021.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2621008_df301aff-8c64-4f42-8809-1ce6295dd7c2.jpg""]",未知,P2,审核通过,2015-02-12 23:10:13,,14
4,1401052,“摇一摇”功能测试,湖北省|黄冈市|团风县|普济路|,Xiaomi  HM 1SC,Android 4.3,WIFI,无SIM卡,JLS36C,飞机的飞行轨迹不准，先是折线后是直线,先进入卡片功能然后看运行轨迹就不准而且一时向左，又向右,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2847026_65052c08-39ba-4901-be2b-ec0effb54a5c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2847025_9d6757ab-dc5a-4f0a-9361-33257b113cb5.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2847024_4a1c757b-dea8-44e4-a710-6ece1315269c.jpg""]",未知,P0,审核不通过,2015-02-28 14:24:15,,15
0,1453255,首页滑动点击体验,安徽省|合肥市|蜀山区|休宁路|,Coolpad  Coolpad 8297W,Android 4.2.2,WIFI,中国联通,4.2.043.P0.141223.8297W,天眼飞机内容界面用home切换到手机主页使其后台运行。再次点击进入时候，自动跳转为天眼地球首页。,天眼飞机内容界面用home切换到手机主页使其后台运行。再次点击进入时候，自动跳转为天眼地球首页。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617216_b404be10-c27f-48b6-8dc1-05277e07d4df.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617215_b99e937d-6742-4b04-9af6-38b7e49095a9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617214_2d9a7688-3303-4e8a-92f2-27938912eb7a.jpg""]",未知,P0,审核不通过,2015-02-12 13:31:44,,17
1,1453255,测试飞行轨迹是否正常,安徽省|合肥市|蜀山区|休宁路|,Coolpad  Coolpad 8297W,Android 4.2.2,WIFI,中国联通,4.2.043.P0.141223.8297W,飞机航线飞行轨迹内容界面用home切换到手机主页使其后台运行。再次点击进入时候，自动跳转为天眼地球首页。使用后台切换正常,飞机航线飞行轨迹内容界面用home切换到手机主页使其后台运行。再次点击进入时候，自动跳转为天眼地球首页。使用后台切换正常,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617219_c690adfa-7987-4532-92e9-8b316c7714d1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617218_866a53df-e11b-4301-9496-f54292873d9a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617217_11669d63-b0d7-4175-8e77-e3bdfc760013.jpg""]",未知,P0,审核不通过,2015-02-12 13:31:44,,17
2,1453255,手动搜索航班信息测试,安徽省|合肥市|蜀山区|休宁路|,Coolpad  Coolpad 8297W,Android 4.2.2,WIFI,中国联通,4.2.043.P0.141223.8297W,航班信息时候切换至后台·再点击天眼图标·直接进入主页面。非前停留页面。,航班信息时候切换至后台·再点击天眼图标·直接进入主页面。非前停留页面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617227_4987620c-596f-43d0-80d1-441f8f773b56.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617221_dadcd101-45db-47a4-b775-5ac291f698ef.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617220_d44b2928-9727-4691-aa2d-1b090f415122.jpg""]",已知,P2,审核通过,2015-02-12 13:31:44,,17
3,1453255,“嗅探”功能测试,安徽省|合肥市|蜀山区|休宁路|,Coolpad  Coolpad 8297W,Android 4.2.2,WIFI,中国联通,4.2.043.P0.141223.8297W,本手机无罗盘功能，无法使用。但是“嗅探”功能页面切换至后台，再次点天眼击图标，回到主页面。后台切换正常。,本手机无罗盘功能，无法使用。但是“嗅探”功能页面切换至后台，再次点天眼击图标，回到主页面。后台切换正常。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617230_13589ba0-ce25-49f3-b8ea-fd3f7077c21d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617229_1dbe64fd-61bd-42c9-afda-bd4183a5567f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617228_d674c228-5a17-4ce2-8bfb-71ba1787dc8e.jpg""]",未知,P0,审核不通过,2015-02-12 13:31:44,,0
4,1453255,“摇一摇”功能测试,安徽省|合肥市|蜀山区|休宁路|,Coolpad  Coolpad 8297W,Android 4.2.2,WIFI,中国联通,4.2.043.P0.141223.8297W,“摇一摇”功能页面切换至后台，再次点击图标，回到主页面。后台切换正常。,“摇一摇”功能页面切换至后台，再次点击图标，回到主页面。后台切换正常。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617233_93dc02fa-cd5c-4c5d-8851-5437891aee32.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617232_504a9743-39b6-4256-9667-462c2a6024ca.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/2617231_c1ff41c7-261a-4134-a006-9f4e0caf4291.jpg""]",未知,P0,审核不通过,2015-02-12 13:31:44,,0
