case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,18755,基金曲线测试,湖北省|襄阳市|襄城区|西巷子|,Xiaomi  2014811,Android 4.4.4,WIFI,中国移动,KTU84P,软件界面看起来很凌乱,"1、安装软件；
2、打开软件；
3、软件启动后没有任何显示软件信息的界面，直接就进到了内容显示页面，感觉很突然；
4、手机上显示的内容感觉比较凌乱，内容分成了两半屏显示，都没有显示完整，不知道是不是手机设置的问题。
红米2，miui7，超大字号","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7792756_0dfac926-ff64-4bcc-856d-239fe1ca5ec7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7792755_574fb8b3-896f-4139-ab70-a92d5fbcd505.jpg""]",未知,P0,审核通过,2015-12-05 07:19:42,,13
0,187820,基金曲线测试,北京市|北京市|房山区|高家坡路|,Coolpad  YL-Coolpad 9960,Android 4.1.1,WIFI,无SIM卡,4.1.097.P2.130604.9960,进入曲线界面，上方输入新的天数，输入0时无法返回,按操作流程进入曲线界面，在上方横线处输入新的天数，输入0天时（等同空值）显示空白，无法返回。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7808637_e9efe277-2c60-40bd-aa76-e600c5c58f4a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7808636_06ed7181-c97f-485e-9bdf-4d3c03057837.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7808635_da4f9f94-c885-421c-b04d-21b3f19f44fe.jpg""]",未知,P0,审核通过,2015-12-05 13:09:22,,8
0,187820,基金曲线测试,北京市|北京市|房山区|高家坡路|,Coolpad  YL-Coolpad 9960,Android 4.1.1,WIFI,无SIM卡,4.1.097.P2.130604.9960,程序无法退出，只能一步一步回退,程序无法退出，按硬键盘上的返回键只能一步一步回退，退到最开始才能退出，操作很不便。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7808637_e9efe277-2c60-40bd-aa76-e600c5c58f4a.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7808636_06ed7181-c97f-485e-9bdf-4d3c03057837.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7808635_da4f9f94-c885-421c-b04d-21b3f19f44fe.jpg""]",未知,P0,审核通过,2015-12-05 13:09:22,,12
0,211775,基金曲线测试,河北省|石家庄市|桥东区|休门街|115号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,使用时程序会崩溃！！,再点击线图时，弹出：很抱歉，”achartapp”已经停止运行。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7852168_4cadba3b-f45e-408b-9c5b-5d1339a72597.jpg""]",未知,P0,审核通过,2015-12-06 23:56:50,,7
0,356346,基金曲线测试,山东省|枣庄市|峄城区|峄山路|,Xiaomi  MI 2A,Android 4.1.1,WIFI,中国移动,JRO03L,界面排版混乱，无法进行操作,进入程序，界面排版混乱，分为两列，显示不全，无法操作,[],未知,P0,审核不通过,2015-12-04 22:04:03,,12
0,443182,基金曲线测试,重庆市|重庆市|九龙坡区|火炬大道|98号-附1-11号,htccn_chs_cmcc  HTC T329t,Android 4.1.1,WIFI,无SIM卡,JRO03H,右边无法收回，小分辨率手机无法看全。,进入软件右边的选择代码和线图下来菜单无法收起，一直占着屏幕。安卓4.1.1 htc t329t,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7794723_4630c737-e039-4dd2-9182-6e63bf12ce49.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7794722_670cd965-cbd0-4f8c-acc9-84c69f4540c9.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7794721_bd8ef496-8c30-4c3e-9d8a-ee7994c04612.jpg""]",未知,P0,审核通过,2015-12-05 09:05:31,,8
0,458244,基金曲线测试,吉林省|松原市|宁江区||,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,中国移动,KTU84P,不显示曲线图不显示曲线图不显示曲线图不显示曲线图,不显示曲线图不显示曲线图不显示曲线图不显示曲线图不显示曲线图不显示曲线图,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7809915_694c8529-b936-4cac-a811-395e026d5e40.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7809914_fe75e05c-4654-40d3-a7c9-e463d11f0f3c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7809913_112260a9-4640-48ff-a9ea-71b68602b1c8.jpg""]",未知,P0,审核通过,2015-12-05 14:01:31,,2
0,753702,基金曲线测试,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"界面右下角经常出现类似广告窗口一样的东西,在横屏时会干扰显示和操作.","打开app,输入一个基金代码,比如050010,点""线图""按钮,之后后退到该页.有可能会遇到在屏幕右下角出现一些文字或图片等情况,有些文字链接还能点开,点开以后会调用手机默认的浏览器打开url.无论是横屏还是竖屏都有可能出现.文字很难描述清楚,看截图吧,注意右下角位置.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791437_027dea4e-46d0-4deb-994c-394f2a9d1699.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791436_0c23a3d1-04a3-4228-915c-478cf7386ead.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791435_35e15b6e-949a-4a1c-a084-2cb18ea086d5.jpg""]",未知,P0,审核通过,2015-12-04 23:24:28,,10
0,772212,基金曲线测试,广东省|广州市|海珠区|南约新街|南4巷-11号,Haier  HT-I860,Android 4.2.1,WIFI,无SIM卡,HT-I860-H01-S02-CMCC,打开应用后，页面显示不完整，也比较错乱。,打开应用后，页面显示不完整，也比较错乱。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7844443_fc2e5265-2637-45a5-9c4f-6d6ad00fa553.jpg""]",未知,P0,审核通过,2015-12-06 16:42:22,,15
0,779468,基金曲线测试,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,右侧区域不知道是做什么的，一直显示在页面上，消不掉。左边基金信息严重被遮挡，没法操作，弄得整个app不知道是做什么的,右侧区域不知道是做什么的，一直显示在页面上，消不掉。左边基金信息严重被遮挡，没法操作，弄得整个app不知道是做什么的,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790122_1c135427-dd35-42ec-a08c-b99b2c271b9e.jpg""]",未知,P0,审核通过,2015-12-04 21:47:23,,13
0,779835,基金曲线测试,河北省|邯郸市|广平县||,Huawei  HUAWEI G750-T01,Android 4.2.2,WIFI,中国联通,G750-T01 V100R001CHNC00B152,打开软件后，首页界面错乱，无法正常浏览。,"打开软件后，首页界面错乱，无法正常浏览。连续测试多次都是这个结果。华为荣耀3x,安卓4.2.2.","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7804468_d8243ab7-1e54-4e10-bd27-249a22814619.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7804467_86926b43-9b01-47d8-aacd-6f7a289c4427.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7804466_81a79c32-f809-41e4-86d4-abfed917cd27.jpg""]",未知,P0,审核通过,2015-12-05 11:34:54,,1
0,851370,基金曲线测试,四川省|南充市|南部县|晓霞路|35号,Xiaomi  2013022,Android 4.2.1,WIFI,中国移动,HBJ2.0,代码和线图一直都在，导致首页无法完全显示。,代码和线图一直都在，导致首页无法完全显示。屏幕首页只能显示一部分！测试手机：红米手机,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790322_70f31a3f-d89c-4cba-b3b8-a8dc2577219d.jpg""]",未知,P0,审核通过,2015-12-04 22:00:46,,11
0,951619,基金曲线测试,河北省|邢台市|沙河市|S329|,Honor  Che2-TL00,Android 4.4.2,WIFI,中国移动,Che2-TL00 V100R001CHNC00B284,右页面选择天数、直接输入基金代码后点击【线图】按钮，后无反应，没有切换页面显示曲线。,右页面选择天数、直接输入基金代码后点击【线图】按钮，后无反应，没有切换页面显示曲线。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7898694_c5f68560-a1f4-4b33-9207-1b29c5a7382b.jpg""]",未知,P0,审核不通过,2015-12-08 10:53:54,,7
0,951619,基金曲线测试,河北省|邢台市|沙河市|S329|,Honor  Che2-TL00,Android 4.4.2,WIFI,中国移动,Che2-TL00 V100R001CHNC00B284,当多次点击后，出现闪退！,"右页面选择天数、直接输入基金代码后点击【线图】按钮，后无反应，没有切换页面显示曲线。
点击右侧页面 ，当多次点击后，出现闪退！","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7898694_c5f68560-a1f4-4b33-9207-1b29c5a7382b.jpg""]",未知,P0,审核不通过,2015-12-08 10:53:54,,7
0,996311,基金曲线测试,北京市|北京市|朝阳区|东三环南路|58号院-4号楼-2003室,Lenovo  Lenovo Z90-7,Android 5.0.2,WIFI,unknown,VIBEUI_V2.5_1527_5.468.1_ST_Z9,页面右边的代码、天数选择框无法关闭,页面右边的代码、天数选择框无法关闭，怎么点选都无法关闭，而下方半页可以看出内容在刷新，被这个天数选择框盖住，软件无法使用,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7815290_e3f3196b-7435-4eae-956c-ed98a06a81c8.jpg""]",未知,P0,审核通过,2015-12-05 16:49:36,,11
