case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,531756,覆盖性测试,山西省|太原市|万柏林区|窊流路|18号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,打开app，点击“服务”，点击任意一个“qq交谈”都无法唤起与客服聊天的界面。,打开app，点击“服务”，点击任意一个“qq交谈”都无法唤起与客服聊天的界面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846580_cd61e101-6336-40d3-ac9f-5c3c64a68553.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846579_aff85a0c-0383-45e1-9305-a6f5cfffeec1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846578_2d5ad372-3b68-4d61-85c4-fd578b3d829d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846577_a645f943-85cf-40c7-b792-b4ef7a924ddc.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846576_2eba8410-91ba-44b5-a844-a444409098e7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846575_86b80205-c523-4b96-aaf1-3312d3733e05.jpg""]",未知,P0,审核通过,2015-12-06 17:25:51,,8
0,531756,覆盖性测试,山西省|太原市|万柏林区|窊流路|18号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,打开app，点击“监管”，点击任意一个视频，在跳转后的界面点击右上角的电话，提示找不到网页。,打开app，点击“监管”，点击任意一个视频，在跳转后的界面点击右上角的电话，提示找不到网页。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846580_cd61e101-6336-40d3-ac9f-5c3c64a68553.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846579_aff85a0c-0383-45e1-9305-a6f5cfffeec1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846578_2d5ad372-3b68-4d61-85c4-fd578b3d829d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846577_a645f943-85cf-40c7-b792-b4ef7a924ddc.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846576_2eba8410-91ba-44b5-a844-a444409098e7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846575_86b80205-c523-4b96-aaf1-3312d3733e05.jpg""]",未知,P0,审核通过,2015-12-06 17:25:51,,8
0,531756,覆盖性测试,山西省|太原市|万柏林区|窊流路|18号,Coolpad  Coolpad 8675-A,Android 4.4.4,WIFI,中国联通,4.4.058.P0.150407.8675-A,登录app后，点击“我的”，点击“充值”，输入“一个大于100的整数”点击快捷支付，直接跳转到充值失败界面。,登录app后，点击“我的”，点击“充值”，输入“一个大于100的整数”点击快捷支付，直接跳转到充值失败界面。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846580_cd61e101-6336-40d3-ac9f-5c3c64a68553.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846579_aff85a0c-0383-45e1-9305-a6f5cfffeec1.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846578_2d5ad372-3b68-4d61-85c4-fd578b3d829d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846577_a645f943-85cf-40c7-b792-b4ef7a924ddc.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846576_2eba8410-91ba-44b5-a844-a444409098e7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7846575_86b80205-c523-4b96-aaf1-3312d3733e05.jpg""]",未知,P0,审核不通过,2015-12-06 17:25:51,,7
0,753702,覆盖性测试,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,服务模块中的5个qq号链接就没有一个是有效的,"1.启动app后,在主页点""服务""图标,进入""服务看的见""界面.
2.依次点击5个qq客服的""qq交谈""图标,没有一个可以正常进入交谈界面的,5种错误见截图.
提供最终操作界面截图(服务看的见页面)一张及每个""qq交谈""对应的错误内容截图各一张.基中有些错误会一闪而过,然后返回""服务看的见""页面,复现时要仔细看.

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791707_56ae1a28-87f0-4ff7-981f-e2b54ed2f49f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791706_fc31afec-ef10-46a5-976e-1c8e200fca4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791705_70a1511b-d4ac-49a9-83c8-799a87aea021.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791704_0fa4be71-eec1-403d-b301-7e54d923b1df.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791703_1aa11ee1-a2e2-49a0-86d9-6f96eb221575.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791702_5054a286-cb6d-4d5f-a1cf-41ebb1d6604d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791701_20d729a9-fa90-4ef4-a8b8-7c8278ecb6da.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791700_fd0105a5-0887-4a42-9667-2edbf9e6ff4c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791699_ec69bbc1-0c4d-4f8e-8e66-c4c01dbfc010.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791698_f51ffd2a-4e35-4707-a4f5-c5f9e03be6e0.jpg""]",未知,P0,审核通过,2015-12-05 00:09:08,,8
0,753702,覆盖性测试,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"""[货易贷]生产设备抵押借款""的""投资详情""页面的""抵押物""链接错指向网站首页","1.安装并打开app,在""主页""模块的投资项目列表中找到""[货易贷]生产设备抵押借款""一项,点击进入""投资详情""页面
2.在""投资详情""页面向下滚动屏幕并找到""抵押物""一项,并点击进入""抵押物""页面.
3.在该页面没有预期的显示抵押物品的图片和资料,而是转向了网站首页(见截图)
提供最终操作界面(投资详情页)截图一张及错误的""抵押物""页面截图一张.

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791707_56ae1a28-87f0-4ff7-981f-e2b54ed2f49f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791706_fc31afec-ef10-46a5-976e-1c8e200fca4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791705_70a1511b-d4ac-49a9-83c8-799a87aea021.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791704_0fa4be71-eec1-403d-b301-7e54d923b1df.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791703_1aa11ee1-a2e2-49a0-86d9-6f96eb221575.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791702_5054a286-cb6d-4d5f-a1cf-41ebb1d6604d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791701_20d729a9-fa90-4ef4-a8b8-7c8278ecb6da.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791700_fd0105a5-0887-4a42-9667-2edbf9e6ff4c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791699_ec69bbc1-0c4d-4f8e-8e66-c4c01dbfc010.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791698_f51ffd2a-4e35-4707-a4f5-c5f9e03be6e0.jpg""]",未知,P0,审核通过,2015-12-05 00:09:08,,1
0,753702,覆盖性测试,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"某些投资项目的""投资列表""页面显示不完整,翻页链接显示一半","1.安装并打开app,在""主页""模块的投资项目列表中找到""[货易贷]生产设备抵押借款""一项,点击进入""投资详情""页面
2.在""投资详情""页面向下滚动屏幕并找到""投资列表""一项,并点击进入""投资列表""页面.
3.在该页面下部,显示翻页链接的位置,显示不完整,页码只显示了半个字符(见截图).实际上不止这一个投资项目的特例,很多投资列表存在翻页链接的都有此情况.
提供最终操作页面截图一张(投资详情页)及投资列表页码显示不全的问题截图2张(分属两个不同投资项目)

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791707_56ae1a28-87f0-4ff7-981f-e2b54ed2f49f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791706_fc31afec-ef10-46a5-976e-1c8e200fca4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791705_70a1511b-d4ac-49a9-83c8-799a87aea021.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791704_0fa4be71-eec1-403d-b301-7e54d923b1df.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791703_1aa11ee1-a2e2-49a0-86d9-6f96eb221575.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791702_5054a286-cb6d-4d5f-a1cf-41ebb1d6604d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791701_20d729a9-fa90-4ef4-a8b8-7c8278ecb6da.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791700_fd0105a5-0887-4a42-9667-2edbf9e6ff4c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791699_ec69bbc1-0c4d-4f8e-8e66-c4c01dbfc010.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791698_f51ffd2a-4e35-4707-a4f5-c5f9e03be6e0.jpg""]",未知,P0,审核不通过,2015-12-05 00:09:08,,1
0,753702,覆盖性测试,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"注册后无法绑定乾多多,在输入完姓名,身份证号和手机号点下一步后白屏","必要条件:未登录状态,操作过程中新注册用户或是使用未绑定过乾多多的帐号登录测试.
1.启动app并在首页投资项目列表中任意点开一个投资项目,进入""投资详情""页
2.在""投资详情""页最下边的文本框中输入一个数字,比如1000,点""立即投资
3.在跳转到的登录页中完成登录(或注册),如果已经登录则可跳过此步.
4.在弹出""绑定乾多多""界面,填写姓名,身份证号,手机号等信息,并点""下一步""按钮
5.跳转后的页面为白屏,无任何成功或失败的提示.返回重新投资流程提示绑定乾多多,说明之前绑定并未成功.
受微任务一个环节只能上传10张bug图限制,此截图缺失,请自行按步复现.

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791707_56ae1a28-87f0-4ff7-981f-e2b54ed2f49f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791706_fc31afec-ef10-46a5-976e-1c8e200fca4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791705_70a1511b-d4ac-49a9-83c8-799a87aea021.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791704_0fa4be71-eec1-403d-b301-7e54d923b1df.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791703_1aa11ee1-a2e2-49a0-86d9-6f96eb221575.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791702_5054a286-cb6d-4d5f-a1cf-41ebb1d6604d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791701_20d729a9-fa90-4ef4-a8b8-7c8278ecb6da.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791700_fd0105a5-0887-4a42-9667-2edbf9e6ff4c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791699_ec69bbc1-0c4d-4f8e-8e66-c4c01dbfc010.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791698_f51ffd2a-4e35-4707-a4f5-c5f9e03be6e0.jpg""]",未知,P0,审核通过,2015-12-05 00:09:08,,7
0,753702,覆盖性测试,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"未能成功绑定乾多多的帐号,在进行""充值""操作时,会遇到白屏","必要条件:未登录状态,操作过程中新注册用户或是使用未绑定过乾多多的帐号登录测试.
1.启动app并在首页点击右下角的""我的"",进入用户信息界面.
2.点""充值""按钮,进入充值页面
3.在文本框中输入金额1000,点""快捷支付""按钮.
4.加载了一个页面,但是很快就一闪而过,变成一个白屏的界面,只有标题""充值""和左上角的返回图标.
受微任务一个环节只能上传10张bug图限制,此截图缺失,请自行按步复现.

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791707_56ae1a28-87f0-4ff7-981f-e2b54ed2f49f.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791706_fc31afec-ef10-46a5-976e-1c8e200fca4b.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791705_70a1511b-d4ac-49a9-83c8-799a87aea021.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791704_0fa4be71-eec1-403d-b301-7e54d923b1df.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791703_1aa11ee1-a2e2-49a0-86d9-6f96eb221575.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791702_5054a286-cb6d-4d5f-a1cf-41ebb1d6604d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791701_20d729a9-fa90-4ef4-a8b8-7c8278ecb6da.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791700_fd0105a5-0887-4a42-9667-2edbf9e6ff4c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791699_ec69bbc1-0c4d-4f8e-8e66-c4c01dbfc010.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7791698_f51ffd2a-4e35-4707-a4f5-c5f9e03be6e0.jpg""]",未知,P0,审核不通过,2015-12-05 00:09:08,,7
0,779468,覆盖性测试,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,打开app，点投资，看截图，投资列表4个字下方的分类“全部”“xxx”等显示不全，测试手机是华为平板,打开app，点投资，看截图，投资列表4个字下方的分类“全部”“xxx”等显示不全,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790892_054148e2-e02b-48b2-b99f-f88d51fc3db6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790891_9f1d3227-ee59-4296-92f3-b2c53034d474.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790890_f347b4f1-6f29-4fcc-a9bb-b9424be24257.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790889_2ebb9190-a788-41e7-8261-5b7f358adb34.jpg""]",未知,P0,审核不通过,2015-12-04 22:39:50,,9
0,779468,覆盖性测试,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,随意测试，什么功能都点一点，系统就奔溃退出了，看截图,随意测试，什么功能都点一点，系统就奔溃退出了，看截图,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790892_054148e2-e02b-48b2-b99f-f88d51fc3db6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790891_9f1d3227-ee59-4296-92f3-b2c53034d474.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790890_f347b4f1-6f29-4fcc-a9bb-b9424be24257.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7790889_2ebb9190-a788-41e7-8261-5b7f358adb34.jpg""]",未知,P0,审核不通过,2015-12-04 22:39:50,,2
