case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,18755,操控 UI 检查,湖北省|襄阳市|襄城区|西巷子|,Xiaomi  2014811,Android 4.4.4,WIFI,中国移动,KTU84P,扫描不到同一网段下的乐视盒子,"1、下载并安装软件；
2、打开软件；
3、软件扫描到wifi；
4、扫描更多，同一网段下的乐视盒子已经打开，反复扫描，均没有找到，提示还有0台设备可以链接，但是在黄色十字叉按钮单击后又提示设备没有连接，请链接一台设备","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7891847_8c86e128-1a61-4cd5-aec5-567d7d4787bd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7891846_e1c8c480-8600-4705-a2ad-808f406698eb.jpg""]",未知,P0,审核通过,2015-12-08 08:08:43,,12
0,18755,操控 UI 检查,湖北省|襄阳市|襄城区|西巷子|,Xiaomi  2014811,Android 4.4.4,WIFI,中国移动,KTU84P,更多按钮下的release版本信息看起来像乱码一样,"1、安装软件；
2、打开软件；
3、点击左上角的更多按钮；
4、最下面的release信息建议提示简单一些，后面的一长串字符看起来像乱码一样","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7891847_8c86e128-1a61-4cd5-aec5-567d7d4787bd.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7891846_e1c8c480-8600-4705-a2ad-808f406698eb.jpg""]",未知,P0,审核通过,2015-12-08 08:08:43,,15
3,481216,“应用商店示例”内容测试,山东省|临沂市|苍山县|G206|,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,无SIM卡,KTU84P,红米note手机返回键退出功能不能使用,红米note手机返回键退出功能不能使用，在软件打开情况下按返回键，提示继续按返回键退出程序，实际后台运行。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890495_93ce3b99-380e-4754-a7ce-1d16fadfeb73.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7890494_6cb293d7-6d7b-40b9-b5b8-067ac4fd993b.jpg""]",未知,P0,审核通过,2015-12-08 00:14:36,,5
1,753702,分享功能测试,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,左侧抽屉下方出现不明代码,"1.打开app,点左上角汉堡图标,拉开左侧抽屉.
2.在抽屉下方出现不明代码(见截图)
另外,通过微信分享的内容只是普通的文字+链接,并非富文本链接内容(参见截图上一条分享)
提供抽屉不明代码截图和分享到微信后的文字样式对比截图.

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7931156_19581040-aca7-4e1d-8caa-7c421eb9796c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7931155_523f88d3-2497-45b9-bba5-0e74e332a103.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7931154_8c1de07a-87a3-427f-9589-8671133477fa.jpg""]",未知,P0,审核通过,2015-12-08 22:33:44,,9
3,753702,“应用商店示例”内容测试,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"未找到项目要求的""好连应用示例""及""愤怒的小鸟 tv 版""","提供首页截图两张,确认没有项目要求的测试点""好连应用示例""及""愤怒的小鸟 tv 版""

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7931150_73d4b1f8-505e-45eb-816a-cc73854a3fc4.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7931149_f75215b8-bec9-4c56-9576-cd3c39025c92.jpg""]",未知,P0,审核不通过,2015-12-08 22:33:44,,11
0,779468,操控 UI 检查,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,电视机顶盒连上了wifi，手机也连上了wifi，但是一只提示没有找到设备,电视机顶盒连上了wifi，手机也连上了wifi，但是一只提示没有找到设备,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7888024_29663d6e-5ce3-4894-aec6-11a99bdc89fb.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7888023_e9998a19-787d-4926-8fa4-2e196ee0ec99.jpg""]",未知,P0,审核不通过,2015-12-07 21:44:27,,14
1,779468,分享功能测试,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,app中就没有找到分享按钮，不知道是不是因为没有连上电视机,app中就没有找到分享按钮，不知道是不是因为没有连上电视机,[],未知,P0,审核不通过,2015-12-07 21:44:27,,9
2,779468,“发现”内容测试,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,点击发现中的云中歌，页面会显示优酷，但是会提示找不到这个视频，看截图,点击发现中的云中歌，页面会显示优酷，但是会提示找不到这个视频，看截图,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7888022_6dc84b6b-8dc8-4807-8c09-20bef26b0fdb.jpg""]",未知,P0,审核通过,2015-12-07 21:44:27,,14
3,779468,“应用商店示例”内容测试,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,首页，直播节目示例区域，电视台图标显示不全，看截图,首页，直播节目示例区域，电视台图标显示不全，看截图,[],未知,P0,审核不通过,2015-12-07 21:44:27,,14
0,1050472,操控 UI 检查,河北省|邢台市|桥东区|河北路|,Xiaomi  HM NOTE 1LTE,Android 4.4.4,WIFI,中国移动,KTU84P,好连遥控触摸按键无响应,在与小米盒子通过家中的无线网络进行连接时 右手触摸按键进行扫描按键无响应，是指无法与小米盒子建立连接。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7959038_937bfb56-da52-4304-a9ed-e0655e4db41a.jpg""]",未知,P0,审核通过,2015-12-09 22:40:32,,12
