case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间,,重复情况
0,18755,人脸识别自动拍照,湖北省|襄阳市|襄城区|西巷子|,Xiaomi  2014811,Android 4.4.4,WIFI,中国移动,KTU84P,软件打开后一片空白，无法完成指定的测试功能,"1、在微任务中下载并安装软件；
2、打开软件；
3、反复退出并重新打开，软件都是一直停滞在那里转圈，3分钟之后提示找不到网页，页面有网址及报错信息。
网络没有问题，wifi可正常连接，手机负荷不重，只开了一个微任务还有本软件。详情请参见截图，谢谢。
手机红米2、miui7","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7960629_097e9ac4-28ff-482c-8c3c-9aa740c24af2.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7960628_30f6e6b3-bb03-41de-8da7-d79949099c70.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7960627_866fdedd-895f-4dd6-bb9f-9496251e859c.jpg""]",未知,P0,审核通过,2015-12-10 07:48:41,,15
0,187820,人脸识别自动拍照,北京市|北京市|房山区|高家坡路|,Coolpad  YL-Coolpad 9960,Android 4.1.1,WIFI,无SIM卡,4.1.097.P2.130604.9960,进行拍照时人物产生变形较大,进行拍照时，拍照框内人物产生变形。截图中以正常身份证作为参考物，可以观察截图中身份证长宽比的变形比例。另外提一个建议，建议拍照界面增加：（1）前后摄像头切换，（2）画面缩放。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7966925_83ea3cab-a9b9-4d00-a861-91202594e58c.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7966924_2db4988f-10bd-472a-a68d-f03c09082b71.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7966923_314568df-e008-4629-94be-9eec107fa29d.jpg""]",未知,P0,审核通过,2015-12-10 11:52:55,,9
0,211775,人脸识别自动拍照,河北省|石家庄市|桥东区|休门街|115号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,图中上面两个证件照拍照，不能拍摄。,"1、进入首页，选择二代身份证照片，护照港澳通行证照片；
2、对准头像提示：请将正脸对准屏幕；
3、后按拍照，提示：请对准被拍人脸部(上传图片因要抓屏有点不清楚)","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983949_ad2417a3-6aac-4439-95f0-f9e9d2b3069e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983948_69ca41f8-19ad-494d-adc9-5e278abc8b76.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983947_7ed09d5b-47b3-4b56-a183-bb5f94c0b79d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983945_3575ac52-2388-4d36-8dfd-d62482a8a923.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983944_ddd0aa66-ba41-4d9e-b1d8-44b30e363bab.jpg""]",未知,P0,审核不通过,2015-12-10 20:17:28,,12
0,211775,人脸识别自动拍照,河北省|石家庄市|桥东区|休门街|115号,Lenovo  Lenovo S898t+,Android 4.2.2,WIFI,中国移动,S898t+_S527_140414,打开着app再次点击打开返回原界面。,"1、在百度微任务打开；
2、切换后再点打开，返回微任务页面，程序不能打开。","[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983949_ad2417a3-6aac-4439-95f0-f9e9d2b3069e.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983948_69ca41f8-19ad-494d-adc9-5e278abc8b76.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983947_7ed09d5b-47b3-4b56-a183-bb5f94c0b79d.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983945_3575ac52-2388-4d36-8dfd-d62482a8a923.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7983944_ddd0aa66-ba41-4d9e-b1d8-44b30e363bab.jpg""]",未知,P0,审核通过,2015-12-10 20:17:28,,15
0,753702,人脸识别自动拍照,辽宁省|铁岭市|银州区|繁荣路|,Xiaomi  MI 2S,Android 5.0.2,WIFI,中国联通,LRX22G,"关于我们点击无响应,没有页面跳转动作","1.打开app,点右下角的""我的""
2.点""关于我们"",没有反应,页面没跳转,也没有提示(未登录状态下)
忘了上传截图就提交了,自己点几下看看吧

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root",[],未知,P0,审核通过,2015-12-10 21:25:42,,3
0,772212,人脸识别自动拍照,广东省|广州市|海珠区|南约新街|南4巷-11号,Haier  HT-I860,Android 4.2.1,WIFI,无SIM卡,HT-I860-H01-S02-CMCC,启动应用，首页一直加载中，无法进入应用测试。,启动应用，首页一直加载中，无法进入应用测试。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8012754_2bb5dbcf-3be9-4410-a73b-ecd638e5dea4.jpg""]",未知,P0,审核通过,2015-12-11 22:41:14,,1
0,778895,人脸识别自动拍照,辽宁省|沈阳市|沈北新区|正义四路|8号-6门,samsung  SM-N9002,Android 4.4.2,WIFI,中国联通,KOT49H.N9002ZNUENG4,身份证照片和护照都无法进入，手机白屏app停止运行,进入软件-取消更新-护照-app停止运行-重新打开-取消更新-身份证照片-手机白屏-软件停止运行,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8055315_0b01bf10-4569-4af3-8e40-77d9854dd401.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8055314_9fec6cec-43ef-4bbb-a5e8-184a9f48abf7.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/8055313_ccafc972-672d-453b-b987-817b4dbd160b.jpg""]",未知,P0,审核通过,2015-12-14 09:40:39,,5
0,779468,人脸识别自动拍照,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,对着人脸拍照，一直就提示“请对准人脸正面”，无论怎么对，就是不能拍。。。。。。,对着人脸拍照，一直就提示“请对准人脸正面”，无论怎么对，就是不能拍。。。。。。,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7958443_9eed6cd7-1177-4866-843b-bf5eef556994.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7958442_3929f2aa-f8dd-486b-87bd-681b5b83be77.jpg""]",未知,P0,审核不通过,2015-12-09 22:02:38,,12
0,779468,人脸识别自动拍照,北京市|北京市|昌平区|太平庄北街|,Huawei  S8-701u,Android 4.3,WIFI,unknown,S8-701uV100R001C233B008,打开app，点我的，在点左上角返回，下方依然高亮在“我的”，看截图,打开app，点我的，在点左上角返回，下方依然高亮在“我的”，看截图,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7958443_9eed6cd7-1177-4866-843b-bf5eef556994.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/7958442_3929f2aa-f8dd-486b-87bd-681b5b83be77.jpg""]",未知,P0,审核通过,2015-12-09 22:02:38,,8
0,851370,人脸识别自动拍照,四川省|南充市|南部县|S101|,Xiaomi  2013022,Android 4.2.1,WIFI,中国移动,HBJ2.0,快乐满意拍这个app，在进入欢迎界面结束后就卡住进不了界面！,快乐满意拍这个app，在进入欢迎界面结束后就卡住进不了界面！一直转圆圈，反复测试五次！测试环境：wifi 红米手机 安卓版本4.21,[],未知,P0,审核不通过,2015-12-10 10:56:42,,14
